date,premium tax credit
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,3.4343971631205674
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,1.651321398124467
2010-02-01,1.3043771043771044
2010-03-01,2.668044077134986
2010-04-01,2.8256746900072938
2010-05-01,4.9922680412371125
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,3.4527629233511585
2010-10-01,2.289598108747045
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,1.651321398124467
2011-02-01,2.608754208754209
2011-03-01,2.0010330578512394
2011-04-01,2.8256746900072938
2011-05-01,3.3281786941580753
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,3.4527629233511585
2011-10-01,2.289598108747045
2011-11-01,1.6429177268871926
2011-12-01,1.34794711203897
2012-01-01,1.651321398124467
2012-02-01,1.9565656565656566
2012-03-01,2.0010330578512394
2012-04-01,2.1192560175054704
2012-05-01,3.3281786941580753
2012-06-01,4.0103519668737055
2012-07-01,3.528233151183971
2012-08-01,3.843253968253968
2012-09-01,3.4527629233511585
2012-10-01,3.4343971631205674
2012-11-01,2.464376590330789
2012-12-01,2.0219206680584554
2013-01-01,4.128303495311167
2013-02-01,3.9131313131313132
2013-03-01,3.3350550964187327
2013-04-01,3.532093362509117
2013-05-01,8.320446735395189
2013-06-01,6.015527950310558
2013-07-01,7.056466302367942
2013-08-01,9.60813492063492
2013-09-01,17.26381461675579
2013-10-01,20.606382978723403
2013-11-01,9.857506361323155
2013-12-01,16.175365344467643
2014-01-01,14.036231884057969
2014-02-01,11.087205387205387
2014-03-01,16.675275482093664
2014-04-01,8.477024070021882
2014-05-01,11.648625429553263
2014-06-01,10.025879917184264
2014-07-01,12.348816029143897
2014-08-01,13.451388888888888
2014-09-01,13.811051693404634
2014-10-01,10.303191489361701
2014-11-01,18.07209499575912
2014-12-01,21.56715379262352
2015-01-01,31.375106564364874
2015-02-01,30.000673400673403
2015-03-01,21.34435261707989
2015-04-01,20.48614150255288
2015-05-01,16.640893470790378
2015-06-01,16.041407867494822
2015-07-01,19.405282331511838
2015-08-01,21.137896825396822
2015-09-01,18.99019607843137
2015-10-01,20.606382978723403
2015-11-01,19.71501272264631
2015-12-01,22.91510090466249
2016-01-01,26.421142369991472
2016-02-01,25.435353535353535
2016-03-01,23.345385674931126
2016-04-01,21.898978847556528
2016-05-01,19.96907216494845
2016-06-01,20.05175983436853
2016-07-01,14.112932604735883
2016-08-01,19.21626984126984
2016-09-01,15.537433155080214
2016-10-01,17.171985815602838
2016-11-01,15.60771840542833
2016-12-01,16.849338900487126
2017-01-01,23.11849957374254
2017-02-01,24.130976430976432
2017-03-01,22.67837465564738
2017-04-01,19.779722830051057
2017-05-01,19.96907216494845
2017-06-01,20.05175983436853
2017-07-01,15.87704918032787
2017-08-01,15.373015873015872
2017-09-01,13.811051693404634
2017-10-01,21.751182033096928
2017-11-01,23.82230703986429
2017-12-01,17.523312456506613
2018-01-01,19.815856777493604
2018-02-01,22.82659932659933
2018-03-01,23.345385674931126
2018-04-01,23.311816192560173
2018-05-01,23.297250859106526
2018-06-01,22.056935817805382
2018-07-01,15.87704918032787
2018-08-01,17.294642857142854
2018-09-01,17.26381461675579
2018-10-01,19.46158392434988
2018-11-01,20.536471586089906
2018-12-01,18.871259568545582
2019-01-01,18.164535379369138
2019-02-01,21.522222222222222
2019-03-01,23.345385674931126
2019-04-01,23.311816192560173
2019-05-01,26.625429553264603
2019-06-01,20.05175983436853
2019-07-01,17.641165755919854
2019-08-01,19.21626984126984
2019-09-01,17.26381461675579
2019-10-01,19.46158392434988
2019-11-01,18.893553859202715
2019-12-01,16.849338900487126
2020-01-01,18.164535379369138
2020-02-01,22.82659932659933
2020-03-01,20.010330578512395
2020-04-01,16.247629467541937
2020-05-01,19.96907216494845
2020-06-01,26.067287784679085
2020-07-01,35.28233151183971
2020-08-01,24.98115079365079
2020-09-01,24.16934046345811
2020-10-01,22.89598108747045
2020-11-01,20.536471586089906
2020-12-01,18.871259568545582
2021-01-01,18.99019607843137
2021-02-01,19.565656565656568
2021-03-01,38.01962809917355
2021-04-01,34.614514952589346
2021-05-01,46.59450171821305
2021-06-01,38.0983436853002
2021-07-01,29.98998178506375
2021-08-01,28.82440476190476
2021-09-01,22.44295900178253
2021-10-01,19.46158392434988
2021-11-01,20.536471586089906
2021-12-01,18.197286012526096
2022-01-01,33.026427962489336
2022-02-01,33.26161616161616
2022-03-01,29.348484848484848
2022-04-01,36.027352297593
2022-05-01,23.297250859106526
2022-06-01,24.06211180124223
2022-07-01,24.697632058287795
2022-08-01,30.746031746031743
2022-09-01,27.62210338680927
2022-10-01,26.330378250591018
2022-11-01,24.64376590330789
2022-12-01,24.26304801670146
2023-01-01,35.50341005967604
2023-02-01,31.305050505050506
2023-03-01,29.348484848484848
2023-04-01,33.2016776075857
2023-05-01,28.28951890034364
2023-06-01,32.082815734989644
2023-07-01,29.98998178506375
2023-08-01,36.510912698412696
2023-09-01,27.62210338680927
2023-10-01,26.330378250591018
2023-11-01,27.929601357082273
2023-12-01,26.9589422407794
2024-01-01,35.50341005967604
2024-02-01,33.913804713804716
2024-03-01,31.349517906336086
2024-04-01,34.614514952589346
2024-05-01,31.617697594501717
2024-06-01,34.087991718426494
2024-07-01,28.225865209471767
2024-08-01,28.82440476190476
2024-09-01,32.801247771836
2024-10-01,28.61997635933806
2024-11-01,31.21543681085666
2024-12-01,33.02470424495477
2025-01-01,39.63171355498721
2025-02-01,37.17474747474748
2025-03-01,34.01756198347107
2025-04-01,39.559445660102114
2025-05-01,34.94587628865979
2025-06-01,50.12939958592132
2025-07-01,68.80054644808743
2025-08-01,53.80555555555555
2025-09-01,63.876114081996434
2025-10-01,58.38475177304964
2025-11-01,67.35962680237489
2025-12-01,67.3973556019485
