date,whole life insurance
2004-01-01,39.37826492537314
2004-02-01,35.828486554096315
2004-03-01,32.921804752729614
2004-04-01,35.65492170022372
2004-05-01,39.496552912788694
2004-06-01,41.751182033096924
2004-07-01,33.177508090614886
2004-08-01,34.62393372703413
2004-09-01,34.053131416837786
2004-10-01,34.17283333333333
2004-11-01,34.406379668049794
2004-12-01,33.354535398230084
2005-01-01,34.690376243781095
2005-02-01,37.714196372732964
2005-03-01,34.858381502890175
2005-04-01,34.691275167785236
2005-05-01,34.29963805584281
2005-06-01,39.71453900709219
2005-07-01,32.20169902912622
2005-08-01,33.634678477690294
2005-09-01,30.95739219712526
2005-10-01,33.16775
2005-11-01,32.32114453665284
2005-12-01,31.13089970501475
2006-01-01,24.377021144278608
2006-02-01,33.94277673545967
2006-03-01,30.985228002569045
2006-04-01,32.76398210290828
2006-05-01,34.29963805584281
2006-06-01,34.62293144208037
2006-07-01,31.225889967637542
2006-08-01,38.58095472440945
2006-09-01,30.95739219712526
2006-10-01,30.1525
2006-11-01,29.193291839557403
2006-12-01,27.79544616519174
2007-01-01,31.877643034825873
2007-02-01,29.228502188868045
2007-03-01,31.95351637764933
2007-04-01,28.909395973154368
2007-05-01,28.06334022750776
2007-06-01,30.549645390070918
2007-07-01,29.274271844660195
2007-08-01,32.64542322834646
2007-09-01,31.989305270362767
2007-10-01,32.16266666666667
2007-11-01,32.32114453665284
2007-12-01,31.13089970501475
2008-01-01,34.690376243781095
2008-02-01,30.17135709818637
2008-03-01,30.985228002569045
2008-04-01,34.691275167785236
2008-05-01,33.26025508445364
2008-06-01,30.549645390070918
2008-07-01,33.177508090614886
2008-08-01,31.65616797900263
2008-09-01,31.989305270362767
2008-10-01,35.17791666666667
2008-11-01,31.27852697095436
2008-12-01,31.13089970501475
2009-01-01,31.877643034825873
2009-02-01,35.828486554096315
2009-03-01,33.89009312780989
2009-04-01,31.8003355704698
2009-05-01,31.181489141675286
2009-06-01,32.58628841607565
2009-07-01,35.12912621359224
2009-08-01,32.64542322834646
2009-09-01,35.08504449007529
2009-10-01,34.17283333333333
2009-11-01,34.406379668049794
2009-12-01,30.019081858407077
2010-01-01,31.877643034825873
2010-02-01,32.05706691682302
2010-03-01,35.82666987797046
2010-04-01,31.8003355704698
2010-05-01,32.220872113064466
2010-06-01,32.58628841607565
2010-07-01,31.225889967637542
2010-08-01,30.666912729658797
2010-09-01,30.95739219712526
2010-10-01,30.1525
2010-11-01,29.193291839557403
2010-12-01,28.90726401179941
2011-01-01,34.690376243781095
2011-02-01,33.94277673545967
2011-03-01,34.858381502890175
2011-04-01,33.72762863534676
2011-05-01,34.29963805584281
2011-06-01,33.60460992907801
2011-07-01,31.225889967637542
2011-08-01,31.65616797900263
2011-09-01,33.021218343600275
2011-10-01,30.1525
2011-11-01,33.363762102351316
2011-12-01,32.24271755162242
2012-01-01,36.565531716417915
2012-02-01,33.94277673545967
2012-03-01,31.95351637764933
2012-04-01,31.8003355704698
2012-05-01,35.33902102723199
2012-06-01,32.58628841607565
2012-07-01,33.177508090614886
2012-08-01,34.62393372703413
2012-09-01,33.021218343600275
2012-10-01,33.16775
2012-11-01,33.363762102351316
2012-12-01,34.466353244837755
2013-01-01,35.627953980099505
2013-02-01,33.94277673545967
2013-03-01,35.82666987797046
2013-04-01,36.6185682326622
2013-05-01,34.29963805584281
2013-06-01,33.60460992907801
2013-07-01,30.25008090614887
2013-08-01,34.62393372703413
2013-09-01,34.053131416837786
2013-10-01,34.17283333333333
2013-11-01,35.44899723374827
2013-12-01,32.24271755162242
2014-01-01,40.31584266169155
2014-02-01,38.657051282051285
2014-03-01,36.79495825305074
2014-04-01,38.545861297539155
2014-05-01,38.45716994139952
2014-06-01,36.659574468085104
2014-07-01,40.0081715210356
2014-08-01,37.591699475065624
2014-09-01,38.18078370978782
2014-10-01,38.19316666666667
2014-11-01,38.57684993084371
2014-12-01,37.80180678466077
2015-01-01,41.25342039800995
2015-02-01,39.59990619136961
2015-03-01,42.60468850353244
2015-04-01,45.291387024608504
2015-05-01,42.61470182695623
2015-06-01,40.73286052009456
2015-07-01,40.983980582524275
2015-08-01,44.516486220472444
2015-09-01,41.276522929500345
2015-10-01,42.213499999999996
2015-11-01,41.70470262793914
2015-12-01,36.6899889380531
2016-01-01,41.25342039800995
2016-02-01,41.48561601000626
2016-03-01,42.60468850353244
2016-04-01,43.36409395973155
2016-05-01,43.6540847983454
2016-06-01,41.751182033096924
2016-07-01,39.03236245954693
2016-08-01,40.55946522309712
2016-09-01,40.244609856262834
2016-10-01,40.20333333333333
2016-11-01,41.70470262793914
2016-12-01,41.137260324483776
2017-01-01,42.19099813432836
2017-02-01,43.37132582864291
2017-03-01,43.57297687861272
2017-04-01,41.43680089485459
2017-05-01,46.77223371251293
2017-06-01,46.842789598108745
2017-07-01,47.81464401294499
2017-08-01,46.49499671916011
2017-09-01,48.499914442162904
2017-10-01,53.269416666666665
2017-11-01,49.003025587828496
2017-12-01,45.584531710914455
2018-01-01,49.691620024875625
2018-02-01,50.9141651031895
2018-03-01,49.38270712909441
2018-04-01,51.07326621923938
2018-05-01,47.81161668390211
2018-06-01,47.86111111111111
2018-07-01,47.81464401294499
2018-08-01,45.50574146981628
2018-09-01,48.499914442162904
2018-10-01,48.244
2018-11-01,49.003025587828496
2018-12-01,50.03180309734513
2019-01-01,50.629197761194035
2019-02-01,49.02845528455285
2019-03-01,46.47784200385357
2019-04-01,50.1096196868009
2019-05-01,48.85099965529128
2019-06-01,45.824468085106375
2019-07-01,48.79045307443366
2019-08-01,51.44127296587927
2019-09-01,49.53182751540041
2019-10-01,46.23383333333334
2019-11-01,47.96040802213002
2019-12-01,51.1436209439528
2020-01-01,51.56677549751244
2020-02-01,49.971310193871176
2020-03-01,42.60468850353244
2020-04-01,49.14597315436242
2020-05-01,50.929765598069636
