date,insurance payout
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,10.163398692810457
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,5.87320143884892
2006-02-01,8.876321353065538
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,5.819126819126819
2006-10-01,8.656701030927834
2006-11-01,0.0
2006-12-01,5.747433264887063
2007-01-01,5.87320143884892
2007-02-01,5.91754756871036
2007-03-01,7.11437908496732
2007-04-01,6.346938775510203
2007-05-01,5.634057971014493
2007-06-01,6.494199535962877
2007-07-01,7.2405764966740565
2007-08-01,7.2728285077951
2007-09-01,7.758835758835758
2007-10-01,7.694845360824742
2007-11-01,5.942675159235668
2007-12-01,7.663244353182751
2008-01-01,9.229316546762588
2008-02-01,8.876321353065538
2008-03-01,7.11437908496732
2008-04-01,9.520408163265305
2008-05-01,7.887681159420291
2008-06-01,7.576566125290023
2008-07-01,8.274944567627493
2008-08-01,11.428730512249443
2008-09-01,6.788981288981288
2008-10-01,8.656701030927834
2008-11-01,6.933121019108279
2008-12-01,6.705338809034908
2009-01-01,8.390287769784171
2009-02-01,11.83509513742072
2009-03-01,8.130718954248366
2009-04-01,9.520408163265305
2009-05-01,11.268115942028986
2009-06-01,8.658932714617169
2009-07-01,10.343680709534366
2009-08-01,12.467706013363028
2009-09-01,12.608108108108107
2009-10-01,9.618556701030927
2009-11-01,11.885350318471335
2009-12-01,10.536960985626283
2010-01-01,12.585431654676258
2010-02-01,12.821353065539112
2010-03-01,14.22875816993464
2010-04-01,13.751700680272108
2010-05-01,10.141304347826088
2010-06-01,11.906032482598608
2010-07-01,10.343680709534366
2010-08-01,13.506681514476615
2010-09-01,10.668399168399167
2010-10-01,9.618556701030927
2010-11-01,8.914012738853502
2010-12-01,10.536960985626283
2011-01-01,10.907374100719423
2011-02-01,14.793868921775898
2011-03-01,12.196078431372548
2011-04-01,13.751700680272108
2011-05-01,13.521739130434785
2011-06-01,11.906032482598608
2011-07-01,13.446784922394677
2011-08-01,11.428730512249443
2011-09-01,12.608108108108107
2011-10-01,13.465979381443297
2011-11-01,9.904458598726114
2011-12-01,12.45277207392197
2012-01-01,10.068345323741006
2012-02-01,15.780126849894291
2012-03-01,13.212418300653594
2012-04-01,14.809523809523808
2012-05-01,16.90217391304348
2012-06-01,16.23549883990719
2012-07-01,14.481152993348113
2012-08-01,14.5456570155902
2012-09-01,14.547817047817047
2012-10-01,14.42783505154639
2012-11-01,15.847133757961782
2012-12-01,14.368583162217659
2013-01-01,15.941546762589926
2013-02-01,14.793868921775898
2013-03-01,15.245098039215685
2013-04-01,15.86734693877551
2013-05-01,15.775362318840582
2013-06-01,16.23549883990719
2013-07-01,13.446784922394677
2013-08-01,12.467706013363028
2013-09-01,13.577962577962577
2013-10-01,12.504123711340204
2013-11-01,14.85668789808917
2013-12-01,15.326488706365502
2014-01-01,16.780575539568343
2014-02-01,15.780126849894291
2014-03-01,18.294117647058822
2014-04-01,15.86734693877551
2014-05-01,14.648550724637683
2014-06-01,17.317865429234338
2014-07-01,15.515521064301549
2014-08-01,16.62360801781737
2014-09-01,13.577962577962577
2014-10-01,15.389690721649483
2014-11-01,14.85668789808917
2014-12-01,13.410677618069816
2015-01-01,15.941546762589926
2015-02-01,17.752642706131077
2015-03-01,16.26143790849673
2015-04-01,17.982993197278912
2015-05-01,15.775362318840582
2015-06-01,17.317865429234338
2015-07-01,19.652993348115295
2015-08-01,16.62360801781737
2015-09-01,17.457380457380456
2015-10-01,16.351546391752574
2015-11-01,16.837579617834393
2015-12-01,16.284394250513348
2016-01-01,17.61960431654676
2016-02-01,20.711416490486258
2016-03-01,19.310457516339866
2016-04-01,20.098639455782312
2016-05-01,22.536231884057973
2016-06-01,20.564965197215777
2016-07-01,18.61862527716186
2016-08-01,19.74053452115813
2016-09-01,20.366943866943863
2016-10-01,20.198969072164946
2016-11-01,17.828025477707005
2016-12-01,18.200205338809035
2017-01-01,23.49280575539568
2017-02-01,22.683932346723044
2017-03-01,22.359477124183005
2017-04-01,23.272108843537413
2017-05-01,23.66304347826087
2017-06-01,22.72969837587007
2017-07-01,24.82483370288248
2017-08-01,21.8184855233853
2017-09-01,25.216216216216214
2017-10-01,23.084536082474223
2017-11-01,23.77070063694267
2017-12-01,22.03182751540041
2018-01-01,31.883093525179852
2018-02-01,25.642706131078224
2018-03-01,27.441176470588232
2018-04-01,24.329931972789115
2018-05-01,27.04347826086957
2018-06-01,27.059164733178655
2018-07-01,25.859201773835917
2018-08-01,24.935412026726056
2018-09-01,26.186070686070686
2018-10-01,25.00824742268041
2018-11-01,24.761146496815282
2018-12-01,22.989733059548254
2019-01-01,30.20503597122302
2019-02-01,26.628964059196615
2019-03-01,26.424836601307188
2019-04-01,27.503401360544217
2019-05-01,27.04347826086957
2019-06-01,27.059164733178655
2019-07-01,25.859201773835917
2019-08-01,23.896436525612472
2019-09-01,22.306652806652806
2019-10-01,25.00824742268041
2019-11-01,25.751592356687894
2019-12-01,23.9476386036961
2020-01-01,31.883093525179852
2020-02-01,26.628964059196615
2020-03-01,24.392156862745097
2020-04-01,26.445578231292515
2020-05-01,27.04347826086957
2020-06-01,28.1415313225058
2020-07-01,25.859201773835917
2020-08-01,27.01336302895323
2020-09-01,28.12577962577962
2020-10-01,24.046391752577318
2020-11-01,22.780254777070063
2020-12-01,23.9476386036961
2021-01-01,29.3660071942446
2021-02-01,37.47780126849894
2021-03-01,32.52287581699346
2021-04-01,30.67687074829932
2021-05-01,32.67753623188406
2021-06-01,29.223897911832946
2021-07-01,27.92793791574279
2021-08-01,31.169265033407573
2021-09-01,31.035343035343033
2021-10-01,29.817525773195875
2021-11-01,32.68471337579617
2021-12-01,30.652977412731005
2022-01-01,38.59532374100719
2022-02-01,38.464059196617335
2022-03-01,42.68627450980392
2022-04-01,39.13945578231292
2022-05-01,37.184782608695656
2022-06-01,38.96519721577726
2022-07-01,40.34035476718403
2022-08-01,38.442093541202674
2022-09-01,33.944906444906444
2022-10-01,35.58865979381443
2022-11-01,35.65605095541401
2022-12-01,33.52669404517454
2023-01-01,48.6636690647482
2023-02-01,41.422832980972515
2023-03-01,46.7516339869281
2023-04-01,47.60204081632653
2023-05-01,47.32608695652174
2023-06-01,45.45939675174014
2023-07-01,45.51219512195121
2023-08-01,45.71492204899777
2023-09-01,39.76403326403326
2023-10-01,43.28350515463917
2023-11-01,42.58917197452229
2023-12-01,39.2741273100616
2024-01-01,46.14658273381294
2024-02-01,45.36786469344609
2024-03-01,48.78431372549019
2024-04-01,52.89115646258503
2024-05-01,50.70652173913044
2024-06-01,46.54176334106728
2024-07-01,43.44345898004434
2024-08-01,44.67594654788419
2024-09-01,42.67359667359667
2024-10-01,48.092783505154635
2024-11-01,46.55095541401273
2024-12-01,43.105749486652975
2025-01-01,57.053956834532364
2025-02-01,54.24418604651162
2025-03-01,53.86601307189542
2025-04-01,57.12244897959184
2025-05-01,59.72101449275363
2025-06-01,67.10672853828306
2025-07-01,75.50886917960088
2025-08-01,72.728285077951
2025-09-01,81.46777546777545
2025-10-01,75.98659793814433
2025-11-01,88.14968152866241
2025-12-01,95.7905544147844
