date,disability insurance
2004-01-01,92.38225297402282
2004-02-01,95.36904761904762
2004-03-01,81.6468824940048
2004-04-01,90.40686623901163
2004-05-01,79.30689223057645
2004-06-01,91.76749748237664
2004-07-01,96.65012437810945
2004-08-01,88.14303575893973
2004-09-01,89.78573312236287
2004-10-01,77.84366543665436
2004-11-01,73.09306569343065
2004-12-01,80.37792642140468
2005-01-01,73.90580237921826
2005-02-01,79.47420634920634
2005-03-01,76.8441247002398
2005-04-01,80.89035400332621
2005-05-01,81.31466165413535
2005-06-01,80.67472306143002
2005-07-01,80.70783582089553
2005-08-01,78.12678169542386
2005-09-01,70.77228375527427
2005-10-01,67.00467404674046
2005-11-01,65.29647201946472
2005-12-01,68.09796544035673
2006-01-01,72.93335761107065
2006-02-01,70.53335813492063
2006-03-01,69.15971223021583
2006-04-01,64.71228320266097
2006-05-01,63.24473684210527
2006-06-01,70.59038267875125
2006-07-01,68.75111940298508
2006-08-01,69.11215303825956
2006-09-01,66.54707278481013
2006-10-01,68.97539975399754
2006-11-01,62.37274939172749
2006-12-01,61.399804905239684
2007-01-01,72.93335761107065
2007-02-01,60.599082341269835
2007-03-01,68.19916067146283
2007-04-01,64.71228320266097
2007-05-01,66.25639097744362
2007-06-01,65.54821248741189
2007-07-01,68.75111940298508
2007-08-01,64.10402600650163
2007-09-01,62.321861814346
2007-10-01,65.03394833948339
2007-11-01,63.34732360097323
2007-12-01,56.934364548494976
2008-01-01,61.26402039329934
2008-02-01,62.58593749999999
2008-03-01,59.55419664268585
2008-04-01,56.14742219054407
2008-05-01,57.221428571428575
2008-06-01,58.48917421953676
2008-07-01,59.78358208955224
2008-08-01,66.1072768192048
2008-09-01,68.6596782700422
2008-10-01,64.04858548585486
2008-11-01,56.525304136253034
2008-12-01,60.2834448160535
2009-01-01,65.15379946588978
2009-02-01,59.60565476190476
2009-03-01,60.51474820143885
2009-04-01,59.95402708481824
2009-05-01,59.22919799498747
2009-06-01,64.53977844914401
2009-07-01,62.772761194029854
2009-08-01,64.10402600650163
2009-09-01,62.321861814346
2009-10-01,58.13640836408364
2009-11-01,56.525304136253034
2009-12-01,54.70164437012262
2010-01-01,57.374241320708904
2010-02-01,52.6516617063492
2010-03-01,55.71199040767386
2010-04-01,54.24411974340698
2010-05-01,49.190350877192984
2010-06-01,54.455438066465256
2010-07-01,51.812437810945276
2010-08-01,49.07964491122781
2010-09-01,51.75883438818566
2010-10-01,50.253505535055346
2010-11-01,51.652433090024324
2010-12-01,51.352564102564095
2011-01-01,55.42935178441369
2011-02-01,58.61222718253968
2011-03-01,59.55419664268585
2011-04-01,53.292468519838444
2011-05-01,56.217543859649126
2011-06-01,56.472306143001006
2011-07-01,54.80161691542289
2011-08-01,56.091022755688925
2011-09-01,55.984045358649794
2011-10-01,54.194956949569494
2011-11-01,56.525304136253034
2011-12-01,56.934364548494976
2012-01-01,54.45690701626608
2012-02-01,60.599082341269835
2012-03-01,53.790887290167866
2012-04-01,53.292468519838444
2012-05-01,55.21365914786968
2012-06-01,55.463872104733134
2012-07-01,56.79440298507463
2012-08-01,55.08939734933733
2012-09-01,54.92774261603376
2012-10-01,52.22423124231242
2012-11-01,56.525304136253034
2012-12-01,53.58528428093645
2013-01-01,59.319130857004126
2013-02-01,52.6516617063492
2013-03-01,49.94868105515587
2013-04-01,53.292468519838444
2013-05-01,51.19812030075188
2013-06-01,53.447004028197384
2013-07-01,49.819651741293534
2013-08-01,54.087771942985746
2013-09-01,51.75883438818566
2013-10-01,53.20959409594096
2013-11-01,52.62700729927007
2013-12-01,50.23620401337792
2014-01-01,54.45690701626608
2014-02-01,47.68452380952381
2014-03-01,50.90923261390887
2014-04-01,54.24411974340698
2014-05-01,53.20588972431078
2014-06-01,54.455438066465256
2014-07-01,53.80522388059702
2014-08-01,51.08289572393098
2014-09-01,52.815137130801695
2014-10-01,52.22423124231242
2014-11-01,50.67785888077859
2014-12-01,54.70164437012262
2015-01-01,53.484462248118476
2015-02-01,49.67137896825397
2015-03-01,49.94868105515587
2015-04-01,57.09907341411262
2015-05-01,53.20588972431078
2015-06-01,52.438569989929505
2015-07-01,56.79440298507463
2015-08-01,55.08939734933733
2015-09-01,61.26555907172996
2015-10-01,51.23886838868388
2015-11-01,53.601581508515814
2015-12-01,55.8180044593088
2016-01-01,44.73245933478999
2016-02-01,49.67137896825397
2016-03-01,51.869784172661866
2016-04-01,54.24411974340698
2016-05-01,56.217543859649126
2016-06-01,50.421701913393754
2016-07-01,46.83047263681593
2016-08-01,58.0942735683921
2016-09-01,51.75883438818566
2016-10-01,49.268142681426816
2016-11-01,51.652433090024324
2016-12-01,51.352564102564095
2017-01-01,54.45690701626608
2017-02-01,56.62537202380952
2017-03-01,56.672541966426856
2017-04-01,55.19577096697553
2017-05-01,57.221428571428575
2017-06-01,56.472306143001006
2017-07-01,54.80161691542289
2017-08-01,50.081270317579396
2017-09-01,54.92774261603376
2017-10-01,63.06322263222632
2017-11-01,62.37274939172749
2017-12-01,65.86524526198438
2018-01-01,53.484462248118476
2018-02-01,56.62537202380952
2018-03-01,56.672541966426856
2018-04-01,56.14742219054407
2018-05-01,62.24085213032582
2018-06-01,51.43013595166163
2018-07-01,50.816044776119405
2018-08-01,56.091022755688925
2018-09-01,49.64622890295359
2018-10-01,58.13640836408364
2018-11-01,56.525304136253034
2018-12-01,53.58528428093645
2019-01-01,56.4017965525613
2019-02-01,51.65823412698413
2019-03-01,52.83033573141487
2019-04-01,51.38916607270136
2019-05-01,56.217543859649126
