date,health insurance quote
2004-01-01,76.16740850642928
2004-02-01,56.10805860805861
2004-03-01,54.817229038854805
2004-04-01,57.630479102956166
2004-05-01,60.35603715170279
2004-06-01,67.6249322493225
2004-07-01,54.80522088353413
2004-08-01,76.39409722222221
2004-09-01,73.82106666666667
2004-10-01,76.85154690618762
2004-11-01,64.69366022783557
2004-12-01,47.317961165048544
2005-01-01,59.77695351137488
2005-02-01,74.47069597069599
2005-03-01,75.74744376278119
2005-04-01,65.57951070336391
2005-05-01,73.43317853457174
2005-06-01,67.6249322493225
2005-07-01,54.80522088353413
2005-08-01,48.35069444444444
2005-09-01,46.788000000000004
2005-10-01,42.80339321357285
2005-11-01,56.96904408122833
2005-12-01,56.78155339805825
2006-01-01,59.77695351137488
2006-02-01,57.12820512820514
2006-03-01,49.8338445807771
2006-04-01,51.66870540265036
2006-05-01,57.33823529411765
2006-06-01,48.60542005420054
2006-07-01,60.67720883534136
2006-08-01,54.15277777777777
2006-09-01,60.30453333333334
2006-10-01,57.39545908183633
2006-11-01,56.00346706290243
2006-12-01,67.29665587918015
2007-01-01,68.45425321463898
2007-02-01,70.3901098901099
2007-03-01,90.69759713701431
2007-04-01,99.36289500509685
2007-05-01,95.56372549019609
2007-06-01,92.98428184281843
2007-07-01,83.18649598393574
2007-08-01,78.328125
2007-09-01,71.7416
2007-10-01,68.09630738522954
2007-11-01,62.76250619118375
2007-12-01,49.420981661272926
2008-01-01,54.95623145400594
2008-02-01,54.067765567765576
2008-03-01,46.843813905930475
2008-04-01,46.70056065239552
2008-05-01,43.255159958720334
2008-06-01,44.37886178861789
2008-07-01,47.95456827309237
2008-08-01,44.482638888888886
2008-09-01,41.589333333333336
2008-10-01,38.91217564870259
2008-11-01,36.69192669638435
2008-12-01,46.26645091693635
2009-01-01,32.7809099901088
2009-02-01,36.72527472527473
2009-03-01,35.88036809815951
2009-04-01,35.77064220183486
2009-05-01,28.166150670794636
2009-06-01,36.98238482384824
2009-07-01,40.125251004016064
2009-08-01,43.515625
2009-09-01,38.47013333333334
2009-10-01,34.04815369261477
2009-11-01,31.864041604754828
2009-12-01,31.545307443365694
2010-01-01,28.924332344213653
2010-02-01,27.543956043956047
2010-03-01,30.8969836400818
2010-04-01,27.821610601427114
2010-05-01,31.183952528379777
2010-06-01,28.52926829268293
2010-07-01,32.29593373493976
2010-08-01,35.779513888888886
2010-09-01,32.23173333333334
2010-10-01,25.292914171656687
2010-11-01,22.20827142149579
2010-12-01,28.390776699029125
2011-01-01,27.960187932739863
2011-02-01,29.584249084249088
2011-03-01,27.906952965235174
2011-04-01,27.821610601427114
2011-05-01,30.178018575851397
2011-06-01,24.30271002710027
2011-07-01,24.466616465863453
2011-08-01,23.208333333333332
2011-09-01,29.112533333333335
2011-10-01,24.32010978043912
2011-11-01,22.20827142149579
2011-12-01,21.030204962243797
2012-01-01,22.175321463897134
2012-02-01,22.443223443223445
2012-03-01,19.93353783231084
2012-04-01,21.859836901121305
2012-05-01,25.1483488132095
2012-06-01,24.30271002710027
2012-07-01,23.487951807228914
2012-08-01,23.208333333333332
2012-09-01,22.874133333333333
2012-10-01,24.32010978043912
2012-11-01,21.242694403169885
2012-12-01,19.978694714131606
2013-01-01,23.13946587537092
2013-02-01,21.423076923076927
2013-03-01,20.93021472392638
2013-04-01,22.853465851172274
2013-05-01,22.130546955624357
2013-06-01,21.13279132791328
2013-07-01,18.594628514056225
2013-08-01,25.14236111111111
2013-09-01,28.0728
2013-10-01,38.91217564870259
2013-11-01,23.173848439821693
2013-12-01,26.287756202804747
2014-01-01,26.031899109792285
2014-02-01,21.423076923076927
2014-03-01,26.910276073619634
2014-04-01,20.866207951070336
2014-05-01,19.11274509803922
2014-06-01,17.962872628726288
2014-07-01,18.594628514056225
2014-08-01,17.40625
2014-09-01,18.715200000000003
2014-10-01,21.401696606786427
2014-11-01,22.20827142149579
2014-12-01,21.030204962243797
2015-01-01,15.426310583580614
2015-02-01,21.423076923076927
2015-03-01,16.943507157464214
2015-04-01,18.8789500509684
2015-05-01,14.083075335397318
2015-06-01,15.849593495934961
