date,short term disability insurance
2004-01-01,42.97307312252965
2004-02-01,39.06790780141844
2004-03-01,41.92697035430225
2004-04-01,45.68146008403362
2004-05-01,0.0
2004-06-01,31.10783261802575
2004-07-01,39.48586993530814
2004-08-01,28.01207729468599
2004-09-01,34.514880952380956
2004-10-01,42.891013534781244
2004-11-01,35.63972269868496
2004-12-01,41.21642349420127
2005-01-01,30.558629776021082
2005-02-01,42.152216312056744
2005-03-01,31.445227765726685
2005-04-01,37.56031162464986
2005-05-01,37.34396955503512
2005-06-01,34.21861587982833
2005-07-01,44.421603677221654
2005-08-01,42.018115942028984
2005-09-01,26.147637085137088
2005-10-01,20.989219389361033
2005-11-01,26.52258433390509
2005-12-01,30.369996258885152
2006-01-01,31.513586956521742
2006-02-01,32.89929078014185
2006-03-01,33.5415762834418
2006-04-01,30.454306722689076
2006-05-01,30.554156908665103
2006-06-01,42.514037911301855
2006-07-01,42.44731018045625
2006-08-01,35.01509661835749
2006-09-01,36.606691919191924
2006-10-01,31.94011646207114
2006-11-01,28.18024585477416
2006-12-01,36.877852600074824
2007-01-01,39.15324440052701
2007-02-01,27.758776595744685
2007-03-01,25.15618221258135
2007-04-01,32.484593837535016
2007-05-01,33.94906323185011
2007-06-01,29.033977110157366
2007-07-01,37.51157643854273
2007-08-01,36.015527950310556
2007-09-01,39.744408369408376
2007-10-01,37.41556499842619
2007-11-01,30.66673813607776
2007-12-01,33.623924429479985
2008-01-01,44.88298748353096
2008-02-01,34.955496453900714
2008-03-01,41.92697035430225
2008-04-01,39.5905987394958
2008-05-01,30.554156908665103
2008-06-01,33.181688125894134
2008-07-01,36.52442969016003
2008-08-01,39.01682194616977
2008-09-01,48.11165223665224
2008-10-01,40.153289266603714
2008-11-01,33.153230417381366
2008-12-01,43.3857089412645
2009-01-01,42.97307312252965
2009-02-01,45.23652482269504
2009-03-01,35.63792480115691
2009-04-01,35.53002450980392
2009-05-01,41.87051131928181
2009-06-01,48.73560443490701
2009-07-01,46.39589717398706
2009-08-01,45.0194099378882
2009-09-01,43.928030303030305
2009-10-01,39.24071451054454
2009-11-01,39.78387650085764
2009-12-01,43.3857089412645
2010-01-01,41.06315876152833
2010-02-01,38.03980496453901
2010-03-01,44.02331887201736
2010-04-01,43.65117296918768
2010-05-01,40.738875878220135
2010-06-01,42.514037911301855
2010-07-01,34.55013619339462
2010-08-01,35.01509661835749
2010-09-01,37.65259740259741
2010-10-01,35.59041548630784
2010-11-01,29.837907375643226
2010-12-01,28.200710811821924
2011-01-01,37.243330039525695
2011-02-01,40.09601063829788
2011-03-01,45.07149313087492
2011-04-01,42.63602941176471
2011-05-01,40.738875878220135
2011-06-01,41.47711015736767
2011-07-01,40.473016683690844
2011-08-01,40.017253278122844
2011-09-01,39.744408369408376
2011-10-01,35.59041548630784
2011-11-01,33.9820611778159
2011-12-01,40.131780770669664
2012-01-01,40.10820158102767
2012-02-01,42.152216312056744
2012-03-01,41.92697035430225
2012-04-01,40.60574229691877
2012-05-01,47.52868852459016
2012-06-01,38.366326895565095
2012-07-01,40.473016683690844
2012-08-01,43.01854727398206
2012-09-01,34.514880952380956
2012-10-01,36.50299024236701
2012-11-01,33.153230417381366
2012-12-01,37.96249532360644
2013-01-01,47.74785902503294
2013-02-01,41.12411347517731
2013-03-01,42.975144613159806
2013-04-01,41.620885854341736
2013-05-01,43.00214676034348
2013-06-01,47.69867668097282
2013-07-01,38.49872318692543
2013-08-01,41.01768461007592
2013-09-01,43.928030303030305
2013-10-01,41.06586402266289
2013-11-01,43.928030303030305
2013-12-01,36.877852600074824
2014-01-01,44.88298748353096
2014-02-01,46.26462765957447
2014-03-01,42.975144613159806
2014-04-01,43.65117296918768
2014-05-01,44.13378220140515
2014-06-01,42.514037911301855
2014-07-01,44.421603677221654
2014-08-01,47.02027260179434
2014-09-01,50.20346320346321
2014-10-01,46.541312559017946
2014-11-01,43.09919954259577
2014-12-01,46.63963711185934
2015-01-01,45.837944664031625
2015-02-01,44.208421985815605
2015-03-01,47.16784164859003
2015-04-01,43.65117296918768
2015-05-01,53.186865729898514
2015-06-01,48.73560443490701
2015-07-01,50.34448416751788
2015-08-01,48.02070393374741
2015-09-01,51.24936868686869
2015-10-01,48.3664620711363
2015-11-01,43.09919954259577
2015-12-01,43.3857089412645
2016-01-01,46.79290184453228
2016-02-01,46.26462765957447
2016-03-01,47.16784164859003
2016-04-01,47.71174719887956
2016-05-01,49.7919594067135
2016-06-01,45.624821173104436
2016-07-01,41.46016343207354
2016-08-01,47.02027260179434
2016-09-01,47.065746753246756
2016-10-01,41.978438778722065
2016-11-01,43.09919954259577
2016-12-01,45.55499438832773
2017-01-01,48.7028162055336
2017-02-01,45.23652482269504
2017-03-01,45.07149313087492
2017-04-01,46.69660364145658
2017-05-01,56.581772053083526
2017-06-01,50.80945994277539
2017-07-01,50.34448416751788
2017-08-01,51.02199792960663
2017-09-01,50.20346320346321
2017-10-01,53.84191060749135
