date,long term disability insurance
2004-01-01,55.66980971797485
2004-02-01,75.80993868989997
2004-03-01,53.47471723220226
2004-04-01,63.27119883040936
2004-05-01,68.42211760819292
2004-06-01,53.892085076708504
2004-07-01,58.051643192488264
2004-08-01,47.704475308641975
2004-09-01,60.41888770433547
2004-10-01,51.788705950317734
2004-11-01,50.3926399026764
2004-12-01,55.39874551971325
2005-01-01,49.36756710839279
2005-02-01,57.854953210713134
2005-03-01,52.44635728542914
2005-04-01,48.2066276803119
2005-05-01,42.89147670961347
2005-06-01,36.64661785216178
2005-07-01,49.758551307847085
2005-08-01,49.824674211248286
2005-09-01,46.138059701492544
2005-10-01,37.502166377816295
2005-11-01,30.83728710462287
2005-12-01,36.563172043010745
2006-01-01,53.5690621814475
2006-02-01,33.91497257179736
2006-03-01,23.652278775781767
2006-04-01,32.137751786874595
2006-05-01,38.806574165840765
2006-06-01,49.58071827057183
2006-07-01,40.42882293762575
2006-08-01,40.28377914951989
2006-09-01,37.3498578535892
2006-10-01,46.431253610629696
2006-11-01,34.59793187347932
2006-12-01,36.563172043010745
2007-01-01,46.216445803601765
2007-02-01,33.91497257179736
2007-03-01,43.19111776447106
2007-04-01,38.16358024691358
2007-05-01,33.70044598612487
2007-06-01,38.80230125523013
2007-07-01,43.5387323943662
2007-08-01,41.34387860082305
2007-09-01,35.152807391613365
2007-10-01,43.75252744078568
2007-11-01,39.86283454987834
2007-12-01,34.34722222222222
2008-01-01,29.41046551138294
2008-02-01,36.907470151661826
2008-03-01,39.07767797737857
2008-04-01,41.17649447693307
2008-05-01,32.679220350181694
2008-06-01,34.490934449093444
2008-07-01,40.42882293762575
2008-08-01,46.644375857338815
2008-09-01,39.546908315565034
2008-10-01,34.82344020797227
2008-11-01,39.86283454987834
2008-12-01,35.45519713261648
2009-01-01,31.511213047910292
2009-02-01,47.87996127783156
2009-03-01,43.19111776447106
2009-04-01,38.16358024691358
2009-05-01,41.870251073670296
2009-06-01,43.11366806136681
2009-07-01,49.758551307847085
2009-08-01,41.34387860082305
2009-09-01,42.842484008528785
2009-10-01,41.966709994222995
2009-11-01,41.367092457420924
2009-12-01,48.75089605734767
2010-01-01,39.914203194019706
2010-02-01,44.887463697967085
2010-03-01,52.44635728542914
2010-04-01,35.150666016894085
2010-05-01,38.806574165840765
2010-06-01,38.80230125523013
2010-07-01,44.575368879946346
2010-08-01,32.86308299039781
2010-09-01,35.152807391613365
2010-10-01,37.502166377816295
2010-11-01,29.33302919708029
2010-12-01,35.45519713261648
2011-01-01,38.86382942575603
2011-02-01,41.894966118102616
2011-03-01,46.27619760479042
2011-04-01,39.16788499025341
2011-05-01,38.806574165840765
2011-06-01,44.19150976290098
2011-07-01,41.4654594232059
2011-08-01,36.04338134430727
2011-09-01,40.64543354655295
2011-10-01,39.287983824378976
2011-11-01,38.35857664233576
2011-12-01,35.45519713261648
2012-01-01,37.813455657492355
2012-02-01,41.894966118102616
2012-03-01,41.134397870924815
2012-04-01,41.17649447693307
2012-05-01,39.82779980178394
2012-06-01,45.26935146443515
2012-07-01,43.5387323943662
2012-08-01,50.88477366255144
2012-09-01,43.9410092395167
2012-10-01,39.287983824378976
2012-11-01,37.60644768856448
2012-12-01,37.671146953405014
2013-01-01,45.16607203533809
2013-02-01,43.88996450467893
2013-03-01,43.19111776447106
2013-04-01,45.1937134502924
2013-05-01,42.89147670961347
2013-06-01,44.19150976290098
2013-07-01,39.39218645204561
2013-08-01,44.52417695473251
2013-09-01,49.433635394456296
2013-10-01,45.53834488734836
2013-11-01,45.87986618004866
