date,umbrella insurance
2004-01-01,39.19577695776958
2004-02-01,16.523809523809526
2004-03-01,32.88562091503268
2004-04-01,37.76530023094688
2004-05-01,28.081889915319476
2004-06-01,35.60465549348231
2004-07-01,37.548507462686565
2004-08-01,41.92916666666667
2004-09-01,31.702540650406505
2004-10-01,35.81138790035587
2004-11-01,31.379247311827957
2004-12-01,33.32119205298013
2005-01-01,37.132841328413285
2005-02-01,33.04761904761905
2005-03-01,44.4923106497501
2005-04-01,29.050230946882216
2005-05-01,29.050230946882216
2005-06-01,29.982867783985103
2005-07-01,25.03233830845771
2005-08-01,38.11742424242424
2005-09-01,38.861178861788616
2005-10-01,33.8218663503361
2005-11-01,27.051075268817204
2005-12-01,28.878366445916114
2006-01-01,27.849630996309966
2006-02-01,37.17857142857143
2006-03-01,31.9183967704729
2006-04-01,30.986913010007697
2006-05-01,31.955254041570438
2006-06-01,28.108938547486034
2006-07-01,27.920685036356677
2006-08-01,27.635132575757574
2006-09-01,30.679878048780488
2006-10-01,30.83758402530644
2006-11-01,27.051075268817204
2006-12-01,31.099779249448126
2007-01-01,31.97550225502255
2007-02-01,30.98214285714286
2007-03-01,30.951172625913113
2007-04-01,30.986913010007697
2007-05-01,30.018571978444957
2007-06-01,32.793761638733706
2007-07-01,30.809031764255643
2007-08-01,26.682196969696967
2007-09-01,26.589227642276423
2007-10-01,31.832344800316328
2007-11-01,31.379247311827957
2007-12-01,28.878366445916114
2008-01-01,28.881098810988114
2008-02-01,29.949404761904766
2008-03-01,29.016724336793544
2008-04-01,27.113548883756735
2008-05-01,31.955254041570438
2008-06-01,29.04590316573557
2008-07-01,26.957902793723687
2008-08-01,27.635132575757574
2008-09-01,27.61189024390244
2008-10-01,26.8585409252669
2008-11-01,27.051075268817204
2008-12-01,26.656953642384106
2009-01-01,26.818163181631817
2009-02-01,28.91666666666667
2009-03-01,28.049500192233758
2009-04-01,29.050230946882216
2009-05-01,30.018571978444957
2009-06-01,31.856797020484173
2009-07-01,30.809031764255643
2009-08-01,33.35274621212121
2009-09-01,29.657215447154474
2009-10-01,32.827105575326215
2009-11-01,30.29720430107527
2009-12-01,27.767660044150112
2010-01-01,31.97550225502255
2010-02-01,26.851190476190478
2010-03-01,30.951172625913113
2010-04-01,29.050230946882216
2010-05-01,31.955254041570438
2010-06-01,27.1719739292365
2010-07-01,23.10677382319173
2010-08-01,23.82339015151515
2010-09-01,23.521239837398376
2010-10-01,25.863780150257018
2010-11-01,23.80494623655914
2010-12-01,22.214128035320087
2011-01-01,30.944034440344407
2011-02-01,30.98214285714286
2011-03-01,26.11505190311419
2011-04-01,28.081889915319476
2011-05-01,26.145207852193995
2011-06-01,28.108938547486034
2011-07-01,26.957902793723687
2011-08-01,26.682196969696967
2011-09-01,27.61189024390244
2011-10-01,23.874258600237248
2011-11-01,25.969032258064516
2011-12-01,23.324834437086093
2012-01-01,24.755227552275525
2012-02-01,27.883928571428573
2012-03-01,24.18060361399462
2012-04-01,25.176866820631254
2012-05-01,34.86027713625866
2012-06-01,32.793761638733706
2012-07-01,25.03233830845771
2012-08-01,24.776325757575755
2012-09-01,25.566565040650406
2012-10-01,22.87949782522736
2012-11-01,24.886989247311828
