date,ACA marketplace
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,3.204918032786885
2013-07-01,3.576219512195122
2013-08-01,6.5166666666666675
2013-09-01,15.205555555555557
2013-10-01,15.505172413793105
2013-11-01,5.064766839378239
2013-12-01,3.678763440860215
2014-01-01,6.883802816901409
2014-02-01,5.213333333333334
2014-03-01,8.26056338028169
2014-04-01,7.083333333333334
2014-05-01,3.5545454545454547
2014-06-01,4.807377049180327
2014-07-01,4.7682926829268295
2014-08-01,3.91
2014-09-01,5.430555555555556
2014-10-01,3.370689655172414
2014-11-01,5.064766839378239
2014-12-01,3.153225806451613
2015-01-01,8.26056338028169
2015-02-01,9.123333333333335
2015-03-01,6.883802816901409
2015-04-01,7.083333333333334
2015-05-01,5.331818181818182
2015-06-01,6.40983606557377
2015-07-01,4.7682926829268295
2015-08-01,3.91
2015-09-01,5.430555555555556
2015-10-01,4.044827586206897
2015-11-01,4.558290155440415
2015-12-01,2.6276881720430105
2016-01-01,5.507042253521127
2016-02-01,6.5166666666666675
2016-03-01,5.507042253521127
2016-04-01,5.666666666666667
2016-05-01,7.109090909090909
2016-06-01,4.807377049180327
2016-07-01,3.576219512195122
2016-08-01,5.213333333333334
2016-09-01,4.344444444444445
2016-10-01,4.718965517241379
2016-11-01,3.038860103626943
2016-12-01,2.6276881720430105
2017-01-01,11.014084507042254
2017-02-01,7.82
2017-03-01,8.26056338028169
2017-04-01,7.083333333333334
2017-05-01,7.109090909090909
2017-06-01,6.40983606557377
2017-07-01,4.7682926829268295
2017-08-01,6.5166666666666675
2017-09-01,5.430555555555556
2017-10-01,5.393103448275863
2017-11-01,5.571243523316062
2017-12-01,3.678763440860215
2018-01-01,4.130281690140845
2018-02-01,5.213333333333334
2018-03-01,5.507042253521127
2018-04-01,4.25
2018-05-01,3.5545454545454547
2018-06-01,4.807377049180327
2018-07-01,3.576219512195122
2018-08-01,3.91
2018-09-01,3.2583333333333337
2018-10-01,3.370689655172414
2018-11-01,3.545336787564767
2018-12-01,3.153225806451613
2019-01-01,5.507042253521127
2019-02-01,5.213333333333334
2019-03-01,4.130281690140845
2019-04-01,5.666666666666667
2019-05-01,5.331818181818182
2019-06-01,4.807377049180327
2019-07-01,3.576219512195122
2019-08-01,5.213333333333334
2019-09-01,3.2583333333333337
2019-10-01,3.370689655172414
2019-11-01,3.038860103626943
2019-12-01,3.153225806451613
2020-01-01,4.130281690140845
2020-02-01,3.91
2020-03-01,5.507042253521127
2020-04-01,5.666666666666667
2020-05-01,5.331818181818182
2020-06-01,6.40983606557377
2020-07-01,4.7682926829268295
2020-08-01,5.213333333333334
2020-09-01,4.344444444444445
2020-10-01,4.718965517241379
2020-11-01,3.545336787564767
2020-12-01,2.6276881720430105
2021-01-01,5.507042253521127
2021-02-01,6.5166666666666675
2021-03-01,6.883802816901409
2021-04-01,5.666666666666667
2021-05-01,8.886363636363637
2021-06-01,4.807377049180327
2021-07-01,4.7682926829268295
2021-08-01,6.5166666666666675
2021-09-01,5.430555555555556
2021-10-01,3.370689655172414
2021-11-01,3.038860103626943
2021-12-01,3.153225806451613
2022-01-01,8.26056338028169
2022-02-01,11.73
2022-03-01,9.637323943661972
2022-04-01,11.333333333333334
2022-05-01,8.886363636363637
2022-06-01,8.012295081967212
2022-07-01,5.960365853658537
2022-08-01,7.82
2022-09-01,6.5166666666666675
2022-10-01,5.393103448275863
2022-11-01,4.051813471502591
2022-12-01,4.204301075268817
2023-01-01,9.637323943661972
2023-02-01,9.123333333333335
2023-03-01,8.26056338028169
2023-04-01,9.916666666666668
2023-05-01,10.663636363636364
2023-06-01,8.012295081967212
2023-07-01,7.152439024390244
2023-08-01,7.82
2023-09-01,7.602777777777779
2023-10-01,6.067241379310346
2023-11-01,4.558290155440415
2023-12-01,5.780913978494623
2024-01-01,12.390845070422536
2024-02-01,11.73
2024-03-01,12.390845070422536
2024-04-01,14.166666666666668
2024-05-01,12.440909090909091
2024-06-01,11.217213114754097
2024-07-01,8.344512195121952
2024-08-01,10.426666666666668
2024-09-01,9.775000000000002
2024-10-01,7.415517241379311
2024-11-01,7.597150259067358
2024-12-01,7.35752688172043
2025-01-01,16.52112676056338
2025-02-01,15.64
2025-03-01,16.52112676056338
2025-04-01,14.166666666666668
2025-05-01,19.55
2025-06-01,24.036885245901637
2025-07-01,38.146341463414636
2025-08-01,24.763333333333335
2025-09-01,21.722222222222225
2025-10-01,31.01034482758621
2025-11-01,45.076424870466326
2025-12-01,52.553763440860216
