date,medicare supplement
2004-01-01,17.519296740994854
2004-02-01,16.60772357723577
2004-03-01,15.949399399399397
2004-04-01,16.54563862928349
2004-05-01,10.144009931719427
2004-06-01,17.39991482112436
2004-07-01,16.743852459016395
2004-08-01,12.49388379204893
2004-09-01,12.828864734299517
2004-10-01,8.414369455006335
2004-11-01,13.007004138809295
2004-12-01,10.026885319053994
2005-01-01,19.855202973127497
2005-02-01,21.35278745644599
2005-03-01,17.176276276276276
2005-04-01,17.818380062305298
2005-05-01,16.48401613904407
2005-06-01,17.39991482112436
2005-07-01,15.627595628415301
2005-08-01,15.617354740061161
2005-09-01,11.842028985507246
2005-10-01,7.767110266159695
2005-11-01,10.405603311047436
2005-12-01,13.673025435073628
2006-01-01,17.519296740994854
2006-02-01,18.98025551684088
2006-03-01,15.949399399399397
2006-04-01,16.54563862928349
2006-05-01,16.48401613904407
2006-06-01,12.759937535491197
2006-07-01,13.395081967213116
2006-08-01,14.576197757390418
2006-09-01,11.842028985507246
2006-10-01,9.061628643852977
2006-11-01,9.755253104106972
2006-12-01,14.584560464078537
2007-01-01,15.183390508862205
2007-02-01,14.23519163763066
2007-03-01,17.176276276276276
2007-04-01,16.54563862928349
2007-05-01,17.752017380509
2007-06-01,18.55990914253265
2007-07-01,15.627595628415301
2007-08-01,18.740825688073393
2007-09-01,14.802536231884059
2007-10-01,11.650665399239543
2007-11-01,13.007004138809295
2007-12-01,16.407630522088354
2008-01-01,16.35134362492853
2008-02-01,15.421457607433215
2008-03-01,15.949399399399397
2008-04-01,15.272897196261685
2008-05-01,15.216014897579141
2008-06-01,16.239920499716067
2008-07-01,18.97636612021858
2008-08-01,13.535040774719674
2008-09-01,12.828864734299517
2008-10-01,11.003406210392901
2008-11-01,14.95805475963069
2008-12-01,21.876840696117807
2009-01-01,18.687249857061175
2009-02-01,18.98025551684088
2009-03-01,19.630030030030028
2009-04-01,17.818380062305298
2009-05-01,19.020018621973925
2009-06-01,19.71990346394094
2009-07-01,18.97636612021858
2009-08-01,19.78198267074414
2009-09-01,17.76304347826087
2009-10-01,16.18147972116603
2009-11-01,18.209805794333015
2009-12-01,26.43451584114235
2010-01-01,22.191109205260148
2010-02-01,22.539053426248547
2010-03-01,26.99129129129129
2010-04-01,24.182087227414332
2010-05-01,22.82402234636871
2010-06-01,22.03989210675752
2010-07-01,17.860109289617487
2010-08-01,18.740825688073393
2010-09-01,18.74987922705314
2010-10-01,16.82873891001267
2010-11-01,19.510506208213943
2010-12-01,29.169120928157074
2011-01-01,23.35906232132647
2011-02-01,22.539053426248547
2011-03-01,24.537537537537535
2011-04-01,22.909345794392525
2011-05-01,22.82402234636871
2011-06-01,22.03989210675752
2011-07-01,22.325136612021858
2011-08-01,22.90545361875637
2011-09-01,23.684057971014493
2011-10-01,23.301330798479086
2011-11-01,24.71330786373766
2011-12-01,20.965305667112897
2012-01-01,21.023156089193822
2012-02-01,21.35278745644599
2012-03-01,19.630030030030028
2012-04-01,21.63660436137072
2012-05-01,22.82402234636871
2012-06-01,20.879897785349232
2012-07-01,22.325136612021858
2012-08-01,23.946610601427114
2012-09-01,23.684057971014493
2012-10-01,22.654071609632442
2012-11-01,24.062957656797195
2012-12-01,21.876840696117807
2013-01-01,23.35906232132647
2013-02-01,22.539053426248547
2013-03-01,22.08378378378378
2013-04-01,25.45482866043614
2013-05-01,24.09202358783364
2013-06-01,22.03989210675752
2013-07-01,24.557650273224045
2013-08-01,26.028924566768602
2013-09-01,29.605072463768117
2013-10-01,28.479404309252214
2013-11-01,29.265759312320913
2013-12-01,26.43451584114235
2014-01-01,26.86292166952544
2014-02-01,24.911585365853657
2014-03-01,25.76441441441441
2014-04-01,26.727570093457945
2014-05-01,25.360024829298567
2014-06-01,26.679869392390685
2014-07-01,27.906420765027324
2014-08-01,27.070081549439347
2014-09-01,30.591908212560387
2014-10-01,32.36295944233206
2014-11-01,32.51751034702324
2014-12-01,30.080655957161984
2015-01-01,30.36678101772441
2015-02-01,28.47038327526132
2015-03-01,29.445045045045042
2015-04-01,29.27305295950156
2015-05-01,30.432029795158282
2015-06-01,30.159852356615556
2015-07-01,30.138934426229508
2015-08-01,31.234709480122323
2015-09-01,33.5524154589372
2015-10-01,36.24651457541191
2015-11-01,31.216809933142308
2015-12-01,30.992190986166893
2016-01-01,31.534734133790735
2016-02-01,33.21544715447154
2016-03-01,29.445045045045042
2016-04-01,31.818535825545176
2016-05-01,38.04003724394785
2016-06-01,34.79982964224872
2016-07-01,32.371448087431695
2016-08-01,35.3993374108053
2016-09-01,34.53925120772947
2016-10-01,32.36295944233206
2016-11-01,33.818210760904165
2016-12-01,31.9037260151718
2017-01-01,35.03859348198971
2017-02-01,37.96051103368176
2017-03-01,40.486936936936935
2017-04-01,42.00046728971963
2017-05-01,40.57603972687771
2017-06-01,34.79982964224872
2017-07-01,36.83647540983607
2017-08-01,34.35818042813455
2017-09-01,37.49975845410628
2017-10-01,41.42458808618504
2017-11-01,39.67136262336835
2017-12-01,30.992190986166893
