date,health insurance
2004-01-01,66.17151008492569
2004-02-01,58.62853706847765
2004-03-01,63.30193133047211
2004-04-01,62.220195195195195
2004-05-01,66.95424213536701
2004-06-01,71.20599078341013
2004-07-01,70.07012910798123
2004-08-01,73.03639601139602
2004-09-01,72.58639010189228
2004-10-01,59.08307045215563
2004-11-01,51.603441608662024
2004-12-01,54.99384787472036
2005-01-01,60.57955148619957
2005-02-01,62.60335314091681
2005-03-01,66.31630901287554
2005-04-01,64.32935435435435
2005-05-01,63.60653002859867
2005-06-01,71.20599078341013
2005-07-01,62.85702758215963
2005-08-01,68.03390313390314
2005-09-01,62.36295487627365
2005-10-01,54.467205573080975
2005-11-01,53.41408868265017
2005-12-01,52.04774888143177
2006-01-01,60.57955148619957
2006-02-01,55.647425014148276
2006-03-01,56.268383404864096
2006-04-01,62.220195195195195
2006-05-01,62.49062599300922
2006-06-01,58.25944700460829
2006-07-01,62.85702758215963
2006-08-01,62.030911680911686
2006-09-01,58.273580786026194
2006-10-01,54.467205573080975
2006-11-01,50.698118071667956
2006-12-01,49.10164988814318
2007-01-01,61.51154458598726
2007-02-01,55.647425014148276
2007-03-01,57.27317596566524
2007-04-01,61.165615615615614
2007-05-01,64.72243406418812
2007-06-01,64.73271889400921
2007-07-01,63.887470657277
2007-08-01,64.03190883190884
2007-09-01,61.340611353711786
2007-10-01,54.467205573080975
2007-11-01,52.5087651456561
2007-12-01,48.119616890380314
2008-01-01,57.783572186836516
2008-02-01,56.641129032258064
2008-03-01,54.258798283261804
2008-04-01,56.9472972972973
2008-05-01,59.14291388624086
2008-06-01,52.865053763440855
2008-07-01,53.583039906103295
2008-08-01,56.027920227920234
2008-09-01,57.25123726346433
2008-10-01,58.1598974763407
2008-11-01,48.88747099767981
2008-12-01,50.08368288590604
2009-01-01,56.85157908704883
2009-02-01,57.63483305036785
2009-03-01,59.28276108726753
2009-04-01,58.00187687687688
2009-05-01,60.258817921830314
2009-06-01,66.89047619047619
2009-07-01,65.94835680751174
2009-08-01,71.03539886039887
2009-09-01,67.47467248908296
2009-10-01,60.929416403785496
2009-11-01,55.22473575663831
2009-12-01,53.02978187919463
2010-01-01,52.1916135881104
2010-02-01,54.65372099603848
2010-03-01,71.34027181688126
2010-04-01,54.83813813813814
2010-05-01,54.67929774388306
2010-06-01,53.943932411674346
2010-07-01,45.33949530516432
2010-08-01,50.02492877492878
2010-09-01,50.094832605531295
2010-10-01,45.235475814931654
2010-11-01,40.73955916473318
2010-12-01,41.24538590604027
2011-01-01,46.599654989384284
