date,insurance cancellation
2004-01-01,28.534341303328645
2004-02-01,30.11119081779053
2004-03-01,17.817806076854335
2004-04-01,33.613613613613616
2004-05-01,21.764814814814812
2004-06-01,23.92555859553124
2004-07-01,25.67278287461774
2004-08-01,28.90840220385675
2004-09-01,24.05144494270055
2004-10-01,38.06556372549019
2004-11-01,32.368781094527364
2004-12-01,21.167423096318707
2005-01-01,29.518284106891702
2005-02-01,22.08153993304639
2005-03-01,28.133378016085793
2005-04-01,27.311061061061064
2005-05-01,25.91049382716049
2005-06-01,25.839603283173737
2005-07-01,31.174093490607255
2005-08-01,26.017561983471076
2005-09-01,20.91429995017439
2005-10-01,22.63357843137255
2005-11-01,24.015547263681594
2005-12-01,23.284165405950578
2006-01-01,20.66279887482419
2006-02-01,25.09265901482544
2006-03-01,25.320040214477213
2006-04-01,26.260635635635637
2006-05-01,26.94691358024691
2006-06-01,27.753647970816235
2006-07-01,25.67278287461774
2006-08-01,25.05394857667585
2006-09-01,27.188589935226705
2006-10-01,26.748774509803923
2006-11-01,18.794776119402986
2006-12-01,17.992309631870903
2007-01-01,22.630684481950304
2007-02-01,22.08153993304639
2007-03-01,23.444481680071494
2007-04-01,22.058933933933936
2007-05-01,24.874074074074073
2007-06-01,25.839603283173737
2007-07-01,22.922127566622983
2007-08-01,22.163108356290174
2007-09-01,20.91429995017439
2007-10-01,23.662377450980394
2007-11-01,17.750621890547265
2007-12-01,17.992309631870903
2008-01-01,21.646741678387247
2008-02-01,24.088952654232422
2008-03-01,23.444481680071494
2008-04-01,24.159784784784787
2008-05-01,22.801234567901233
2008-06-01,21.05449156406749
2008-07-01,25.67278287461774
2008-08-01,22.163108356290174
2008-09-01,20.91429995017439
2008-10-01,20.575980392156865
2008-11-01,19.83893034825871
2008-12-01,21.167423096318707
2009-01-01,17.71097046413502
2009-02-01,25.09265901482544
2009-03-01,23.444481680071494
2009-04-01,26.260635635635637
2009-05-01,24.874074074074073
2009-06-01,27.753647970816235
2009-07-01,22.922127566622983
2009-08-01,24.090335169880625
2009-09-01,26.142874937717984
2009-10-01,21.604779411764707
2009-11-01,19.83893034825871
2009-12-01,21.167423096318707
2010-01-01,26.56645569620253
2010-02-01,25.09265901482544
2010-03-01,25.320040214477213
2010-04-01,25.210210210210214
2010-05-01,32.12901234567901
2010-06-01,24.882580939352486
2010-07-01,19.254587155963304
2010-08-01,22.163108356290174
2010-09-01,20.91429995017439
2010-10-01,20.575980392156865
2010-11-01,21.927238805970152
2010-12-01,22.225794251134644
2011-01-01,24.598570089076418
2011-02-01,24.088952654232422
2011-03-01,22.506702412868634
2011-04-01,24.159784784784787
2011-05-01,26.94691358024691
2011-06-01,26.796625626994988
2011-07-01,22.922127566622983
2011-08-01,23.1267217630854
2011-09-01,25.097159940209266
2011-10-01,21.604779411764707
2011-11-01,24.015547263681594
2011-12-01,21.167423096318707
2012-01-01,26.56645569620253
2012-02-01,23.085246293639408
2012-03-01,20.631143878462915
2012-04-01,24.159784784784787
2012-05-01,24.874074074074073
2012-06-01,23.92555859553124
2012-07-01,23.8390126692879
2012-08-01,25.05394857667585
2012-09-01,25.097159940209266
2012-10-01,23.662377450980394
2012-11-01,21.927238805970152
2012-12-01,20.10905194150277
2013-01-01,23.61462728551336
2013-02-01,26.096365375418458
2013-03-01,24.382260947274354
2013-04-01,26.260635635635637
2013-05-01,27.98333333333333
2013-06-01,23.92555859553124
2013-07-01,25.67278287461774
2013-08-01,27.944788797061523
2013-09-01,26.142874937717984
2013-10-01,31.89276960784314
2013-11-01,42.81032338308458
2013-12-01,28.576021180030253
2014-01-01,28.534341303328645
2014-02-01,29.10748445719751
2014-03-01,28.133378016085793
2014-04-01,32.56318818818819
2014-05-01,31.092592592592588
2014-06-01,31.581737346101235
2014-07-01,33.92474879860201
2014-08-01,28.90840220385675
