date,cheap car insurance
2004-01-01,21.463235294117645
2004-02-01,20.404194078947366
2004-03-01,18.4609375
2004-04-01,21.135957066189622
2004-05-01,21.537760416666664
2004-06-01,19.857142857142854
2004-07-01,17.76691729323308
2004-08-01,17.537890625
2004-09-01,18.521864686468646
2004-10-01,20.16211604095563
2004-11-01,18.529059040590404
2004-12-01,17.96958174904943
2005-01-01,18.39705882352941
2005-02-01,10.687911184210526
2005-03-01,14.574424342105262
2005-04-01,14.795169946332734
2005-05-01,16.40972222222222
2005-06-01,13.899999999999999
2005-07-01,11.548496240601503
2005-08-01,13.845703125
2005-09-01,15.597359735973596
2005-10-01,10.081058020477816
2005-11-01,11.989391143911439
2005-12-01,10.107889733840304
2006-01-01,15.330882352941176
2006-02-01,12.631167763157894
2006-03-01,12.631167763157894
2006-04-01,14.795169946332734
2006-05-01,13.332899305555555
2006-06-01,12.907142857142857
2006-07-01,12.436842105263157
2006-08-01,13.845703125
2006-09-01,13.647689768976896
2006-10-01,13.10537542662116
2006-11-01,11.989391143911439
2006-12-01,13.477186311787072
2007-01-01,13.286764705882351
2007-02-01,14.574424342105262
2007-03-01,15.546052631578947
2007-04-01,16.908765652951697
2007-05-01,15.384114583333332
2007-06-01,16.878571428571426
2007-07-01,14.213533834586466
2007-08-01,15.691796875000001
2007-09-01,13.647689768976896
2007-10-01,14.113481228668942
2007-11-01,14.169280442804427
2007-12-01,14.60028517110266
2008-01-01,15.330882352941176
2008-02-01,14.574424342105262
2008-03-01,13.602796052631579
2008-04-01,13.738372093023253
2008-05-01,16.40972222222222
2008-06-01,13.899999999999999
2008-07-01,13.325187969924812
2008-08-01,15.691796875000001
2008-09-01,14.622524752475247
2008-10-01,15.121587030716723
2008-11-01,16.349169741697416
2008-12-01,17.96958174904943
2009-01-01,17.375
2009-02-01,17.489309210526315
2009-03-01,15.546052631578947
2009-04-01,16.908765652951697
2009-05-01,16.40972222222222
2009-06-01,17.87142857142857
2009-07-01,15.990225563909775
2009-08-01,15.691796875000001
2009-09-01,15.597359735973596
2009-10-01,15.121587030716723
2009-11-01,16.349169741697416
2009-12-01,16.84648288973384
2010-01-01,18.39705882352941
2010-02-01,19.432565789473685
2010-03-01,18.4609375
2010-04-01,17.965563506261176
2010-05-01,18.4609375
2010-06-01,18.864285714285714
2010-07-01,15.990225563909775
2010-08-01,16.614843750000002
2010-09-01,16.572194719471945
2010-10-01,16.129692832764505
2010-11-01,16.349169741697416
