date,life insurance
2004-01-01,79.1163481953291
2004-02-01,69.328
2004-03-01,74.09304907839218
2004-04-01,73.62872439478585
2004-05-01,66.41824817518248
2004-06-01,76.96447520184545
2004-07-01,76.69026548672568
2004-08-01,81.17569111263424
2004-09-01,77.0448079658606
2004-10-01,70.77133655394526
2004-11-01,71.65367351759981
2004-12-01,72.21666666666667
2005-01-01,71.75668789808918
2005-02-01,75.10533333333333
2005-03-01,75.05529646902065
2005-04-01,67.57704841713222
2005-05-01,69.58102189781022
2005-06-01,71.96678200692041
2005-07-01,68.82459723167689
2005-08-01,78.20584875485494
2005-09-01,67.79943100995733
2005-10-01,67.78099838969405
2005-11-01,65.51193007323411
2005-12-01,68.93409090909091
2006-01-01,71.75668789808918
2006-02-01,69.328
2006-03-01,70.2440595158783
2006-04-01,67.57704841713222
2006-05-01,70.6352798053528
2006-06-01,70.96724336793541
2006-07-01,68.82459723167689
2006-08-01,70.28626913411013
2006-09-01,67.79943100995733
2006-10-01,70.77133655394526
2006-11-01,65.51193007323411
2006-12-01,66.74570707070707
2007-01-01,71.75668789808918
2007-02-01,68.36511111111112
2007-03-01,67.35731734399289
2007-04-01,69.59427374301676
2007-05-01,73.79805352798054
2007-06-01,66.96908881199538
2007-07-01,67.84138869979579
2007-08-01,71.27621658670323
2007-09-01,66.77216690374586
2007-10-01,69.77455716586152
2007-11-01,65.51193007323411
2007-12-01,62.36893939393939
2008-01-01,68.07685774946923
2008-02-01,63.550666666666665
2008-03-01,62.54608039085054
2008-04-01,68.58566108007449
2008-05-01,67.47250608272506
2008-06-01,59.97231833910034
2008-07-01,64.89176310415249
2008-08-01,63.35663696595843
2008-09-01,77.0448079658606
2008-10-01,72.76489533011272
2008-11-01,64.48830616583983
2008-12-01,65.65151515151516
2009-01-01,64.39702760084927
2009-02-01,65.47644444444444
2009-03-01,74.09304907839218
2009-04-01,64.5512104283054
2009-05-01,64.30973236009733
2009-06-01,69.9677047289504
2009-07-01,68.82459723167689
2009-08-01,69.29632168151703
2009-09-01,68.8266951161688
2009-10-01,68.77777777777779
2009-11-01,65.51193007323411
2009-12-01,64.55732323232323
2010-01-01,65.31698513800426
2010-02-01,65.47644444444444
2010-03-01,69.28181212524983
2010-04-01,63.542597765363126
2010-05-01,63.25547445255474
2010-06-01,61.97139561707036
2010-07-01,57.02609484910371
2010-08-01,56.427004797806724
2010-09-01,58.554054054054056
2010-10-01,54.82286634460548
2010-11-01,51.181195369714146
2010-12-01,55.80378787878788
2011-01-01,57.957324840764336
2011-02-01,57.77333333333333
2011-03-01,62.54608039085054
2011-04-01,56.48230912476722
2011-05-01,57.98418491484185
2011-06-01,58.97277970011534
2011-07-01,55.059677785341506
2011-08-01,56.427004797806724
2011-09-01,55.472261735419636
2011-10-01,52.82930756843801
2011-11-01,52.204819277108435
2011-12-01,53.61540404040404
2012-01-01,55.19745222929937
2012-02-01,54.88466666666667
2012-03-01,50.999111703308905
2012-04-01,54.46508379888268
2012-05-01,54.821411192214114
2012-06-01,52.975547866205304
2012-07-01,53.09326072157931
2012-08-01,52.467214987434325
2012-09-01,50.33594120436226
2012-10-01,52.82930756843801
2012-11-01,51.181195369714146
2012-12-01,48.144444444444446
2013-01-01,53.357537154989394
2013-02-01,52.95888888888889
2013-03-01,50.999111703308905
2013-04-01,51.439245810055866
2013-05-01,54.821411192214114
2013-06-01,50.976470588235294
2013-07-01,52.110052189698216
