lag,category,keyword,pearson_r,t_stat,p_value,n_months,p_adj_bh,significant
1,Credit_and_debt,chapter_13_bankruptcy,0.8633,14.3123,0.0,72,0.0,True
1,Credit_and_debt,chapter_7_bankruptcy,0.8569,13.9075,0.0,72,0.0,True
1,Credit_and_debt,late_fee,0.8535,13.7015,0.0,72,0.0,True
1,Credit_and_debt,overdraft_fee,0.8518,13.6052,0.0,72,0.0,True
1,Credit_and_debt,bad_credit_score,0.8364,12.7668,0.0,72,0.0,True
1,Credit_and_debt,debt_collector,0.8202,11.9957,0.0,72,0.0,True
1,Credit_and_debt,late_payment,0.7897,10.7709,0.0,72,0.0,True
1,Credit_and_debt,credit_karma,0.787,10.6715,0.0,72,0.0,True
1,Credit_and_debt,loan_default,0.7233,8.764,0.0,72,0.0,True
1,Credit_and_debt,bankruptcy,0.6806,7.7716,0.0,72,0.0,True
1,Credit_and_debt,improve_credit_score,0.6646,7.4412,0.0,72,0.0,True
1,Credit_and_debt,credit_score,0.6512,7.1785,0.0,72,0.0,True
1,Credit_and_debt,debt_payoff_calculator,0.6373,6.9189,0.0,72,0.0,True
1,Credit_and_debt,debt_relief,0.605,6.3565,0.0,72,0.0,True
1,Credit_and_debt,title_loan,0.5975,6.2343,0.0,72,0.0,True
1,Credit_and_debt,student_loan_forgiveness,0.5741,5.8657,0.0,72,0.0,True
1,Credit_and_debt,installment_loan,0.535,5.2981,1e-06,72,2e-06,True
1,Credit_and_debt,good_credit_score,0.53,5.2285,2e-06,72,3e-06,True
1,Credit_and_debt,debt_settlement,0.5259,5.1731,2e-06,72,4e-06,True
1,Credit_and_debt,credit_card_application,0.5258,5.1716,2e-06,72,4e-06,True
1,Credit_and_debt,car_loan_refinance,0.476,4.5287,2.4e-05,72,3.7e-05,True
1,Credit_and_debt,loan_calculator,0.4147,3.8131,0.000292,72,0.000427,True
1,Credit_and_debt,mortgage_refinance,0.4084,3.7431,0.000369,72,0.000533,True
1,Credit_and_debt,auto_loan,0.3772,3.4074,0.001091,72,0.001524,True
1,Credit_and_debt,payday_loan,0.3522,3.1485,0.002413,72,0.003258,True
1,Credit_and_debt,refinance_loan,0.3276,2.9005,0.004975,72,0.006569,True
1,Credit_and_debt,cash_advance,0.2482,2.1438,0.035526,72,0.04388,True
1,Credit_and_debt,minimum_payment,0.2096,1.7935,0.077212,72,0.09181,False
1,Credit_and_debt,secured_loan,0.1892,1.6122,0.111423,72,0.13022,False
1,Credit_and_debt,0_percent_APR,0.1828,1.5558,0.124255,72,0.143811,False
1,Credit_and_debt,credit_card_approval,-0.3436,-3.0609,0.003128,72,0.0042,True
1,Credit_and_debt,credit_card_interest,-0.3608,-3.2368,0.001848,72,0.002524,True
1,Credit_and_debt,student_loan,-0.4193,-3.8645,0.000246,72,0.000362,True
1,Credit_and_debt,balance_transfer,-0.4603,-4.3383,4.7e-05,72,7.3e-05,True
1,Credit_and_debt,collections,-0.4697,-4.4519,3.1e-05,72,4.9e-05,True
1,Credit_and_debt,credit_counseling,-0.531,-5.2426,2e-06,72,3e-06,True
1,Credit_and_debt,interest_rate,-0.5716,-5.8282,0.0,72,0.0,True
1,Credit_and_debt,fico_score,-0.6024,-6.3147,0.0,72,0.0,True
1,Credit_and_debt,HELOC,-0.6377,-6.9272,0.0,72,0.0,True
1,Credit_and_debt,APR,-0.6503,-7.1622,0.0,72,0.0,True
1,Credit_and_debt,debt_consolidation,-0.795,-10.9637,0.0,72,0.0,True
1,Credit_and_debt,unsecured_loan,-0.8086,-11.4992,0.0,72,0.0,True
