category,keyword,pearson_r,p_value,n_months,p_adj_bh,significant
Credit_and_debt,chapter_13_bankruptcy,0.8882,0.0,72,0.0,True
Credit_and_debt,chapter_7_bankruptcy,0.8853,0.0,72,0.0,True
Credit_and_debt,late_fee,0.8519,0.0,72,0.0,True
Credit_and_debt,overdraft_fee,0.8497,0.0,72,0.0,True
Credit_and_debt,debt_collector,0.8311,0.0,72,0.0,True
Credit_and_debt,bad_credit_score,0.822,0.0,72,0.0,True
Credit_and_debt,late_payment,0.8101,0.0,72,0.0,True
Credit_and_debt,credit_karma,0.7628,0.0,72,0.0,True
Credit_and_debt,loan_default,0.7492,0.0,72,0.0,True
Credit_and_debt,bankruptcy,0.7206,0.0,72,0.0,True
Credit_and_debt,debt_payoff_calculator,0.6597,0.0,72,0.0,True
Credit_and_debt,improve_credit_score,0.6591,0.0,72,0.0,True
Credit_and_debt,credit_score,0.6409,0.0,72,0.0,True
Credit_and_debt,debt_relief,0.6279,0.0,72,0.0,True
Credit_and_debt,title_loan,0.575,0.0,72,0.0,True
Credit_and_debt,student_loan_forgiveness,0.5679,0.0,72,0.0,True
Credit_and_debt,debt_settlement,0.5658,0.0,72,0.0,True
Credit_and_debt,installment_loan,0.5303,0.0,72,3e-06,True
Credit_and_debt,good_credit_score,0.516,0.0,72,6e-06,True
Credit_and_debt,car_loan_refinance,0.512,0.0,72,7e-06,True
Credit_and_debt,credit_card_application,0.4888,0.0,72,2.1e-05,True
Credit_and_debt,mortgage_refinance,0.4538,0.0001,72,9.4e-05,True
Credit_and_debt,loan_calculator,0.4392,0.0001,72,0.000167,True
Credit_and_debt,auto_loan,0.3811,0.001,72,0.001342,True
Credit_and_debt,refinance_loan,0.3753,0.0012,72,0.00161,True
Credit_and_debt,payday_loan,0.3633,0.0017,72,0.002332,True
Credit_and_debt,cash_advance,0.2685,0.0226,72,0.028495,True
Credit_and_debt,0_percent_APR,0.2067,0.0815,72,0.097142,False
Credit_and_debt,minimum_payment,0.2011,0.0902,72,0.106222,False
Credit_and_debt,secured_loan,0.1933,0.1038,72,0.120383,False
Credit_and_debt,credit_card_interest,-0.3311,0.0045,72,0.005962,True
Credit_and_debt,credit_card_approval,-0.3865,0.0008,72,0.001123,True
Credit_and_debt,student_loan,-0.4061,0.0004,72,0.000578,True
Credit_and_debt,balance_transfer,-0.4141,0.0003,72,0.000433,True
Credit_and_debt,collections,-0.4346,0.0001,72,0.0002,True
Credit_and_debt,credit_counseling,-0.492,0.0,72,1.8e-05,True
Credit_and_debt,interest_rate,-0.5417,0.0,72,2e-06,True
Credit_and_debt,fico_score,-0.5667,0.0,72,0.0,True
Credit_and_debt,HELOC,-0.593,0.0,72,0.0,True
Credit_and_debt,APR,-0.6409,0.0,72,0.0,True
Credit_and_debt,debt_consolidation,-0.7689,0.0,72,0.0,True
Credit_and_debt,credit_monitoring,-0.8057,0.0,72,0.0,True
Credit_and_debt,unsecured_loan,-0.8075,0.0,72,0.0,True
Credit_and_debt,home_equity_line_of_credit,-0.8141,0.0,72,0.0,True
Credit_and_debt,personal_loan,-0.8266,0.0,72,0.0,True
Credit_and_debt,home_equity_loan,-0.9012,0.0,72,0.0,True
Credit_and_debt,credit_repair,-0.9078,0.0,72,0.0,True
Credit_and_debt,credit_report,-0.9174,0.0,72,0.0,True
Credit_and_debt,free_credit_report,-0.9399,0.0,72,0.0,True
Frugality,discount_code,0.9101,0.0,72,0.0,True
Frugality,coupon_code,0.893,0.0,72,0.0,True
Frugality,discount_apps,0.8451,0.0,72,0.0,True
Frugality,store_brands,0.8337,0.0,72,0.0,True
Frugality,cancel_subscription,0.8046,0.0,72,0.0,True
Frugality,yard_sale,0.7989,0.0,72,0.0,True
Frugality,promo_code,0.7917,0.0,72,0.0,True
Frugality,loyalty_program,0.764,0.0,72,0.0,True
Frugality,pawn_shop,0.736,0.0,72,0.0,True
Frugality,thrift_store,0.7321,0.0,72,0.0,True
Frugality,expense_tracker,0.7294,0.0,72,0.0,True
Frugality,library_books,0.724,0.0,72,0.0,True
Frugality,cut_expenses,0.7083,0.0,72,0.0,True
Frugality,coupon_apps,0.7065,0.0,72,0.0,True
Frugality,grocery_deals,0.6953,0.0,72,0.0,True
Frugality,clothing_swap,0.6898,0.0,72,0.0,True
Frugality,budget_planner,0.6707,0.0,72,0.0,True
Frugality,garage_sale,0.6553,0.0,72,0.0,True
Frugality,cashback,0.6485,0.0,72,0.0,True
Frugality,grocery_coupons,0.4727,0.0,72,4.3e-05,True
Frugality,reduce_bills,0.4578,0.0001,72,8e-05,True
Frugality,bike_to_work,0.3419,0.0033,72,0.004408,True
Frugality,budgeting_tips,0.3006,0.0103,72,0.013308,True
Frugality,cash_envelope_system,0.2889,0.0139,72,0.017858,True
Frugality,side_hustle,0.21,0.0767,72,0.091639,False
Frugality,bulk_shopping,0.1994,0.093,72,0.108989,False
Frugality,cell_phone_plan_savings,0.1426,0.2322,72,0.25579,False
Frugality,money_saving_tips,0.1126,0.3465,72,0.370536,False
Frugality,electric_bill_savings,0.0802,0.5033,72,0.526396,False
Frugality,generic_products,-0.0111,0.9263,72,0.928279,False
Frugality,second_hand,-0.069,0.5646,72,0.585445,False
Frugality,water_bill_savings,-0.1452,0.2237,72,0.247499,False
Frugality,digital_library,-0.1989,0.0939,72,0.109765,False
Frugality,home_repair_DIY,-0.2112,0.0749,72,0.090182,False
Frugality,meal_planning,-0.2275,0.0546,72,0.066373,False
Frugality,rebate,-0.2707,0.0214,72,0.027181,True
Frugality,energy_saving_tips,-0.2772,0.0184,72,0.023378,True
Frugality,free_stuff,-0.3695,0.0014,72,0.001931,True
Frugality,public_transit,-0.4731,0.0,72,4.3e-05,True
Frugality,ride_share,-0.5212,0.0,72,5e-06,True
Frugality,free_samples,-0.5354,0.0,72,2e-06,True
Frugality,internet_savings,-0.6459,0.0,72,0.0,True
Frugality,price_comparison,-0.7386,0.0,72,0.0,True
Frugality,refurbished_electronics,-0.7778,0.0,72,0.0,True
Frugality,used_car,-0.7907,0.0,72,0.0,True
Frugality,DIY_repair,-0.8202,0.0,72,0.0,True
Frugality,meal_prep,-0.8949,0.0,72,0.0,True
Government_support,disability_benefits,0.9542,0.0,72,0.0,True
Government_support,benefits_application,0.9248,0.0,72,0.0,True
Government_support,food_stamps,0.9014,0.0,72,0.0,True
Government_support,cash_assistance,0.897,0.0,72,0.0,True
Government_support,veterans_benefits,0.8927,0.0,72,0.0,True
Government_support,TANF_benefits,0.8925,0.0,72,0.0,True
Government_support,utility_assistance,0.8908,0.0,72,0.0,True
Government_support,child_care_assistance,0.8856,0.0,72,0.0,True
Government_support,SSI_benefits,0.8702,0.0,72,0.0,True
Government_support,section_8_housing,0.8625,0.0,72,0.0,True
Government_support,VA_disability,0.853,0.0,72,0.0,True
Government_support,medicaid,0.8433,0.0,72,0.0,True
Government_support,pell_grant,0.843,0.0,72,0.0,True
Government_support,file_for_unemployment,0.83,0.0,72,0.0,True
Government_support,EBT_balance,0.8211,0.0,72,0.0,True
Government_support,GI_bill,0.8084,0.0,72,0.0,True
Government_support,unemployment_benefits,0.8079,0.0,72,0.0,True
Government_support,housing_assistance,0.7615,0.0,72,0.0,True
Government_support,LIHEAP,0.7537,0.0,72,0.0,True
Government_support,SSDI_application,0.7472,0.0,72,0.0,True
Government_support,free_school_lunch,0.7425,0.0,72,0.0,True
Government_support,housing_voucher,0.7425,0.0,72,0.0,True
Government_support,energy_assistance_program,0.732,0.0,72,0.0,True
Government_support,WIC_program,0.6865,0.0,72,0.0,True
Government_support,rental_assistance_program,0.678,0.0,72,0.0,True
Government_support,social_security_benefits,0.6383,0.0,72,0.0,True
Government_support,unemployment_extension,0.6076,0.0,72,0.0,True
Government_support,reduced_lunch_program,0.5938,0.0,72,0.0,True
Government_support,where_is_my_refund,0.5902,0.0,72,0.0,True
Government_support,student_loan_forgiveness,0.5679,0.0,72,0.0,True
Government_support,head_start_program,0.5226,0.0,72,4e-06,True
Government_support,earned_income_tax_credit,0.5137,0.0,72,7e-06,True
Government_support,premium_tax_credit,0.5088,0.0,72,8e-06,True
Government_support,SNAP_benefits,0.4697,0.0,72,4.9e-05,True
Government_support,tax_refund,0.3973,0.0006,72,0.000789,True
Government_support,child_tax_credit,0.3448,0.003,72,0.004062,True
Government_support,medicare,0.2647,0.0246,72,0.030985,True
Government_support,healthcare_subsidy,0.1341,0.2615,72,0.284049,False
Government_support,disaster_relief,0.0224,0.8519,72,0.857279,False
Government_support,FEMA_assistance,-0.0772,0.5191,72,0.539454,False
Government_support,stimulus_check,-0.0921,0.4414,72,0.464737,False
Government_support,government_grants,-0.1247,0.2966,72,0.318632,False
Government_support,stimulus_payment_status,-0.1255,0.2934,72,0.315834,False
Government_support,SBA_loan,-0.1398,0.2414,72,0.264011,False
Government_support,public_housing,-0.1896,0.1107,72,0.127239,False
Government_support,small_business_grant,-0.4921,0.0,72,1.8e-05,True
Government_support,FAFSA,-0.5612,0.0,72,1e-06,True
Housing_rent_and_stress,electric_bill_help,0.9164,0.0,72,0.0,True
Housing_rent_and_stress,rent_assistance,0.8853,0.0,72,0.0,True
Housing_rent_and_stress,lease_agreement,0.8695,0.0,72,0.0,True
Housing_rent_and_stress,section_8_housing,0.8625,0.0,72,0.0,True
Housing_rent_and_stress,cheap_apartments,0.8324,0.0,72,0.0,True
Housing_rent_and_stress,security_deposit,0.8249,0.0,72,0.0,True
Housing_rent_and_stress,apartment_for_rent,0.8067,0.0,72,0.0,True
Housing_rent_and_stress,emergency_rental_assistance,0.7982,0.0,72,0.0,True
Housing_rent_and_stress,housing_authority,0.7589,0.0,72,0.0,True
Housing_rent_and_stress,utility_bill_help,0.756,0.0,72,0.0,True
Housing_rent_and_stress,housing_voucher,0.7425,0.0,72,0.0,True
Housing_rent_and_stress,late_rent,0.7143,0.0,72,0.0,True
Housing_rent_and_stress,utilities_assistance,0.6924,0.0,72,0.0,True
Housing_rent_and_stress,homeless_assistance,0.6794,0.0,72,0.0,True
Housing_rent_and_stress,rental_assistance_program,0.678,0.0,72,0.0,True
Housing_rent_and_stress,pre_foreclosure,0.6681,0.0,72,0.0,True
Housing_rent_and_stress,eviction_notice,0.629,0.0,72,0.0,True
Housing_rent_and_stress,room_for_rent,0.6114,0.0,72,0.0,True
Housing_rent_and_stress,eviction_help,0.5923,0.0,72,0.0,True
Housing_rent_and_stress,renters_insurance,0.5769,0.0,72,0.0,True
Housing_rent_and_stress,first_time_home_buyer,0.5757,0.0,72,0.0,True
Housing_rent_and_stress,homeless_shelter,0.5734,0.0,72,0.0,True
Housing_rent_and_stress,water_bill_assistance,0.5504,0.0,72,1e-06,True
Housing_rent_and_stress,real_estate_listings,0.5475,0.0,72,1e-06,True
Housing_rent_and_stress,studio_apartment,0.539,0.0,72,2e-06,True
Housing_rent_and_stress,mortgage_assistance,0.5333,0.0,72,2e-06,True
Housing_rent_and_stress,closing_costs,0.5022,0.0,72,1.1e-05,True
Housing_rent_and_stress,low_income_housing,0.478,0.0,72,3.4e-05,True
Housing_rent_and_stress,foreclosure,0.4645,0.0,72,6.1e-05,True
Housing_rent_and_stress,refinance_mortgage,0.4538,0.0001,72,9.4e-05,True
Housing_rent_and_stress,rent_payment_help,0.3267,0.0051,72,0.006706,True
Housing_rent_and_stress,storage_unit_rental,0.3184,0.0064,72,0.008403,True
Housing_rent_and_stress,mortgage_rates,0.1857,0.1183,72,0.13525,False
Housing_rent_and_stress,rent_relief,0.1327,0.2666,72,0.288985,False
Housing_rent_and_stress,missed_mortgage_payment,0.0655,0.5846,72,0.603574,False
Housing_rent_and_stress,down_payment_assistance,0.0563,0.6386,72,0.652263,False
Housing_rent_and_stress,public_housing,-0.1896,0.1107,72,0.127239,False
Housing_rent_and_stress,housing_market_crash,-0.2108,0.0754,72,0.090605,False
Housing_rent_and_stress,tenant_rights,-0.3359,0.0039,72,0.005235,True
Housing_rent_and_stress,housing_affordability,-0.3901,0.0007,72,0.001001,True
Housing_rent_and_stress,property_tax,-0.5739,0.0,72,0.0,True
Housing_rent_and_stress,home_appraisal,-0.5931,0.0,72,0.0,True
Housing_rent_and_stress,moving_costs,-0.5974,0.0,72,0.0,True
Housing_rent_and_stress,property_tax_relief,-0.6439,0.0,72,0.0,True
Housing_rent_and_stress,sublease,-0.6452,0.0,72,0.0,True
Housing_rent_and_stress,rent_increase,-0.8013,0.0,72,0.0,True
Housing_rent_and_stress,housing_prices,-0.8264,0.0,72,0.0,True
Housing_rent_and_stress,rent_control,-0.8531,0.0,72,0.0,True
Housing_rent_and_stress,affordable_housing,-0.8826,0.0,72,0.0,True
Housing_rent_and_stress,cost_of_living,-0.9282,0.0,72,0.0,True
Inflation,natural_gas_bill,0.9123,0.0,72,0.0,True
Inflation,electric_bill,0.9096,0.0,72,0.0,True
Inflation,water_bill,0.8835,0.0,72,0.0,True
Inflation,tuition_fees,0.8805,0.0,72,0.0,True
Inflation,chicken_prices,0.877,0.0,72,0.0,True
Inflation,college_tuition,0.864,0.0,72,0.0,True
Inflation,medical_cost,0.8537,0.0,72,0.0,True
Inflation,restaurant_prices,0.8514,0.0,72,0.0,True
Inflation,insurance_cost,0.8407,0.0,72,0.0,True
Inflation,utility_bill,0.8399,0.0,72,0.0,True
Inflation,rent_prices,0.7877,0.0,72,0.0,True
Inflation,food_budget,0.7843,0.0,72,0.0,True
Inflation,egg_price,0.7408,0.0,72,0.0,True
Inflation,monthly_expenses,0.718,0.0,72,0.0,True
Inflation,coffee_price,0.6723,0.0,72,0.0,True
Inflation,student_expenses,0.6531,0.0,72,0.0,True
Inflation,healthcare_cost,0.5763,0.0,72,0.0,True
Inflation,entertainment_cost,0.4739,0.0,72,4.1e-05,True
Inflation,bread_price,0.4277,0.0002,72,0.000261,True
Inflation,heating_cost,0.3955,0.0006,72,0.000833,True
Inflation,beef_prices,0.3303,0.0046,72,0.006075,True
Inflation,minimum_wage,0.2401,0.0422,72,0.052102,False
Inflation,living_expenses,0.2065,0.0817,72,0.097183,False
Inflation,milk_price,0.1995,0.0929,72,0.108989,False
Inflation,mortgage_rates,0.1857,0.1183,72,0.13525,False
Inflation,public_transit_cost,0.1831,0.1237,72,0.141073,False
Inflation,food_prices,0.1668,0.1613,72,0.181836,False
Inflation,grocery_inflation,0.143,0.2307,72,0.254679,False
Inflation,clothing_inflation,0.142,0.234,72,0.257086,False
Inflation,beer_prices,0.0783,0.5132,72,0.534988,False
Inflation,cost_of_living_calculator,-0.1346,0.2596,72,0.282629,False
Inflation,groceries_prices,-0.1461,0.2207,72,0.245359,False
Inflation,childcare_cost,-0.1985,0.0946,72,0.110236,False
Inflation,energy_prices,-0.2305,0.0515,72,0.062738,False
Inflation,clothing_prices,-0.2616,0.0264,72,0.032983,True
Inflation,fuel_prices,-0.2686,0.0225,72,0.028471,True
Inflation,gas_prices,-0.2876,0.0143,72,0.018352,True
Inflation,transportation_costs,-0.3712,0.0013,72,0.001836,True
Inflation,salary_calculator,-0.4749,0.0,72,3.9e-05,True
Inflation,wage_increase,-0.5817,0.0,72,0.0,True
Inflation,CPI,-0.5878,0.0,72,0.0,True
Inflation,housing_costs,-0.7677,0.0,72,0.0,True
Inflation,budgeting,-0.7882,0.0,72,0.0,True
Inflation,inflation_rate,-0.7892,0.0,72,0.0,True
Inflation,new_car_prices,-0.8532,0.0,72,0.0,True
Inflation,used_car_prices,-0.855,0.0,72,0.0,True
Inflation,car_prices,-0.8727,0.0,72,0.0,True
Inflation,consumer_price_index,-0.8886,0.0,72,0.0,True
Inflation,cost_of_living,-0.9282,0.0,72,0.0,True
Insurance,insurance_claim,0.8753,0.0,72,0.0,True
Insurance,insurance_deductible,0.8599,0.0,72,0.0,True
