category,keyword,pearson_r,p_value,n_months,p_adj_bh,significant
Frugality,loyalty_program,-0.6166,0.0,72,0.0,True
Frugality,garage_sale,-0.6387,0.0,72,0.0,True
Frugality,clothing_swap,-0.6679,0.0,72,0.0,True
Frugality,ride_share,-0.7558,0.0,72,0.0,True
Frugality,public_transit,-0.7608,0.0,72,0.0,True
Frugality,meal_prep,-0.7947,0.0,72,0.0,True
Government_support,unemployment_benefits,0.9175,0.0,72,0.0,True
Government_support,SBA_loan,0.8569,0.0,72,0.0,True
Government_support,file_for_unemployment,0.8444,0.0,72,0.0,True
Government_support,pandemic_relief_fund,0.8355,0.0,72,0.0,True
Government_support,stimulus_check,0.7996,0.0,72,0.0,True
Government_support,stimulus_payment_status,0.7712,0.0,72,0.0,True
Government_support,small_business_grant,0.7443,0.0,72,0.0,True
Government_support,benefits_application,0.6229,0.0,72,0.0,True
Government_support,disaster_relief,0.5687,0.0,72,1e-06,True
Government_support,unemployment_extension,0.5588,0.0,72,2e-06,True
Government_support,food_stamps,0.5379,0.0,72,5e-06,True
Government_support,SNAP_benefits,0.4288,0.0002,72,0.000477,True
Government_support,free_school_lunch,0.3413,0.0034,72,0.007366,True
Government_support,where_is_my_refund,0.3273,0.005,72,0.010457,True
Government_support,reduced_lunch_program,0.2553,0.0305,72,0.050164,False
Government_support,FEMA_assistance,0.1771,0.1367,72,0.18713,False
Government_support,rental_assistance_program,0.0797,0.5057,72,0.585482,False
Government_support,tax_refund,0.0658,0.5828,72,0.657989,False
Government_support,TANF_benefits,0.055,0.6465,72,0.715273,False
Government_support,cash_assistance,0.0492,0.6816,72,0.749177,False
Government_support,child_tax_credit,0.0277,0.8171,72,0.857055,False
Government_support,government_grants,0.0153,0.8987,72,0.918916,False
Government_support,earned_income_tax_credit,0.0021,0.9858,72,0.985849,False
Government_support,food_pantry_near_me,-0.0034,0.9776,72,0.981356,False
Government_support,premium_tax_credit,-0.0169,0.8878,72,0.913442,False
Government_support,SSI_benefits,-0.0313,0.7938,72,0.84467,False
Government_support,ACA_marketplace,-0.0804,0.5018,72,0.585069,False
Government_support,LIHEAP,-0.1006,0.4003,72,0.479441,False
Government_support,EBT_balance,-0.1231,0.303,72,0.375201,False
Government_support,WIC_program,-0.1258,0.2924,72,0.363878,False
Government_support,housing_assistance,-0.1302,0.2755,72,0.344606,False
Government_support,pell_grant,-0.1325,0.2673,72,0.335983,False
Government_support,healthcare_subsidy,-0.1702,0.1529,72,0.205125,False
Government_support,student_loan_forgiveness,-0.1812,0.1276,72,0.175405,False
Government_support,energy_assistance_program,-0.1871,0.1156,72,0.161976,False
Government_support,FAFSA,-0.2387,0.0434,72,0.067095,False
Government_support,utility_assistance,-0.2492,0.0348,72,0.055774,False
Government_support,social_security_benefits,-0.2675,0.0231,72,0.039331,True
Government_support,disability_benefits,-0.3207,0.006,72,0.012116,True
Government_support,SSDI_application,-0.3265,0.0051,72,0.010653,True
Government_support,housing_voucher,-0.3425,0.0032,72,0.007226,True
Government_support,medicare,-0.3509,0.0025,72,0.005728,True
Government_support,VA_disability,-0.3967,0.0006,72,0.001414,True
Government_support,GI_bill,-0.4497,0.0001,72,0.000219,True
Government_support,section_8_housing,-0.5403,0.0,72,4e-06,True
Government_support,head_start_program,-0.5435,0.0,72,4e-06,True
Government_support,medicaid,-0.561,0.0,72,1e-06,True
Government_support,public_housing,-0.5821,0.0,72,0.0,True
Government_support,veterans_benefits,-0.591,0.0,72,0.0,True
Government_support,child_care_assistance,-0.636,0.0,72,0.0,True
Housing_rent_and_stress,refinance_mortgage,0.7136,0.0,72,0.0,True
Housing_rent_and_stress,first_time_home_buyer,0.5858,0.0,72,0.0,True
Housing_rent_and_stress,closing_costs,0.5828,0.0,72,0.0,True
Housing_rent_and_stress,pre_foreclosure,0.4967,0.0,72,3.1e-05,True
Housing_rent_and_stress,mortgage_rates,0.3361,0.0039,72,0.008421,True
Housing_rent_and_stress,rent_assistance,0.3254,0.0053,72,0.010957,True
Housing_rent_and_stress,home_appraisal,0.3147,0.0071,72,0.013976,True
Housing_rent_and_stress,security_deposit,0.245,0.0381,72,0.060338,False
Housing_rent_and_stress,studio_apartment,0.2397,0.0426,72,0.066188,False
Housing_rent_and_stress,mortgage_assistance,0.2266,0.0556,72,0.083347,False
Housing_rent_and_stress,missed_mortgage_payment,0.1991,0.0936,72,0.134626,False
Housing_rent_and_stress,down_payment_assistance,0.1751,0.1413,72,0.192145,False
Housing_rent_and_stress,real_estate_listings,0.1537,0.1973,72,0.257,False
Housing_rent_and_stress,foreclosure,0.1214,0.3096,72,0.382405,False
