category,n_keywords,n_significant,pct_significant,avg_abs_r,avg_r,max_r,min_r
Credit_and_debt,49.0,46.0,93.9,0.61,0.1,0.8882,-0.9399
Government_support,47.0,39.0,83.0,0.6085,0.5318,0.9542,-0.5612
Travel,48.0,41.0,85.4,0.6083,-0.0031,0.9238,-0.9011
Housing_rent_and_stress,50.0,44.0,88.0,0.5934,0.2545,0.9164,-0.9282
Luxuries,50.0,43.0,86.0,0.5773,-0.093,0.827,-0.9394
Inflation,49.0,36.0,73.5,0.5531,0.1333,0.9123,-0.9282
Frugality,47.0,36.0,76.6,0.5303,0.1908,0.9101,-0.8949
Jobs,41.0,32.0,78.0,0.5265,0.1532,0.887,-0.9228
Insurance,49.0,42.0,85.7,0.5264,0.0737,0.8753,-0.8247
Investing_and_markets,48.0,27.0,56.2,0.3876,-0.1465,0.7327,-0.8972
