category,n_keywords,n_significant,pct_significant,avg_abs_r,avg_r,max_r,min_r
Travel,50.0,39.0,78.0,0.4776,-0.4269,0.6063,-0.8776
Inflation,50.0,38.0,76.0,0.3685,-0.3309,0.5351,-0.7622
Credit_and_debt,50.0,33.0,66.0,0.3659,-0.1414,0.7136,-0.733
Government_support,50.0,27.0,54.0,0.3512,0.0441,0.9175,-0.636
Housing_rent_and_stress,50.0,29.0,58.0,0.3422,-0.143,0.7136,-0.776
Luxuries,50.0,25.0,50.0,0.319,-0.2273,0.5784,-0.6942
Jobs,49.0,31.0,63.3,0.3165,-0.1829,0.7292,-0.8083
Insurance,50.0,29.0,58.0,0.3129,-0.197,0.9657,-0.6248
Investing_and_markets,50.0,26.0,52.0,0.3101,0.2434,0.7379,-0.3589
Frugality,50.0,25.0,50.0,0.3,-0.1827,0.7313,-0.7947
