date,beach vacation
2004-01-01,73
2004-02-01,62
2004-03-01,70
2004-04-01,58
2004-05-01,66
2004-06-01,78
2004-07-01,77
2004-08-01,51
2004-09-01,35
2004-10-01,28
2004-11-01,30
2004-12-01,30
2005-01-01,70
2005-02-01,72
2005-03-01,72
2005-04-01,61
2005-05-01,68
2005-06-01,76
2005-07-01,71
2005-08-01,52
2005-09-01,32
2005-10-01,27
2005-11-01,27
2005-12-01,30
2006-01-01,67
2006-02-01,60
2006-03-01,64
2006-04-01,60
2006-05-01,58
2006-06-01,69
2006-07-01,68
2006-08-01,51
2006-09-01,33
2006-10-01,29
2006-11-01,29
2006-12-01,30
2007-01-01,71
2007-02-01,61
2007-03-01,61
2007-04-01,61
2007-05-01,60
2007-06-01,72
2007-07-01,72
2007-08-01,47
2007-09-01,35
2007-10-01,30
2007-11-01,27
2007-12-01,31
2008-01-01,67
2008-02-01,61
2008-03-01,70
2008-04-01,59
2008-05-01,65
2008-06-01,80
2008-07-01,77
2008-08-01,51
2008-09-01,30
2008-10-01,30
2008-11-01,27
2008-12-01,29
2009-01-01,62
2009-02-01,57
2009-03-01,71
2009-04-01,61
2009-05-01,71
2009-06-01,86
2009-07-01,85
2009-08-01,54
2009-09-01,31
2009-10-01,28
2009-11-01,30
2009-12-01,31
2010-01-01,71
2010-02-01,67
2010-03-01,73
2010-04-01,65
2010-05-01,79
2010-06-01,100
2010-07-01,74
2010-08-01,47
2010-09-01,25
2010-10-01,22
2010-11-01,22
2010-12-01,23
2011-01-01,66
2011-02-01,67
2011-03-01,67
2011-04-01,62
2011-05-01,70
2011-06-01,91
2011-07-01,79
2011-08-01,47
2011-09-01,30
2011-10-01,23
2011-11-01,22
2011-12-01,28
2012-01-01,63
2012-02-01,59
2012-03-01,61
2012-04-01,55
2012-05-01,64
2012-06-01,74
2012-07-01,68
2012-08-01,43
2012-09-01,29
2012-10-01,22
2012-11-01,19
2012-12-01,23
2013-01-01,55
2013-02-01,51
2013-03-01,57
2013-04-01,50
2013-05-01,55
2013-06-01,69
2013-07-01,64
2013-08-01,41
2013-09-01,26
2013-10-01,23
2013-11-01,22
2013-12-01,27
2014-01-01,59
2014-02-01,55
2014-03-01,59
2014-04-01,53
2014-05-01,56
2014-06-01,71
2014-07-01,69
2014-08-01,42
2014-09-01,28
2014-10-01,22
2014-11-01,22
2014-12-01,27
2015-01-01,56
2015-02-01,52
2015-03-01,58
2015-04-01,50
2015-05-01,55
2015-06-01,64
2015-07-01,68
2015-08-01,42
2015-09-01,27
2015-10-01,22
2015-11-01,20
2015-12-01,25
2016-01-01,48
2016-02-01,50
2016-03-01,52
2016-04-01,49
2016-05-01,51
2016-06-01,61
2016-07-01,57
2016-08-01,36
2016-09-01,25
2016-10-01,22
2016-11-01,20
2016-12-01,24
2017-01-01,47
2017-02-01,47
2017-03-01,50
2017-04-01,46
2017-05-01,48
2017-06-01,60
2017-07-01,57
2017-08-01,35
2017-09-01,24
2017-10-01,22
2017-11-01,21
2017-12-01,25
2018-01-01,48
2018-02-01,49
2018-03-01,47
2018-04-01,43
2018-05-01,46
2018-06-01,56
2018-07-01,54
2018-08-01,34
2018-09-01,23
2018-10-01,21
2018-11-01,19
2018-12-01,23
2019-01-01,43
2019-02-01,40
2019-03-01,45
2019-04-01,38
2019-05-01,45
2019-06-01,54
2019-07-01,47
2019-08-01,30
2019-09-01,23
2019-10-01,20
2019-11-01,19
2019-12-01,23
2020-01-01,44
2020-02-01,39
2020-03-01,23
2020-04-01,17
2020-05-01,44
2020-06-01,68
2020-07-01,47
2020-08-01,35
2020-09-01,26
2020-10-01,21
2020-11-01,16
2020-12-01,19
2021-01-01,35
2021-02-01,42
2021-03-01,57
2021-04-01,52
2021-05-01,62
2021-06-01,63
2021-07-01,51
2021-08-01,35
2021-09-01,25
2021-10-01,24
2021-11-01,22
2021-12-01,23
2022-01-01,45
2022-02-01,49
2022-03-01,46
2022-04-01,41
2022-05-01,40
2022-06-01,47
2022-07-01,44
2022-08-01,33
2022-09-01,22
2022-10-01,19
2022-11-01,19
2022-12-01,21
2023-01-01,37
2023-02-01,35
2023-03-01,36
2023-04-01,31
2023-05-01,34
2023-06-01,40
2023-07-01,36
2023-08-01,26
2023-09-01,19
2023-10-01,17
2023-11-01,17
2023-12-01,19
2024-01-01,31
2024-02-01,31
2024-03-01,30
2024-04-01,29
2024-05-01,31
2024-06-01,37
2024-07-01,31
2024-08-01,25
2024-09-01,18
2024-10-01,17
2024-11-01,17
2024-12-01,20
2025-01-01,30
2025-02-01,30
2025-03-01,31
2025-04-01,29
2025-05-01,33
2025-06-01,41
2025-07-01,38
2025-08-01,26
2025-09-01,20
2025-10-01,18
2025-11-01,18
2025-12-01,22
