date,promo code
2004-01-01,2.1192964123998608
2004-02-01,2.1170842032011135
2004-03-01,2.1462081128747794
2004-04-01,3.236436170212766
2004-05-01,2.08659122085048
2004-06-01,3.0514042126379133
2004-07-01,3.0211022840119166
2004-08-01,3.0760869565217392
2004-09-01,3.2924783549783547
2004-10-01,3.2853671706263494
2004-11-01,3.3468096809680965
2004-12-01,4.533904619970193
2005-01-01,4.2385928247997215
2005-02-01,4.234168406402227
2005-03-01,4.292416225749559
2005-04-01,4.315248226950355
2005-05-01,5.2164780521262
2005-06-01,6.102808425275827
2005-07-01,5.035170473353194
2005-08-01,6.1521739130434785
2005-09-01,5.487463924963924
2005-10-01,5.475611951043916
2005-11-01,5.856916941694169
2005-12-01,6.80085692995529
2006-01-01,7.417537443399513
2006-02-01,6.351252609603341
2006-03-01,6.438624338624338
2006-04-01,6.472872340425532
2006-05-01,7.30306927297668
2006-06-01,7.119943162821798
2006-07-01,8.056272757365111
2006-08-01,7.1775362318840585
2006-09-01,7.682449494949495
2006-10-01,7.665856731461482
2006-11-01,6.693619361936193
2006-12-01,8.312158469945354
2007-01-01,8.477185649599443
2007-02-01,8.468336812804454
2007-03-01,8.584832451499118
2007-04-01,8.63049645390071
2007-05-01,8.34636488340192
2007-06-01,9.15421263791374
2007-07-01,10.070340946706388
2007-08-01,10.253623188405799
2007-09-01,9.877435064935064
2007-10-01,9.856101511879048
2007-11-01,9.203726622662266
2007-12-01,12.090412319920516
2008-01-01,11.656130268199234
2008-02-01,11.643963117606123
2008-03-01,11.804144620811286
2008-04-01,11.866932624113476
2008-05-01,12.51954732510288
2008-06-01,13.222751588097625
2008-07-01,13.091443230718305
2008-08-01,13.329710144927537
2008-09-01,14.267406204906203
2008-10-01,15.331713462922965
2008-11-01,15.060643564356434
2008-12-01,20.40257078986587
2009-01-01,20.133315917798676
2009-02-01,20.11229993041058
2009-03-01,19.315873015873017
2009-04-01,19.418617021276596
2009-05-01,20.8659122085048
2009-06-01,22.376964226011367
2009-07-01,21.147715988083416
2009-08-01,22.557971014492757
2009-09-01,23.047348484848484
2009-10-01,22.997570194384448
2009-11-01,21.754262926292625
2009-12-01,27.20342771982116
2010-01-01,26.49120515499826
2010-02-01,25.405010438413363
2010-03-01,24.681393298059962
2010-04-01,25.891489361702128
2010-05-01,27.12568587105624
2010-06-01,28.479772651287192
2010-07-01,26.18288646143661
2010-08-01,26.659420289855074
2010-09-01,27.437319624819622
2010-10-01,27.37805975521958
2010-11-01,29.284584708470845
2010-12-01,30.981681569796322
2011-01-01,40.26663183559735
2011-02-01,40.22459986082116
2011-03-01,40.77795414462081
2011-04-01,40.99485815602837
2011-05-01,40.68852880658436
2011-06-01,41.702524239384815
2011-07-01,41.288397881496195
2011-08-01,42.03985507246377
2011-09-01,44.99720418470418
2011-10-01,47.09026277897768
2011-11-01,51.03884763476347
2011-12-01,51.38425235966219
2012-01-01,54.04205851619645
2012-02-01,52.927105080027836
2012-03-01,54.728306878306874
2012-04-01,51.782978723404256
2012-05-01,52.164780521262
2012-06-01,51.87387161484453
2012-07-01,49.3446706388613
2012-08-01,51.26811594202899
2012-09-01,50.48466810966811
2012-10-01,50.375629949604026
2012-11-01,55.22235973597359
2012-12-01,53.651204669647285
2013-01-01,54.04205851619645
2013-02-01,55.04418928322895
2013-03-01,52.58209876543209
2013-04-01,53.940602836879435
2013-05-01,54.25137174211248
2013-06-01,54.925275827482444
2013-07-01,56.39390930155578
2013-08-01,62.54710144927537
2013-09-01,58.1671176046176
2013-10-01,59.13660907127429
2013-11-01,60.24257425742574
2013-12-01,70.275521609538
2014-01-01,68.87713340299547
2014-02-01,68.80523660403618
2014-03-01,65.45934744268077
2014-04-01,66.8863475177305
2014-05-01,62.5977366255144
2014-06-01,67.1308926780341
2014-07-01,66.46425024826216
2014-08-01,69.72463768115942
2014-09-01,70.23953823953823
2014-10-01,68.99271058315334
2014-11-01,67.77289603960395
2014-12-01,75.56507699950322
2015-01-01,72.05607802159527
2015-02-01,68.80523660403618
2015-03-01,69.75176366843033
2015-04-01,67.96515957446809
2015-05-01,65.72762345679011
2015-06-01,65.09662320294215
2015-07-01,70.49238662694472
2015-08-01,68.69927536231884
2015-09-01,69.14204545454545
2015-10-01,65.707343412527
2015-11-01,63.58938393839384
2015-12-01,67.25291852955787
2016-01-01,63.57889237199582
2016-02-01,64.57106819763396
2016-03-01,63.31313932980599
2016-04-01,61.49228723404256
2016-05-01,63.64103223593964
2016-06-01,61.02808425275827
2016-07-01,60.422045680238334
2016-08-01,58.44565217391305
2016-09-01,61.45959595959596
2016-10-01,64.61222102231821
2016-11-01,66.09949119911991
2016-12-01,62.71901390958767
2017-01-01,63.57889237199582
2017-02-01,63.512526096033405
2017-03-01,68.67865961199294
2017-04-01,67.96515957446809
2017-05-01,67.8142146776406
2017-06-01,66.11375794048813
2017-07-01,68.47831843760345
2017-08-01,67.67391304347827
2017-09-01,70.23953823953823
2017-10-01,72.2780777537797
2017-11-01,78.65002750275026
2017-12-01,70.275521609538
2018-01-01,65.69818878439568
2018-02-01,70.9223208072373
2018-03-01,71.89797178130512
2018-04-01,67.96515957446809
2018-05-01,68.85751028806584
2018-06-01,72.21656636576395
2018-07-01,69.48535253227408
2018-08-01,69.72463768115942
2018-09-01,69.14204545454545
2018-10-01,66.80246580273578
2018-11-01,73.62981298129813
2018-12-01,64.23031544957774
2019-01-01,68.87713340299547
2019-02-01,73.03940501043841
2019-03-01,68.67865961199294
2019-04-01,67.96515957446809
2019-05-01,70.94410150891632
2019-06-01,70.182296890672
2019-07-01,70.49238662694472
2019-08-01,71.77536231884059
2019-09-01,68.04455266955266
2019-10-01,66.80246580273578
2019-11-01,63.58938393839384
2019-12-01,68.0085692995529
2020-01-01,69.9367816091954
2020-02-01,71.98086290883786
2020-03-01,71.89797178130512
2020-04-01,91.69902482269504
2020-05-01,91.81001371742111
2020-06-01,82.38791374122367
2020-07-01,80.5627275736511
2020-08-01,77.92753623188406
2020-09-01,75.72700216450215
2020-10-01,74.46832253419726
2020-11-01,70.28300330033002
2020-12-01,66.49726775956283
2021-01-01,75.23502264019506
2021-02-01,71.98086290883786
2021-03-01,71.89797178130512
2021-04-01,67.96515957446809
2021-05-01,67.8142146776406
2021-06-01,62.04521899030424
2021-07-01,64.45018205892089
2021-08-01,62.54710144927537
2021-09-01,64.75207431457432
2021-10-01,64.61222102231821
2021-11-01,61.079276677667764
2021-12-01,52.13990312965722
2022-01-01,69.9367816091954
2022-02-01,64.57106819763396
2022-03-01,69.75176366843033
2022-04-01,62.57109929078015
2022-05-01,58.42455418381344
2022-06-01,58.99381477766633
2022-07-01,60.422045680238334
2022-08-01,59.47101449275363
2022-09-01,60.36210317460317
2022-10-01,60.23173146148308
2022-11-01,56.89576457645764
2022-12-01,56.673807749627414
2023-01-01,60.399947753396034
2023-02-01,59.27835768963118
2023-03-01,60.093827160493824
2023-04-01,60.41347517730497
2023-05-01,60.51114540466392
2023-06-01,61.02808425275827
2023-07-01,55.386875206885136
2023-08-01,54.34420289855073
2023-09-01,57.06962481962481
2023-10-01,56.94636429085673
2023-11-01,56.05906215621562
2023-12-01,52.895553899652256
2024-01-01,55.10170672239638
2024-02-01,58.21981558803062
2024-03-01,57.94761904761904
2024-04-01,53.940602836879435
2024-05-01,54.25137174211248
2024-06-01,51.87387161484453
2024-07-01,51.35873882820258
2024-08-01,50.24275362318841
2024-09-01,51.58216089466089
2024-10-01,51.47075233981281
2024-11-01,48.5287403740374
2024-12-01,46.09469696969697
2025-01-01,51.922762103796586
2025-02-01,51.86856297842728
2025-03-01,49.362786596119925
2025-04-01,50.70416666666667
2025-05-01,51.12148491083676
2025-06-01,57.97668004012036
2025-07-01,62.43611386957961
2025-08-01,58.44565217391305
2025-09-01,51.58216089466089
2025-10-01,52.56587473002159
2025-11-01,50.20214521452145
2025-12-01,46.09469696969697
