date,cut expenses
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,54.92246563573883
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,29.120346598202826
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,35.090641361256544
2007-11-01,26.57538659793814
2007-12-01,30.07447916666667
2008-01-01,27.460053262316915
2008-02-01,27.102449223416965
2008-03-01,25.60034482758621
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,45.97372611464968
2008-08-01,35.47167852906287
2008-09-01,40.19377811094453
2008-10-01,53.98560209424084
2008-11-01,39.863079896907216
2008-12-01,0.0
2009-01-01,56.75077674212162
2009-02-01,56.668757467144566
2009-03-01,54.04517241379311
2009-04-01,52.94608472400513
2009-05-01,31.02922453703703
2009-06-01,56.86351102941177
2009-07-01,67.86597664543524
2009-08-01,45.25696915776987
2009-09-01,19.58158420789605
2009-10-01,37.78992146596859
2009-11-01,30.11877147766323
2009-12-01,34.37083333333334
2010-01-01,38.44407456724368
2010-02-01,35.31531262445241
2010-03-01,32.23747126436782
2010-04-01,31.76765083440308
2010-05-01,38.18981481481481
2010-06-01,39.17264093137255
2010-07-01,42.68988853503185
2010-08-01,44.0338078291815
2010-09-01,31.948900549725135
2010-10-01,19.794720767888307
2010-11-01,29.232925257731956
2010-12-01,26.85221354166667
2011-01-01,34.78273413226809
2011-02-01,27.92373556352051
2011-03-01,32.23747126436782
2011-04-01,36.17982456140351
2011-05-01,38.18981481481481
2011-06-01,36.64537377450981
2011-07-01,40.50066348195329
2011-08-01,28.132710557532622
2011-09-01,31.948900549725135
2011-10-01,26.99280104712042
2011-11-01,26.57538659793814
2011-12-01,34.37083333333334
2012-01-01,26.544718153573015
2012-02-01,24.638590203106332
2012-03-01,20.85954022988506
2012-04-01,22.06086863500214
2012-05-01,42.96354166666666
2012-06-01,40.43627450980392
2012-07-01,25.176088110403395
2012-08-01,33.02535587188612
2012-09-01,29.88768115942029
2012-10-01,25.19328097731239
2012-11-01,27.461232817869416
2012-12-01,23.62994791666667
2013-01-01,32.9520639147803
2013-02-01,26.28116288331342
2013-03-01,21.807701149425288
2013-04-01,30.885216089002995
2013-05-01,31.02922453703703
2013-06-01,39.17264093137255
2013-07-01,38.31143842887473
2013-08-01,42.81064650059312
2013-09-01,25.765242378810594
2013-10-01,31.49160122164049
2013-11-01,26.57538659793814
2013-12-01,31.14856770833334
2014-01-01,32.0367288060364
2014-02-01,25.459876543209877
2014-03-01,37.9264367816092
2014-04-01,28.23791185280274
2014-05-01,35.802951388888886
2014-06-01,50.5453431372549
2014-07-01,37.21682590233546
2014-08-01,30.579033214709373
2014-09-01,26.79585207396302
2014-10-01,26.093041012216407
2014-11-01,23.91784793814433
2014-12-01,22.555859375000004
2015-01-01,29.290723479804708
2015-02-01,29.566308243727597
2015-03-01,30.34114942528736
2015-04-01,24.708172871202397
2015-05-01,23.868634259259256
2015-06-01,27.799938725490197
2015-07-01,31.743763269639064
2015-08-01,33.02535587188612
2015-09-01,27.82646176911544
2015-10-01,21.594240837696336
2015-11-01,26.57538659793814
2015-12-01,31.14856770833334
2016-01-01,26.544718153573015
2016-02-01,31.208880923934686
2016-03-01,35.08195402298851
2016-04-01,34.41495507060334
2016-05-01,25.062065972222218
2016-06-01,31.590839460784316
2016-07-01,28.45992569002123
2016-08-01,25.68638790035587
2016-09-01,29.88768115942029
2016-10-01,26.093041012216407
2016-11-01,23.032001718213056
2016-12-01,27.926302083333336
2017-01-01,31.1213936972925
2017-02-01,29.566308243727597
2017-03-01,31.289310344827587
2017-04-01,30.002781343602912
2017-05-01,32.22265624999999
2017-06-01,31.590839460784316
2017-07-01,27.365313163481954
2017-08-01,28.132710557532622
2017-09-01,30.91829085457271
2017-10-01,26.093041012216407
2017-11-01,30.11877147766323
2017-12-01,40.815364583333334
2018-01-01,32.0367288060364
2018-02-01,28.745021903624053
2018-03-01,31.289310344827587
2018-04-01,30.002781343602912
2018-05-01,32.22265624999999
2018-06-01,31.590839460784316
2018-07-01,33.93298832271762
2018-08-01,39.141162514828
2018-09-01,37.10194902548726
2018-10-01,35.990401396160564
2018-11-01,31.0046176975945
2018-12-01,40.815364583333334
2019-01-01,48.51276076342655
2019-02-01,47.63460772600558
2019-03-01,33.18563218390805
2019-04-01,37.94469405220368
2019-05-01,42.96354166666666
2019-06-01,32.85447303921569
2019-07-01,36.12221337579618
2019-08-01,36.694839857651246
2019-09-01,41.22438780609695
2019-10-01,27.892561082024436
2019-11-01,31.89046391752577
2019-12-01,35.444921875000006
2020-01-01,35.698069241011986
2020-02-01,36.13659896455595
2020-03-01,39.82275862068966
2020-04-01,39.70956354300385
2020-05-01,31.02922453703703
2020-06-01,35.38174019607843
2020-07-01,28.45992569002123
2020-08-01,26.909549228944247
2020-09-01,39.1631684157921
2020-10-01,35.090641361256544
2020-11-01,30.11877147766323
2020-12-01,27.926302083333336
2021-01-01,32.0367288060364
2021-02-01,32.851453604141774
2021-03-01,38.874597701149426
2021-04-01,34.41495507060334
2021-05-01,38.18981481481481
2021-06-01,34.11810661764706
2021-07-01,26.270700636942674
2021-08-01,37.91800118623962
2021-09-01,30.91829085457271
2021-10-01,33.29112129144852
2021-11-01,22.146155498281786
2021-12-01,26.85221354166667
2022-01-01,41.19007989347537
2022-02-01,39.421744324970135
2022-03-01,49.30436781609196
2022-04-01,53.82851946940522
2022-05-01,62.05844907407406
2022-06-01,48.018075980392155
2022-07-01,33.93298832271762
2022-08-01,41.58748517200475
2022-09-01,46.37743628185907
2022-10-01,41.38896160558465
2022-11-01,38.97723367697594
2022-12-01,38.667187500000004
2023-01-01,54.92010652463383
2023-02-01,52.56232576662684
2023-03-01,47.4080459770115
2023-04-01,48.53391099700471
2023-05-01,56.09129050925925
2023-06-01,37.909007352941174
2023-07-01,35.0276008492569
2023-08-01,44.0338078291815
2023-09-01,54.62231384307846
2023-10-01,47.68728184991274
2023-11-01,42.52061855670103
2023-12-01,51.556250000000006
2024-01-01,56.75077674212162
2024-02-01,62.41776184786937
2024-03-01,57.837816091954025
2024-04-01,62.65286692340608
2024-05-01,63.25188078703703
2024-06-01,50.5453431372549
2024-07-01,31.743763269639064
2024-08-01,47.703291814946624
2024-09-01,60.805972013993
2024-10-01,57.5846422338569
2024-11-01,51.37908075601374
2024-12-01,55.85260416666667
2025-01-01,50.34343098091434
2025-02-01,73.915770609319
2025-03-01,68.26758620689655
2025-04-01,60.005562687205824
2025-05-01,63.25188078703703
2025-06-01,63.18167892156863
2025-07-01,76.62287685774946
2025-08-01,67.27387307236062
2025-09-01,82.4487756121939
2025-10-01,78.27912303664922
2025-11-01,74.4110824742268
2025-12-01,107.40885416666669
