date,ride share
2004-01-01,38.70901639344262
2004-02-01,26.58284385707293
2004-03-01,20.4018872214643
2004-04-01,26.062362030905074
2004-05-01,28.041052416052416
2004-06-01,34.181904761904754
2004-07-01,37.43771234428086
2004-08-01,30.306719516798793
2004-09-01,29.012584225128816
2004-10-01,27.65161020493517
2004-11-01,24.855263157894733
2004-12-01,27.21298758865248
2005-01-01,24.633010432190755
2005-02-01,23.115516397454723
2005-03-01,27.918371987266937
2005-04-01,30.232339955849884
2005-05-01,27.074119574119575
2005-06-01,23.387619047619044
2005-07-01,31.19809362023405
2005-08-01,39.220460551151376
2005-09-01,52.40982956797463
2005-10-01,38.51474278544542
2005-11-01,25.890899122807014
2005-12-01,30.35294769503546
2006-01-01,22.28700943864878
2006-02-01,30.05017131669114
2006-03-01,26.84458844929513
2006-04-01,33.35982339955849
2006-05-01,25.140253890253888
2006-06-01,26.086190476190474
2006-07-01,31.19809362023405
2006-08-01,34.763590033975085
2006-09-01,23.397245342845817
2006-10-01,26.664052697616057
2006-11-01,22.783991228070175
2006-12-01,25.11968085106383
2007-01-01,32.84401390958767
2007-02-01,21.959740577581986
2007-03-01,24.69702137335152
2007-04-01,23.977373068432666
2007-05-01,29.9749180999181
2007-06-01,25.186666666666664
2007-07-01,26.741223103057756
2007-08-01,27.632597206493017
2007-09-01,23.397245342845817
2007-10-01,25.676495190296947
2007-11-01,28.997807017543856
2007-12-01,24.073027482269502
2008-01-01,29.32501241927471
2008-02-01,23.115516397454723
2008-03-01,31.139722601182353
2008-04-01,32.31732891832229
2008-05-01,51.24744062244062
2008-06-01,56.669999999999995
2008-07-01,47.242827482068705
2008-08-01,32.98084182710457
2008-09-01,30.88436385255648
2008-10-01,32.58939774153074
2008-11-01,22.783991228070175
2008-12-01,28.25964095744681
2009-01-01,23.46000993541977
2009-02-01,23.115516397454723
2009-03-01,25.770804911323324
2009-04-01,23.977373068432666
2009-05-01,20.30558968058968
2009-06-01,22.488095238095234
2009-07-01,23.175726689316722
2009-08-01,24.067100792751983
2009-09-01,22.461355529131986
2009-10-01,18.763592639063152
2009-11-01,21.748355263157894
2009-12-01,18.83976063829787
2010-01-01,21.114008941877792
2010-02-01,21.959740577581986
2010-03-01,22.54945429740791
