date,coupon apps
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,10.475527426160337
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,8.785208775654635
2009-01-01,12.380168776371308
2009-02-01,10.5962441314554
2009-03-01,8.956349206349206
2009-04-01,9.374870197300103
2009-05-01,12.615345528455286
2009-06-01,20.161259990597085
2009-07-01,18.279198635976126
2009-08-01,21.90337552742616
2009-09-01,19.982293050022133
2009-10-01,15.587016574585636
2009-11-01,18.413752913752912
2009-12-01,23.959660297239914
2010-01-01,29.52194092827004
2010-02-01,30.729107981220658
2010-03-01,27.98859126984127
2010-04-01,29.29646936656282
2010-05-01,29.81808943089431
2010-06-01,35.01692524682651
2010-07-01,34.63427109974424
2010-08-01,32.3789029535865
2010-09-01,33.96989818503763
2010-10-01,37.408839779005525
2010-11-01,36.827505827505824
2010-12-01,43.92604387827318
2011-01-01,55.23459915611814
2011-02-01,63.57746478873239
2011-03-01,60.45535714285714
2011-04-01,79.68639667705088
2011-05-01,86.01371951219512
2011-06-01,80.64503996238834
2011-07-01,58.68584825234441
2011-08-01,60.948523206751055
2011-09-01,58.947764497565295
2011-10-01,73.77854511970534
2011-11-01,74.53185703185703
2011-12-01,78.26822363765038
2012-01-01,68.56708860759494
2012-02-01,60.39859154929577
2012-03-01,60.45535714285714
2012-04-01,62.10851505711318
2012-05-01,57.342479674796756
2012-06-01,58.36154207804419
2012-07-01,45.21696504688831
2012-08-01,48.56835443037975
2012-09-01,61.94510845506861
2012-10-01,64.42633517495396
2012-11-01,64.88655788655788
2012-12-01,63.09377211606511
2013-01-01,65.71012658227848
2013-02-01,62.51784037558686
2013-03-01,71.65079365079364
2013-04-01,59.76479750778816
2013-05-01,60.78302845528456
2013-06-01,57.30042313117066
2013-07-01,58.68584825234441
2013-08-01,63.80548523206751
2013-09-01,55.95042054006197
2013-10-01,58.19152854511971
2013-11-01,64.88655788655788
2013-12-01,63.09377211606511
2014-01-01,60.948523206751055
2014-02-01,64.63708920187793
2014-03-01,66.05307539682539
2014-04-01,60.93665628245067
2014-05-01,68.8109756097561
2014-06-01,63.66713681241184
2014-07-01,72.15473145780051
2014-08-01,75.23333333333333
2014-09-01,65.94156706507304
2014-10-01,63.38720073664825
2014-11-01,62.25602175602175
2014-12-01,59.89915074309979
2015-01-01,60.948523206751055
2015-02-01,64.63708920187793
2015-03-01,68.2921626984127
2015-04-01,62.10851505711318
2015-05-01,67.66412601626017
2015-06-01,61.54489891866478
2015-07-01,67.34441602728047
2015-08-01,67.61476793248946
2015-09-01,55.95042054006197
2015-10-01,59.23066298342542
2015-11-01,54.36441336441336
2015-12-01,52.71125265392781
2016-01-01,59.99620253164557
2016-02-01,61.458215962441315
2016-03-01,58.216269841269835
2016-04-01,56.249221183800614
2016-05-01,55.04878048780488
2016-06-01,50.933709449929474
2016-07-01,57.723785166240404
2016-08-01,58.0915611814346
2016-09-01,76.93182824258521
2016-10-01,65.46546961325967
2016-11-01,58.74864024864024
2016-12-01,51.91259731068648
2017-01-01,72.37637130801687
2017-02-01,64.63708920187793
2017-03-01,60.45535714285714
2017-04-01,64.4522326064382
2017-05-01,57.342479674796756
2017-06-01,62.60601786553831
2017-07-01,59.64791133844842
2017-08-01,59.99620253164557
2017-09-01,57.94864984506419
2017-10-01,55.07412523020258
2017-11-01,54.36441336441336
2017-12-01,49.51663128096249
2018-01-01,55.23459915611814
2018-02-01,49.80234741784037
2018-03-01,51.49900793650793
2018-04-01,55.077362409138104
2018-05-01,45.8739837398374
2018-06-01,50.933709449929474
2018-07-01,50.98934356351236
2018-08-01,50.472995780590715
2018-09-01,53.95219123505976
2018-10-01,44.68278084714549
2018-11-01,41.21173271173271
2018-12-01,39.13411181882519
2019-01-01,40.949789029535864
2019-02-01,44.50422535211268
2019-03-01,43.66220238095238
2019-04-01,39.84319833852544
2019-05-01,37.84603658536586
2019-06-01,38.20028208744711
2019-07-01,39.444586530264274
2019-08-01,39.04514767932489
2019-09-01,40.96370075254537
2019-10-01,46.761049723756905
2019-11-01,38.58119658119658
2019-12-01,35.939490445859875
2020-01-01,36.188185654008436
2020-02-01,40.265727699530515
2020-03-01,35.82539682539682
2020-04-01,35.155763239875384
2020-05-01,35.552337398373986
2020-06-01,26.527973671838268
2020-07-01,27.899829497016196
2020-08-01,28.569620253164558
2020-09-01,30.972554227534307
2020-10-01,24.93922651933702
2020-11-01,28.059052059052057
2020-12-01,27.154281670205236
2021-01-01,30.474261603375528
2021-02-01,26.490610328638496
2021-03-01,26.869047619047617
2021-04-01,31.64018691588785
2021-05-01,25.230691056910572
2021-06-01,24.405735778091206
2021-07-01,25.013640238704173
2021-08-01,19.99873417721519
2021-09-01,25.976980965028773
2021-10-01,29.095764272559855
2021-11-01,24.55167055167055
2021-12-01,19.966383581033263
2022-01-01,28.569620253164558
2022-02-01,32.848356807511735
2022-03-01,34.70585317460317
2022-04-01,29.29646936656282
2022-05-01,30.964939024390247
2022-06-01,33.95580629995298
2022-07-01,29.82395566922421
2022-08-01,25.712658227848102
2022-09-01,26.97609561752988
2022-10-01,24.93922651933702
2022-11-01,25.428515928515928
2022-12-01,20.76503892427459
2023-01-01,29.52194092827004
2023-02-01,28.609859154929577
2023-03-01,27.98859126984127
2023-04-01,30.468328141225335
2023-05-01,29.81808943089431
2023-06-01,29.711330512458858
2023-07-01,25.013640238704173
2023-08-01,27.61729957805907
2023-09-01,24.977866312527667
2023-10-01,23.900092081031307
2023-11-01,21.92113442113442
2023-12-01,17.57041755130927
2024-01-01,24.760337552742616
2024-02-01,22.25211267605634
2024-03-01,24.629960317460316
2024-04-01,25.780893042575283
2024-05-01,20.64329268292683
2024-06-01,16.97790314997649
2024-07-01,22.127450980392155
2024-08-01,19.99873417721519
2024-09-01,17.98406374501992
2024-10-01,19.74355432780847
2024-11-01,17.536907536907535
2024-12-01,16.77176220806794
2025-01-01,20.951054852320674
2025-02-01,24.37136150234742
2025-03-01,24.629960317460316
2025-04-01,21.09345794392523
2025-05-01,30.964939024390247
2025-06-01,41.3836389280677
2025-07-01,59.64791133844842
2025-08-01,41.90210970464135
2025-09-01,42.96193005754758
2025-10-01,45.721915285451196
2025-11-01,65.76340326340326
2025-12-01,79.86553432413305
