date,bulk shopping
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,74.79161676646707
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,86.5408163265306
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,58.81287246722289
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,52.54381084840057
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,55.401197604790426
2006-06-01,0.0
2006-07-01,36.15589353612167
2006-08-01,0.0
2006-09-01,31.645522388059703
2006-10-01,0.0
2006-11-01,30.217339667458432
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,37.63456464379948
2007-04-01,33.08224076281287
2007-05-01,26.777245508982038
2007-06-01,39.48221906116643
2007-07-01,26.384030418250948
2007-08-01,33.16129032258065
2007-09-01,23.973880597014926
2007-10-01,21.853741496598637
2007-11-01,32.04869358669834
2007-12-01,29.56637168141593
2008-01-01,30.418816388467377
2008-02-01,28.952712100139088
2008-03-01,27.463060686015837
2008-04-01,26.649582836710373
2008-05-01,30.470658682634735
2008-06-01,38.38549075391181
2008-07-01,43.973384030418245
2008-08-01,24.870967741935488
2008-09-01,28.76865671641791
2008-10-01,35.84013605442177
2008-11-01,32.04869358669834
2008-12-01,30.703539823008853
2009-01-01,24.569044006069802
2009-02-01,31.097357440890132
2009-03-01,26.44591029023747
2009-04-01,30.3253873659118
2009-05-01,19.390419161676647
2009-06-01,36.192034139402566
2009-07-01,21.498098859315586
2009-08-01,29.016129032258068
2009-09-01,30.686567164179106
2009-10-01,24.476190476190474
2009-11-01,32.96437054631829
2009-12-01,22.74336283185841
2010-01-01,31.58877086494689
2010-02-01,21.446453407510436
2010-03-01,31.531662269129292
2010-04-01,26.649582836710373
2010-05-01,24.007185628742516
2010-06-01,32.9018492176387
2010-07-01,23.45247148288973
2010-08-01,34.197580645161295
2010-09-01,30.686567164179106
2010-10-01,26.224489795918366
2010-11-01,25.63895486935867
2010-12-01,30.703539823008853
2011-01-01,33.928679817905916
2011-02-01,27.880389429763564
2011-03-01,17.291556728232194
2011-04-01,25.730631704410015
2011-05-01,28.623952095808384
2011-06-01,29.611664295874828
2011-07-01,28.338403041825092
2011-08-01,35.233870967741936
2011-09-01,28.76865671641791
2011-10-01,27.972789115646258
2011-11-01,25.63895486935867
2011-12-01,31.840707964601773
2012-01-01,32.758725341426405
2012-02-01,37.531293463143264
2012-03-01,30.51451187335093
2012-04-01,23.892729439809298
2012-05-01,29.54730538922156
2012-06-01,29.611664295874828
2012-07-01,28.338403041825092
2012-08-01,30.05241935483871
2012-09-01,28.76865671641791
2012-10-01,30.595238095238095
2012-11-01,34.795724465558195
2012-12-01,23.88053097345133
2013-01-01,29.248861911987863
2013-02-01,27.880389429763564
2013-03-01,38.651715039577844
2013-04-01,26.649582836710373
2013-05-01,23.083832335329344
2013-06-01,28.514935988620202
2013-07-01,29.315589353612165
2013-08-01,29.016129032258068
2013-09-01,32.6044776119403
2013-10-01,23.60204081632653
2013-11-01,29.30166270783848
2013-12-01,29.56637168141593
2014-01-01,40.94840667678301
2014-02-01,32.169680111265656
2014-03-01,29.497361477572564
2014-04-01,23.892729439809298
2014-05-01,27.700598802395213
2014-06-01,35.09530583214794
2014-07-01,35.178707224334595
2014-08-01,40.41532258064517
2014-09-01,30.686567164179106
2014-10-01,25.35034013605442
2014-11-01,28.38598574821853
2014-12-01,35.25221238938053
2015-01-01,39.77845220030349
2015-02-01,27.880389429763564
2015-03-01,34.58311345646439
2015-04-01,25.730631704410015
2015-05-01,23.083832335329344
2015-06-01,30.70839260312945
2015-07-01,32.24714828897338
2015-08-01,32.125
2015-09-01,36.440298507462686
2015-10-01,30.595238095238095
2015-11-01,31.133016627078387
2015-12-01,25.017699115044252
2016-01-01,36.268588770864945
2016-02-01,40.748261474269825
2016-03-01,45.7717678100264
2016-04-01,45.02860548271752
2016-05-01,34.16407185628743
2016-06-01,40.57894736842106
2016-07-01,37.13307984790874
2016-08-01,32.125
2016-09-01,36.440298507462686
2016-10-01,37.58843537414966
2016-11-01,42.12114014251782
2016-12-01,43.21238938053098
2017-01-01,53.81790591805766
2017-02-01,40.748261474269825
2017-03-01,44.75461741424803
2017-04-01,39.51489868891538
2017-05-01,35.0874251497006
2017-06-01,40.57894736842106
2017-07-01,46.90494296577946
2017-08-01,41.45161290322581
2017-09-01,41.235074626865675
2017-10-01,34.09183673469388
2017-11-01,42.12114014251782
2017-12-01,34.115044247787615
2018-01-01,49.138088012139605
2018-02-01,48.25452016689848
2018-03-01,38.651715039577844
2018-04-01,40.43384982121574
2018-05-01,39.70419161676647
2018-06-01,40.57894736842106
2018-07-01,50.81368821292775
2018-08-01,53.88709677419355
2018-09-01,51.78358208955224
2018-10-01,50.70068027210884
2018-11-01,45.78384798099763
2018-12-01,50.035398230088504
2019-01-01,58.497723823975726
2019-02-01,52.54381084840057
2019-03-01,50.85751978891822
2019-04-01,46.86650774731824
2019-05-01,54.477844311377254
2019-06-01,66.90042674253202
2019-07-01,42.99619771863117
2019-08-01,55.95967741935484
2019-09-01,49.865671641791046
2019-10-01,44.58163265306122
2019-11-01,39.37410926365796
2019-12-01,53.44690265486726
2020-01-01,74.87708649468892
2020-02-01,60.05006954102922
2020-03-01,92.56068601583115
2020-04-01,63.407628128724674
2020-05-01,39.70419161676647
2020-06-01,44.96586059743955
2020-07-01,49.83650190114068
2020-08-01,53.88709677419355
2020-09-01,46.98880597014926
2020-10-01,40.2108843537415
2020-11-01,38.458432304038006
2020-12-01,48.89823008849558
2021-01-01,45.628224582701066
2021-02-01,43.96522948539639
2021-03-01,45.7717678100264
2021-04-01,41.352800953516095
2021-05-01,45.244311377245516
2021-06-01,49.35277382645805
2021-07-01,48.859315589353606
2021-08-01,56.99596774193549
2021-09-01,53.701492537313435
2021-10-01,47.20408163265306
2021-11-01,54.0249406175772
2021-12-01,51.17256637168142
2022-01-01,53.81790591805766
2022-02-01,66.48400556328235
2022-03-01,57.97757255936676
2022-04-01,61.56972586412396
2022-05-01,47.09101796407186
2022-06-01,52.642958748221915
2022-07-01,42.99619771863117
2022-08-01,42.487903225806456
2022-09-01,41.235074626865675
2022-10-01,41.95918367346938
2022-11-01,34.795724465558195
2022-12-01,48.89823008849558
2023-01-01,46.798179059180576
2023-02-01,40.748261474269825
2023-03-01,37.63456464379948
2023-04-01,42.27175208581645
2023-05-01,40.627544910179644
2023-06-01,43.86913229018493
2023-07-01,38.11026615969581
2023-08-01,34.197580645161295
2023-09-01,39.31716417910448
2023-10-01,37.58843537414966
2023-11-01,42.12114014251782
2023-12-01,40.93805309734513
2024-01-01,46.798179059180576
2024-02-01,42.89290681502087
2024-03-01,38.651715039577844
2024-04-01,36.7580452920143
2024-05-01,29.54730538922156
2024-06-01,31.805120910384073
2024-07-01,35.178707224334595
2024-08-01,38.34274193548387
2024-09-01,34.52238805970149
2024-10-01,39.33673469387755
2024-11-01,38.458432304038006
2024-12-01,45.48672566371682
2025-01-01,42.11836115326252
2025-02-01,47.18219749652296
2025-03-01,44.75461741424803
2025-04-01,52.38021454112039
2025-05-01,42.474251497005994
2025-06-01,59.223328591749656
2025-07-01,73.28897338403041
2025-08-01,73.57661290322581
2025-09-01,72.88059701492537
2025-10-01,64.68707482993197
2025-11-01,91.56769596199526
2025-12-01,95.52212389380531
