date,cancel subscription
2004-01-01,0.9891752577319588
2004-02-01,1.0613938053097345
2004-03-01,1.0978260869565217
2004-04-01,1.0953196347031964
2004-05-01,1.0590507726269316
2004-06-01,0.9974012474012475
2004-07-01,0.0
2004-08-01,0.9912190082644629
2004-09-01,0.9711538461538463
2004-10-01,1.0015657620041754
2004-11-01,1.8925049309664694
2004-12-01,1.776851851851852
2005-01-01,1.9783505154639176
2005-02-01,1.0613938053097345
2005-03-01,2.1956521739130435
2005-04-01,2.1906392694063928
2005-05-01,1.0590507726269316
2005-06-01,1.994802494802495
2005-07-01,1.8925049309664694
2005-08-01,1.9824380165289257
2005-09-01,1.9423076923076925
2005-10-01,2.0031315240083507
2005-11-01,0.9462524654832347
2005-12-01,1.776851851851852
2006-01-01,1.9783505154639176
2006-02-01,1.0613938053097345
2006-03-01,2.1956521739130435
2006-04-01,1.0953196347031964
2006-05-01,1.0590507726269316
2006-06-01,1.994802494802495
2006-07-01,1.8925049309664694
2006-08-01,1.9824380165289257
2006-09-01,0.9711538461538463
2006-10-01,2.0031315240083507
2006-11-01,0.9462524654832347
2006-12-01,1.776851851851852
2007-01-01,1.9783505154639176
2007-02-01,2.122787610619469
2007-03-01,2.1956521739130435
2007-04-01,1.0953196347031964
2007-05-01,2.118101545253863
2007-06-01,1.994802494802495
2007-07-01,1.8925049309664694
2007-08-01,1.9824380165289257
2007-09-01,1.9423076923076925
2007-10-01,2.0031315240083507
2007-11-01,1.8925049309664694
2007-12-01,1.776851851851852
2008-01-01,1.9783505154639176
2008-02-01,2.122787610619469
2008-03-01,2.1956521739130435
2008-04-01,2.1906392694063928
2008-05-01,2.118101545253863
2008-06-01,1.994802494802495
2008-07-01,2.8387573964497044
2008-08-01,1.9824380165289257
2008-09-01,1.9423076923076925
2008-10-01,2.0031315240083507
2008-11-01,1.8925049309664694
2008-12-01,2.665277777777778
2009-01-01,2.9675257731958764
2009-02-01,3.1841814159292037
2009-03-01,3.2934782608695654
2009-04-01,3.285958904109589
2009-05-01,3.177152317880795
2009-06-01,2.9922037422037424
2009-07-01,2.8387573964497044
2009-08-01,2.9736570247933884
2009-09-01,2.9134615384615388
2009-10-01,3.004697286012526
2009-11-01,2.8387573964497044
2009-12-01,2.665277777777778
2010-01-01,3.956701030927835
2010-02-01,3.1841814159292037
2010-03-01,3.2934782608695654
2010-04-01,3.285958904109589
2010-05-01,3.177152317880795
2010-06-01,2.9922037422037424
2010-07-01,2.8387573964497044
2010-08-01,2.9736570247933884
2010-09-01,2.9134615384615388
2010-10-01,3.004697286012526
2010-11-01,2.8387573964497044
2010-12-01,2.665277777777778
2011-01-01,3.956701030927835
2011-02-01,4.245575221238938
2011-03-01,4.391304347826087
2011-04-01,4.3812785388127855
2011-05-01,4.236203090507726
2011-06-01,3.98960498960499
2011-07-01,3.785009861932939
2011-08-01,3.9648760330578514
2011-09-01,3.884615384615385
2011-10-01,4.006263048016701
2011-11-01,3.785009861932939
2011-12-01,4.44212962962963
2012-01-01,4.945876288659794
2012-02-01,4.245575221238938
2012-03-01,4.391304347826087
2012-04-01,4.3812785388127855
2012-05-01,5.295253863134658
2012-06-01,4.987006237006238
2012-07-01,4.731262327416173
2012-08-01,4.956095041322314
2012-09-01,4.855769230769232
2012-10-01,4.006263048016701
2012-11-01,4.731262327416173
2012-12-01,4.44212962962963
2013-01-01,4.945876288659794
2013-02-01,5.306969026548672
2013-03-01,5.489130434782608
2013-04-01,5.476598173515982
2013-05-01,6.35430463576159
2013-06-01,5.984407484407485
2013-07-01,6.623767258382643
2013-08-01,6.93853305785124
2013-09-01,6.798076923076923
2013-10-01,6.009394572025052
2013-11-01,6.623767258382643
2013-12-01,6.218981481481482
