date,grocery coupons
2004-01-01,23.738003427592112
2004-02-01,22.09831756046267
2004-03-01,21.227777777777778
2004-04-01,16.503302845528456
2004-05-01,20.246146435452793
2004-06-01,20.973552894211576
2004-07-01,24.639384920634917
2004-08-01,23.102786540483702
2004-09-01,21.370246085011185
2004-10-01,17.632193268186754
2004-11-01,21.298773690078036
2004-12-01,18.96950354609929
2005-01-01,20.46379605826906
2005-02-01,20.08937960042061
2005-03-01,19.206084656084656
2005-04-01,17.47408536585366
2005-05-01,15.644749518304431
2005-06-01,15.253493013972054
2005-07-01,18.005704365079364
2005-08-01,23.102786540483702
2005-09-01,21.370246085011185
2005-10-01,19.706568946796956
2005-11-01,20.233835005574132
2005-12-01,18.96950354609929
2006-01-01,16.37103684661525
2006-02-01,19.08491062039958
2006-03-01,18.195238095238096
2006-04-01,12.620172764227643
2006-05-01,12.883911368015413
2006-06-01,16.206836327345307
2006-07-01,22.744047619047617
2006-08-01,22.09831756046267
2006-09-01,21.370246085011185
2006-10-01,18.669381107491855
2006-11-01,20.233835005574132
2006-12-01,20.324468085106382
2007-01-01,21.282347900599824
2007-02-01,19.08491062039958
2007-03-01,19.206084656084656
2007-04-01,16.503302845528456
2007-05-01,13.804190751445086
2007-06-01,21.92689620758483
2007-07-01,20.848710317460316
2007-08-01,22.09831756046267
2007-09-01,22.438758389261746
2007-10-01,20.74375678610206
2007-11-01,20.233835005574132
2007-12-01,23.034397163120566
2008-01-01,27.012210796915163
2008-02-01,25.11172450052576
2008-03-01,29.314550264550267
2008-04-01,31.065040650406505
2008-05-01,34.97061657032755
2008-06-01,39.08707584830339
2008-07-01,53.06944444444444
2008-08-01,43.19216614090431
2008-09-01,39.534955257270695
2008-10-01,67.4172095548317
2008-11-01,52.18199554069118
2008-12-01,46.06879432624113
2009-01-01,37.65338474721508
2009-02-01,62.27707676130389
2009-03-01,59.63994708994709
2009-04-01,38.831300813008134
2009-05-01,41.41257225433526
2009-06-01,41.94710578842315
2009-07-01,35.063740079365076
2009-08-01,36.1608832807571
2009-09-01,41.67197986577181
2009-10-01,33.1900108577633
2009-11-01,37.27285395763656
2009-12-01,33.8741134751773
2010-01-01,33.560625535561265
2010-02-01,29.129600420609883
2010-03-01,28.303703703703704
2010-04-01,25.240345528455286
2010-05-01,24.847543352601154
2010-06-01,21.92689620758483
2010-07-01,21.796378968253965
2010-08-01,24.10725552050473
2010-09-01,24.575782997762865
2010-10-01,22.818132464712267
2010-11-01,24.49358974358974
2010-12-01,39.29397163120567
2011-01-01,47.476006855184224
2011-02-01,31.138538380651944
2011-03-01,39.42301587301588
2011-04-01,90.2827743902439
2011-05-01,92.02793834296725
2011-06-01,70.54740518962075
2011-07-01,46.435763888888886
2011-08-01,43.19216614090431
2011-09-01,44.87751677852349
2011-10-01,45.636264929424534
2011-11-01,39.402731326644364
2011-12-01,31.16418439716312
2012-01-01,27.012210796915163
2012-02-01,22.09831756046267
2012-03-01,18.195238095238096
2012-04-01,14.56173780487805
2012-05-01,12.883911368015413
2012-06-01,15.253493013972054
2012-07-01,13.26736111111111
2012-08-01,15.067034700315457
2012-09-01,14.959172259507831
2012-10-01,14.520629750271443
2012-11-01,17.039018952062428
2012-12-01,16.259574468085106
2013-01-01,13.0968294772922
2013-02-01,13.058096740273395
2013-03-01,13.14100529100529
2013-04-01,12.620172764227643
2013-05-01,10.123073217726397
2013-06-01,10.486776447105788
2013-07-01,11.372023809523808
2013-08-01,12.053627760252365
2013-09-01,11.753635346756152
2013-10-01,11.409066232356134
2013-11-01,14.909141583054623
2013-12-01,13.549645390070921
2014-01-01,13.0968294772922
2014-02-01,14.062565720294426
2014-03-01,14.151851851851852
2014-04-01,9.707825203252034
2014-05-01,8.282514450867051
2014-06-01,8.58008982035928
2014-07-01,12.319692460317459
2014-08-01,14.062565720294426
2014-09-01,10.685123042505593
2014-10-01,8.297502714440824
2014-11-01,9.584448160535116
2014-12-01,9.484751773049645
2015-01-01,7.366966580976863
2015-02-01,6.026813880126182
2015-03-01,7.075925925925926
2015-04-01,5.82469512195122
2015-05-01,6.441955684007707
2015-06-01,6.673403193612774
2015-07-01,6.633680555555555
2015-08-01,7.031282860147213
2015-09-01,7.4795861297539155
2015-10-01,6.223127035830618
2015-11-01,6.38963210702341
2015-12-01,8.129787234042553
2016-01-01,5.729862896315337
2016-02-01,6.026813880126182
2016-03-01,5.054232804232805
2016-04-01,3.883130081300813
2016-05-01,4.601396917148362
2016-06-01,4.7667165668662665
2016-07-01,5.686011904761904
2016-08-01,5.0223449001051526
2016-09-01,5.342561521252796
2016-10-01,5.185939196525515
2016-11-01,6.38963210702341
2016-12-01,6.774822695035461
2017-01-01,4.911311053984575
2017-02-01,5.0223449001051526
2017-03-01,5.054232804232805
2017-04-01,3.883130081300813
2017-05-01,3.6811175337186897
2017-06-01,3.8133732534930136
2017-07-01,4.738343253968253
2017-08-01,5.0223449001051526
2017-09-01,5.342561521252796
2017-10-01,5.185939196525515
2017-11-01,5.324693422519509
2017-12-01,5.4198581560283685
2018-01-01,4.092759211653813
2018-02-01,4.017875920084122
2018-03-01,4.0433862433862435
2018-04-01,3.883130081300813
2018-05-01,3.6811175337186897
2018-06-01,3.8133732534930136
2018-07-01,4.738343253968253
