date,rebate
2004-01-01,16.02110157367668
2004-02-01,15.275362318840578
2004-03-01,14.037290715372905
2004-04-01,12.395833333333332
2004-05-01,10.533517835178351
2004-06-01,14.232253086419751
2004-07-01,16.417445482866043
2004-08-01,17.307060755336618
2004-09-01,17.92517006802721
2004-10-01,17.427248677248677
2004-11-01,17.307060755336618
2004-12-01,20.618153364632235
2005-01-01,16.02110157367668
2005-02-01,15.275362318840578
2005-03-01,14.037290715372905
2005-04-01,11.510416666666664
2005-05-01,10.533517835178351
2005-06-01,15.248842592592592
2005-07-01,14.365264797507788
2005-08-01,15.14367816091954
2005-09-01,13.443877551020407
2005-10-01,13.94179894179894
2005-11-01,14.061986863711002
2005-12-01,18.556338028169012
2006-01-01,15.07868383404864
2006-02-01,12.411231884057969
2006-03-01,12.031963470319633
2006-04-01,10.624999999999998
2006-05-01,8.10270602706027
2006-06-01,10.165895061728394
2006-07-01,13.33917445482866
2006-08-01,14.061986863711002
2006-09-01,13.443877551020407
2006-10-01,13.94179894179894
2006-11-01,14.061986863711002
2006-12-01,15.463615023474178
2007-01-01,13.19384835479256
2007-02-01,13.365942028985506
2007-03-01,12.031963470319633
2007-04-01,9.739583333333332
2007-05-01,8.912976629766296
2007-06-01,11.182484567901234
2007-07-01,12.313084112149532
2007-08-01,14.061986863711002
2007-09-01,16.80484693877551
2007-10-01,13.94179894179894
2007-11-01,14.061986863711002
2007-12-01,14.432707355242567
2008-01-01,32.04220314735336
2008-02-01,39.143115942028984
2008-03-01,36.0958904109589
2008-04-01,56.66666666666666
2008-05-01,81.0270602706027
2008-06-01,35.58063271604938
2008-07-01,19.495716510903428
2008-08-01,15.14367816091954
2008-09-01,14.564200680272108
2008-10-01,16.26543209876543
2008-11-01,14.061986863711002
2008-12-01,14.432707355242567
2009-01-01,15.07868383404864
2009-02-01,18.139492753623188
2009-03-01,15.039954337899541
2009-04-01,12.395833333333332
2009-05-01,9.723247232472325
2009-06-01,13.215663580246911
2009-07-01,19.495716510903428
2009-08-01,18.388752052545158
2009-09-01,13.443877551020407
2009-10-01,13.94179894179894
2009-11-01,12.980295566502463
2009-12-01,12.370892018779342
