date,digital library
2004-01-01,82.44735599622285
2004-02-01,74.06519065190652
2004-03-01,96.03668261562999
2004-04-01,87.59930423782417
2004-05-01,81.81948744410045
2004-06-01,87.12781350482315
2004-07-01,90.8415948275862
2004-08-01,84.58922996878252
2004-09-01,76.59442270058709
2004-10-01,71.54451497395833
2004-11-01,78.49810231023102
2004-12-01,94.67767295597483
2005-01-01,65.38928234183192
2005-02-01,74.99100553505535
2005-03-01,70.10677830940989
2005-04-01,68.55597722960152
2005-05-01,70.42690058479532
2005-06-01,66.69042515183995
2005-07-01,59.479615660919535
2005-08-01,68.92455775234131
2005-09-01,69.7205642530985
2005-10-01,69.58439127604166
2005-11-01,63.593399339933995
2005-12-01,54.70265548567435
2006-01-01,55.91257475605918
2006-02-01,52.77144833948339
2006-03-01,51.85980861244019
2006-04-01,49.51265022137888
2006-05-01,53.855865153078774
2006-06-01,53.78260092890318
2006-07-01,49.74658764367816
2006-08-01,55.348508498092265
2006-09-01,49.09898891063275
2006-10-01,49.98315429687499
2006-11-01,48.688696369636965
2006-12-01,44.18291404612159
2007-01-01,45.48819641170916
2007-02-01,46.29074415744157
2007-03-01,43.21650717703349
2007-04-01,40.943153067678686
2007-05-01,52.820175438596486
2007-06-01,48.404340836012864
2007-07-01,47.58369252873563
2007-08-01,44.905393687131465
2007-09-01,45.171069797782124
2007-10-01,48.02303059895833
2007-11-01,54.650577557755774
2007-12-01,49.44278476589797
2008-01-01,45.48819641170916
2008-02-01,46.29074415744157
2008-03-01,42.256140350877196
2008-04-01,42.84748576850095
2008-05-01,43.49896800825593
2008-06-01,40.87477670596642
2008-07-01,43.257902298850574
2008-08-01,42.8167707249393
2008-09-01,45.171069797782124
2008-10-01,43.122721354166664
2008-11-01,44.71410891089109
2008-12-01,43.13093990216631
2009-01-01,42.64518413597734
2009-02-01,44.43911439114391
2009-03-01,43.21650717703349
2009-04-01,63.795145477545866
2009-05-01,45.5703474372205
2009-06-01,49.479992854590925
2009-07-01,44.33934985632184
2009-08-01,41.77245924384322
2009-09-01,51.06294846705806
2009-10-01,50.96321614583333
2009-11-01,49.68234323432343
2009-12-01,46.286862334032136
2010-01-01,44.54052565313189
2010-02-01,47.216559040590404
2010-03-01,43.21650717703349
2010-04-01,42.84748576850095
2010-05-01,42.46327829377365
2010-06-01,41.95042872454448
2010-07-01,40.01355962643678
2010-08-01,36.55090183836282
2010-09-01,42.22513046314416
2010-10-01,40.182535807291664
2010-11-01,42.726815181518155
2010-12-01,45.234888190076866
2011-01-01,46.435867170286436
2011-02-01,45.36492927429274
2011-03-01,47.0579744816587
2011-04-01,43.799652118912086
2011-05-01,48.677416580667355
2011-06-01,50.55564487316899
2011-07-01,50.828035201149426
2011-08-01,45.949705168227545
2011-09-01,47.13502935420743
2011-10-01,49.98315429687499
2011-11-01,54.650577557755774
2011-12-01,56.8066037735849
2012-01-01,57.80791627321373
2012-02-01,50.91981857318573
2012-03-01,48.01834130781499
2012-04-01,48.560483870967744
2012-05-01,50.74879600963192
2012-06-01,53.78260092890318
2012-07-01,50.828035201149426
2012-08-01,52.21557405480402
2012-09-01,49.09898891063275
2012-10-01,49.003092447916664
2012-11-01,46.70140264026403
2012-12-01,50.494758909853246
2013-01-01,49.27887944601826
2013-02-01,47.216559040590404
2013-03-01,45.13724082934609
2013-04-01,54.27348197343454
2013-05-01,50.74879600963192
2013-06-01,50.55564487316899
2013-07-01,54.07237787356321
2013-08-01,50.12695109261186
2013-09-01,51.06294846705806
2013-10-01,47.04296875
2013-11-01,51.66963696369637
2013-12-01,50.494758909853246
2014-01-01,57.80791627321373
2014-02-01,49.06818880688807
2014-03-01,50.899441786283894
2014-04-01,47.60831752055662
2014-05-01,50.74879600963192
2014-06-01,54.85825294748124
2014-07-01,54.07237787356321
2014-08-01,52.21557405480402
2014-09-01,52.04492824527071
2014-10-01,51.943277994791664
2014-11-01,49.68234323432343
2014-12-01,48.39081062194269
2015-01-01,50.22655020459553
2015-02-01,49.9940036900369
2015-03-01,47.0579744816587
2015-04-01,45.70398481973435
2015-05-01,45.5703474372205
2015-06-01,46.25303679885673
2015-07-01,49.74658764367816
2015-08-01,48.03832813041971
2015-09-01,51.06294846705806
2015-10-01,52.92333984374999
2015-11-01,49.68234323432343
2015-12-01,44.18291404612159
2016-01-01,38.85450110166824
2016-02-01,39.810039975399754
2016-03-01,40.3354066985646
2016-04-01,38.086654016445294
2016-05-01,39.3562091503268
2016-06-01,37.64782065023223
2016-07-01,36.76921695402299
2016-08-01,36.55090183836282
2016-09-01,39.2791911285062
2016-10-01,37.242350260416664
2016-11-01,37.75858085808581
2016-12-01,35.76712089447938
2017-01-01,36.95915958451369
2017-02-01,38.88422509225092
2017-03-01,37.454306220095695
2017-04-01,37.13448766603416
2017-05-01,38.32051943584451
2017-06-01,35.496516613076096
2017-07-01,37.85066451149425
2017-08-01,34.46227887617066
2017-09-01,37.31523157208089
2017-10-01,38.222412109375
2017-11-01,37.75858085808581
2017-12-01,33.66317260656883
2018-01-01,38.85450110166824
2018-02-01,36.10678044280443
2018-03-01,36.49393939393939
2018-04-01,39.03882036685643
2018-05-01,38.32051943584451
2018-06-01,35.496516613076096
2018-07-01,34.60632183908046
2018-08-01,37.5952133194589
2018-09-01,38.297211350293544
2018-10-01,39.20247395833333
2018-11-01,34.7776402640264
2018-12-01,33.66317260656883
2019-01-01,35.06381806735914
2019-02-01,36.10678044280443
2019-03-01,38.41467304625199
2019-04-01,36.18232131562303
2019-05-01,38.32051943584451
2019-06-01,33.34521257591997
2019-07-01,33.52487428160919
2019-08-01,37.5952133194589
2019-09-01,37.31523157208089
2019-10-01,40.182535807291664
2019-11-01,36.76493399339934
2019-12-01,33.66317260656883
2020-01-01,36.01148882593642
2020-02-01,37.03259532595326
2020-03-01,45.13724082934609
2020-04-01,42.84748576850095
2020-05-01,38.32051943584451
2020-06-01,40.87477670596642
2020-07-01,38.932112068965516
2020-08-01,42.8167707249393
2020-09-01,39.2791911285062
2020-10-01,31.361979166666664
2020-11-01,25.834818481848185
2020-12-01,29.455276030747726
2021-01-01,25.587110481586404
2021-02-01,26.84863161131611
2021-03-01,26.890271132376398
2021-04-01,25.70849146110057
2021-05-01,24.856553147574818
2021-06-01,27.966952483029655
2021-07-01,25.95474137931034
2021-08-01,26.10778702740201
2021-09-01,26.513454011741683
2021-10-01,25.481608072916664
2021-11-01,24.841171617161717
2021-12-01,25.247379454926623
2022-01-01,33.168476550204595
2022-02-01,38.88422509225092
2022-03-01,35.5335725677831
2022-04-01,37.13448766603416
2022-05-01,38.32051943584451
2022-06-01,34.420864594498035
2022-07-01,34.60632183908046
2022-08-01,39.68383628165106
2022-09-01,34.36929223744292
2022-10-01,37.242350260416664
2022-11-01,36.76493399339934
2022-12-01,34.715146750524106
2023-01-01,38.85450110166824
2023-02-01,39.810039975399754
2023-03-01,38.41467304625199
2023-04-01,36.18232131562303
2023-05-01,37.28482972136223
2023-06-01,35.496516613076096
2023-07-01,34.60632183908046
2023-08-01,35.50659035726674
2023-09-01,36.33325179386823
2023-10-01,37.242350260416664
2023-11-01,35.77128712871287
2023-12-01,43.13093990216631
2024-01-01,38.85450110166824
2024-02-01,40.735854858548585
2024-03-01,36.49393939393939
2024-04-01,37.13448766603416
2024-05-01,36.24914000687994
2024-06-01,36.572168631654165
