date,price comparison
2004-01-01,43.098837209302324
2004-02-01,42.40584415584416
2004-03-01,43.932314410480345
2004-04-01,39.532805429864254
2004-05-01,41.552690582959634
2004-06-01,37.506249999999994
2004-07-01,30.61734693877551
2004-08-01,33.09375
2004-09-01,33.354330708661415
2004-10-01,31.990624999999998
2004-11-01,28.11504424778761
2004-12-01,30.27726063829787
2005-01-01,31.811046511627907
2005-02-01,28.6525974025974
2005-03-01,30.0589519650655
2005-04-01,28.751131221719454
2005-05-01,26.118834080717484
2005-06-01,26.474999999999998
2005-07-01,21.612244897959183
2005-08-01,25.306985294117645
2005-09-01,26.05807086614173
2005-10-01,25.371875
2005-11-01,23.429203539823007
2005-12-01,20.419547872340424
2006-01-01,21.549418604651162
2006-02-01,21.775974025974026
2006-03-01,20.81004366812227
2006-04-01,20.365384615384613
2006-05-01,21.36995515695067
2006-06-01,17.65
2006-07-01,16.209183673469386
2006-08-01,18.493566176470587
2006-09-01,17.719488188976378
2006-10-01,16.546875
2006-11-01,17.18141592920354
2006-12-01,16.898936170212764
2007-01-01,17.444767441860467
2007-02-01,17.191558441558442
2007-03-01,16.185589519650655
2007-04-01,17.96945701357466
2007-05-01,18.99551569506726
2007-06-01,16.546875
2007-07-01,14.408163265306122
2007-08-01,15.573529411764705
2007-09-01,14.592519685039369
2007-10-01,15.443749999999998
2007-11-01,16.400442477876105
2007-12-01,15.490691489361701
2008-01-01,15.392441860465118
2008-02-01,13.753246753246753
2008-03-01,13.873362445414847
2008-04-01,16.771493212669682
2008-05-01,16.621076233183853
2008-06-01,13.237499999999999
2008-07-01,12.607142857142858
2008-08-01,11.680147058823529
2008-09-01,12.50787401574803
2008-10-01,14.340625
2008-11-01,14.838495575221238
2008-12-01,16.194813829787233
2009-01-01,14.366279069767442
2009-02-01,13.753246753246753
2009-03-01,13.873362445414847
2009-04-01,14.375565610859727
2009-05-01,14.246636771300446
2009-06-01,15.443749999999998
2009-07-01,11.706632653061224
2009-08-01,13.626838235294116
2009-09-01,12.50787401574803
2009-10-01,13.237499999999999
2009-11-01,14.057522123893804
2009-12-01,13.378324468085106
2010-01-01,13.340116279069768
2010-02-01,13.753246753246753
2010-03-01,13.873362445414847
2010-04-01,13.177601809954751
2010-05-01,14.246636771300446
2010-06-01,13.237499999999999
2010-07-01,9.90561224489796
2010-08-01,9.73345588235294
2010-09-01,10.423228346456693
2010-10-01,9.928125
2010-11-01,10.93362831858407
2010-12-01,10.56183510638298
2011-01-01,12.313953488372093
2011-02-01,12.607142857142858
2011-03-01,11.561135371179038
2011-04-01,11.979638009049774
2011-05-01,11.87219730941704
2011-06-01,11.03125
2011-07-01,9.90561224489796
2011-08-01,9.73345588235294
2011-09-01,10.423228346456693
2011-10-01,11.03125
2011-11-01,10.152654867256636
2011-12-01,9.857712765957446
2012-01-01,11.287790697674419
2012-02-01,11.46103896103896
2012-03-01,10.405021834061134
2012-04-01,10.781674208144796
2012-05-01,10.684977578475335
2012-06-01,9.928125
2012-07-01,8.104591836734693
2012-08-01,9.73345588235294
2012-09-01,9.380905511811022
2012-10-01,9.928125
2012-11-01,10.152654867256636
2012-12-01,7.745345744680851
2013-01-01,9.23546511627907
2013-02-01,9.168831168831169
2013-03-01,9.248908296943231
2013-04-01,9.583710407239819
2013-05-01,10.684977578475335
2013-06-01,9.928125
2013-07-01,8.104591836734693
2013-08-01,8.760110294117647
2013-09-01,9.380905511811022
2013-10-01,8.825
2013-11-01,7.809734513274336
2013-12-01,7.745345744680851
2014-01-01,10.261627906976745
2014-02-01,9.168831168831169
2014-03-01,10.405021834061134
2014-04-01,9.583710407239819
2014-05-01,9.49775784753363
2014-06-01,8.825
2014-07-01,7.204081632653061
2014-08-01,8.760110294117647
2014-09-01,8.338582677165354
