date,free stuff
2004-01-01,92.53065859197578
2004-02-01,87.41409342834521
2004-03-01,90.36041666666667
2004-04-01,82.77675371223758
2004-05-01,88.79312051472408
2004-06-01,89.18690476190477
2004-07-01,88.62665767588223
2004-08-01,94.42049808429118
2004-09-01,91.18580542264753
2004-10-01,90.67961934972244
2004-11-01,90.07892004153686
2004-12-01,92.05879043600562
2005-01-01,86.56093868281604
2005-02-01,87.41409342834521
2005-03-01,82.14583333333334
2005-04-01,79.74833589349718
2005-05-01,80.98713189804504
2005-06-01,74.16595238095239
2005-07-01,74.44639244774108
2005-08-01,68.92696360153256
2005-09-01,75.46411483253588
2005-10-01,71.91831879460746
2005-11-01,67.55919003115265
2005-12-01,72.09423347398031
2006-01-01,67.65682563714358
2006-02-01,69.72314594879916
2006-03-01,69.82395833333334
2006-04-01,66.62519201228879
2006-05-01,66.35090324177183
2006-06-01,66.6554761904762
2006-07-01,63.8111935266352
2006-08-01,65.15014367816092
2006-09-01,66.0311004784689
2006-10-01,65.66455194290246
2006-11-01,61.41744548286604
2006-12-01,65.4393811533052
2007-01-01,62.68205904617714
2007-02-01,63.479282132488784
2007-03-01,58.52890625
2007-04-01,66.62519201228879
2007-05-01,59.52066320217768
2007-06-01,71.34952380952382
2007-07-01,59.37986064284109
2007-08-01,66.09434865900383
2007-09-01,64.98298777246146
2007-10-01,62.537668517049966
2007-11-01,59.37019730010385
2007-12-01,66.54852320675106
2008-01-01,62.68205904617714
2008-02-01,64.51992610187385
2008-03-01,66.74348958333333
2008-04-01,62.58730158730159
2008-05-01,63.423657510517195
2008-06-01,64.77785714285714
2008-07-01,70.01505956394696
2008-08-01,69.87116858237547
2008-09-01,66.0311004784689
2008-10-01,78.17208564631245
2008-11-01,88.03167185877467
2008-12-01,69.87594936708861
2009-01-01,70.64168559172344
2009-02-01,72.84507785695433
2009-03-01,73.93125
2009-04-01,68.64413722478238
2009-05-01,68.30240039594159
2009-06-01,61.96142857142858
2009-07-01,64.69746010339402
2009-08-01,67.03855363984674
2009-09-01,63.93487506645402
2009-10-01,62.537668517049966
2009-11-01,55.27570093457944
2009-12-01,58.7845288326301
2010-01-01,57.7072924552107
2010-02-01,54.11348640802322
2010-03-01,55.448437500000004
2010-04-01,54.51152073732719
2010-05-01,52.690423162583514
2010-06-01,52.57333333333334
2010-07-01,60.266127219599916
2010-08-01,62.31752873563218
2010-09-01,58.694311536416805
2010-10-01,60.453079566481634
2010-11-01,55.27570093457944
2010-12-01,57.67538677918425
2011-01-01,59.69719909159728
2011-02-01,59.316706254948535
2011-03-01,58.52890625
2011-04-01,59.55888376856119
2011-05-01,61.47216035634744
2011-06-01,61.02261904761905
2011-07-01,58.49359406608227
2011-08-01,60.42911877394636
2011-09-01,67.07921318447634
2011-10-01,63.57996299233413
2011-11-01,61.41744548286604
2011-12-01,63.221097046413504
2012-01-01,58.70224577340399
2012-02-01,56.194774346793345
2012-03-01,57.50208333333333
2012-04-01,56.53046594982079
2012-05-01,52.690423162583514
2012-06-01,55.38976190476191
2012-07-01,59.37986064284109
2012-08-01,62.31752873563218
2012-09-01,56.59808612440192
2012-10-01,62.537668517049966
2012-11-01,61.41744548286604
2012-12-01,55.45710267229255
2013-01-01,54.72243250063084
2013-02-01,53.07284243863816
2013-03-01,58.52890625
