date,used car
2004-01-01,86.1267902274642
2004-02-01,75.63923802042419
2004-03-01,80.67180187207488
2004-04-01,83.14321398834305
2004-05-01,86.1413043478261
2004-06-01,91.51413982717987
2004-07-01,90.7442748091603
2004-08-01,86.25
2004-09-01,85.2076048951049
2004-10-01,83.01326815642457
2004-11-01,81.26220703125
2004-12-01,79.49088145896656
2005-01-01,74.10909856781804
2005-02-01,70.03633150039276
2005-03-01,72.3264430577223
2005-04-01,76.2146128226478
2005-05-01,73.69867149758454
2005-06-01,77.50687352710132
2005-07-01,81.66984732824427
2005-08-01,79.6875
2005-09-01,76.89466783216784
2005-10-01,69.73114525139664
2005-11-01,66.170654296875
2005-12-01,66.24240121580546
2006-01-01,66.09730412805392
2006-02-01,59.76433621366849
2006-03-01,59.344773790951635
2006-04-01,67.30641132389675
2006-05-01,64.1274154589372
2006-06-01,61.63197172034563
2006-07-01,66.24332061068702
2006-08-01,67.5
2006-09-01,66.5034965034965
2006-10-01,64.19692737430167
2006-11-01,62.68798828125
2006-12-01,59.01595744680851
2007-01-01,59.08698399326032
2007-02-01,54.161429693637075
2007-03-01,57.490249609984396
2007-04-01,60.3778101582015
2007-05-01,62.21316425120773
2007-06-01,62.565789473684205
2007-07-01,61.706106870229
2007-08-01,62.8125
2007-09-01,60.26879370629371
2007-10-01,58.6627094972067
2007-11-01,59.205322265625
2007-12-01,59.01595744680851
2008-01-01,58.08550968828981
2008-02-01,55.09524744697564
2008-03-01,56.56298751950078
2008-04-01,58.398209825145706
2008-05-01,61.256038647343
2008-06-01,56.96288295365278
2008-07-01,53.539122137404576
2008-08-01,56.25
2008-09-01,48.83850524475525
2008-10-01,49.80796089385474
2008-11-01,52.239990234375
2008-12-01,52.99392097264437
2009-01-01,53.07813816343724
2009-02-01,52.29379418695993
2009-03-01,54.70846333853354
2009-04-01,55.42880932556203
2009-05-01,56.47041062801932
2009-06-01,54.161429693637075
2009-07-01,54.44656488549618
2009-08-01,55.3125
2009-09-01,49.87762237762238
2009-10-01,49.80796089385474
2009-11-01,48.75732421875
2009-12-01,45.76747720364741
2010-01-01,53.07813816343724
2010-02-01,52.29379418695993
2010-03-01,50.07215288611544
2010-04-01,46.52060782681099
2010-05-01,48.81340579710145
2010-06-01,50.42615868028279
2010-07-01,49.00190839694656
2010-08-01,47.8125
2010-09-01,46.76027097902098
2010-10-01,46.48743016759776
2010-11-01,45.274658203125
2010-12-01,48.17629179331306
2011-01-01,54.07961246840775
2011-02-01,57.89670070699135
2011-03-01,54.70846333853354
2011-04-01,53.44920899250624
2011-05-01,54.55615942028986
2011-06-01,53.2276119402985
2011-07-01,55.354007633587784
2011-08-01,56.25
2011-09-01,55.07320804195805
2011-10-01,49.80796089385474
2011-11-01,49.918212890625
2011-12-01,52.99392097264437
2012-01-01,54.07961246840775
2012-02-01,56.96288295365278
2012-03-01,50.07215288611544
2012-04-01,50.479808492922565
2012-05-01,44.98490338164251
2012-06-01,47.62470542026708
2012-07-01,49.00190839694656
2012-08-01,45.9375
2012-09-01,48.83850524475525
2012-10-01,47.59427374301675
2012-11-01,47.596435546875
2012-12-01,49.38069908814589
2013-01-01,49.07224094355518
2013-02-01,49.49234092694422
2013-03-01,48.2176287051482
2013-04-01,44.5410074937552
2013-05-01,47.856280193236714
2013-06-01,45.75706991358994
2013-07-01,45.37213740458015
2013-08-01,46.875
2013-09-01,47.79938811188811
2013-10-01,48.70111731843575
2013-11-01,49.918212890625
2013-12-01,49.38069908814589
2014-01-01,50.073715248525694
2014-02-01,54.161429693637075
2014-03-01,50.99941497659906
2014-04-01,50.479808492922565
2014-05-01,47.856280193236714
2014-06-01,50.42615868028279
2014-07-01,48.09446564885496
2014-08-01,46.875
2014-09-01,51.95585664335665
2014-10-01,48.70111731843575
2014-11-01,49.918212890625
2014-12-01,50.585106382978715
2015-01-01,50.073715248525694
2015-02-01,48.55852317360565
2015-03-01,49.144890795631824
2015-04-01,51.46960865945046
2015-05-01,48.81340579710145
2015-06-01,48.55852317360565
2015-07-01,50.81679389312977
2015-08-01,50.625
2015-09-01,50.91673951048951
2015-10-01,52.02164804469273
2015-11-01,51.0791015625
2015-12-01,49.38069908814589
2016-01-01,51.07518955349621
2016-02-01,55.09524744697564
2016-03-01,50.07215288611544
2016-04-01,50.479808492922565
2016-05-01,49.770531400966185
2016-06-01,52.29379418695993
2016-07-01,49.00190839694656
2016-08-01,48.75
2016-09-01,49.87762237762238
2016-10-01,50.91480446927373
2016-11-01,53.40087890625
2016-12-01,52.99392097264437
2017-01-01,50.073715248525694
2017-02-01,52.29379418695993
2017-03-01,52.8539391575663
2017-04-01,50.479808492922565
2017-05-01,52.64190821256039
2017-06-01,51.35997643362136
2017-07-01,49.909351145038165
2017-08-01,50.625
2017-09-01,52.99497377622378
2017-10-01,59.76955307262569
2017-11-01,56.883544921875
2017-12-01,54.198328267477194
2018-01-01,52.07666385846672
2018-02-01,53.2276119402985
2018-03-01,56.56298751950078
2018-04-01,50.479808492922565
2018-05-01,51.684782608695656
2018-06-01,50.42615868028279
2018-07-01,50.81679389312977
2018-08-01,50.625
2018-09-01,52.99497377622378
2018-10-01,52.02164804469273
2018-11-01,52.239990234375
2018-12-01,54.198328267477194
2019-01-01,50.073715248525694
2019-02-01,52.29379418695993
2019-03-01,54.70846333853354
2019-04-01,50.479808492922565
2019-05-01,48.81340579710145
2019-06-01,47.62470542026708
2019-07-01,45.37213740458015
2019-08-01,48.75
2019-09-01,49.87762237762238
2019-10-01,49.80796089385474
2019-11-01,51.0791015625
2019-12-01,49.38069908814589
2020-01-01,46.06781802864364
2020-02-01,47.62470542026708
2020-03-01,35.235959438377535
2020-04-01,36.622606161532055
2020-05-01,50.72765700483092
2020-06-01,56.96288295365278
2020-07-01,51.72423664122137
2020-08-01,50.625
2020-09-01,51.95585664335665
