date,internet savings
2004-01-01,57.13965744400527
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,53.719771241830074
2004-06-01,67.76406250000001
2004-07-01,0.0
2004-08-01,72.21340523882897
2004-09-01,0.0
2004-10-01,41.19552414605418
2004-11-01,42.338157894736845
2004-12-01,0.0
2005-01-01,31.334650856389988
2005-02-01,32.20719424460432
2005-03-01,36.29481132075472
2005-04-01,34.07001522070016
2005-05-01,0.0
2005-06-01,53.55546875
2005-07-01,39.57415902140673
2005-08-01,54.96841294298922
2005-09-01,34.1219512195122
2005-10-01,64.26501766784452
2005-11-01,44.17894736842105
2005-12-01,53.457723577235775
2006-01-01,44.23715415019763
2006-02-01,55.356115107913666
2006-03-01,41.244103773584904
2006-04-01,75.59284627092848
2006-05-01,54.86274509803923
2006-06-01,72.1359375
2006-07-01,56.68730886850153
2006-08-01,64.66872110939907
2006-09-01,76.77439024390245
2006-10-01,66.73674911660777
2006-11-01,52.4625
2006-12-01,58.00731707317073
2007-01-01,63.59090909090909
2007-02-01,61.394964028776975
2007-03-01,82.48820754716981
2007-04-01,66.01065449010656
2007-05-01,53.719771241830074
2007-06-01,52.462500000000006
2007-07-01,54.54816513761469
2007-08-01,57.12403697996918
2007-09-01,66.11128048780489
2007-10-01,56.849823321554766
2007-11-01,48.78092105263158
2007-12-01,52.32032520325203
2008-01-01,47.001976284584984
2008-02-01,61.394964028776975
2008-03-01,63.51591981132076
2008-04-01,44.716894977168955
2008-05-01,43.43300653594772
2008-06-01,37.1609375
2008-07-01,51.33944954128441
2008-08-01,32.334360554699536
2008-09-01,39.453506097560975
2008-10-01,38.72379269729093
2008-11-01,27.611842105263158
2008-12-01,38.671544715447155
2009-01-01,69.1205533596838
2009-02-01,63.40791366906475
2009-03-01,49.492924528301884
2009-04-01,26.617199391171997
2009-05-01,40.00408496732027
2009-06-01,42.62578125
2009-07-01,74.87003058103977
2009-08-01,43.112480739599384
2009-09-01,37.32088414634147
2009-10-01,38.72379269729093
2009-11-01,39.57697368421053
2009-12-01,40.94634146341463
2010-01-01,46.08036890645587
2010-02-01,42.27194244604316
2010-03-01,53.61733490566038
2010-04-01,41.52283105022832
2010-05-01,34.28921568627452
2010-06-01,39.346875000000004
2010-07-01,34.226299694189606
2010-08-01,21.556240369799692
2010-09-01,23.458841463414636
2010-10-01,28.836866902237926
2010-11-01,33.13421052631579
2010-12-01,34.1219512195122
2011-01-01,35.02108036890646
2011-02-01,33.2136690647482
2011-03-01,23.096698113207548
2011-04-01,27.681887366818877
2011-05-01,26.28839869281046
2011-06-01,29.51015625
2011-07-01,27.808868501529055
2011-08-01,26.945300462249616
2011-09-01,30.92301829268293
2011-10-01,22.245583038869256
2011-11-01,28.532236842105263
2011-12-01,27.297560975609755
2012-01-01,26.726613965744402
2012-02-01,29.187769784172662
2012-03-01,27.22110849056604
2012-04-01,22.358447488584478
2012-05-01,22.85947712418301
2012-06-01,16.39453125
2012-07-01,20.32186544342508
2012-08-01,22.63405238828968
2012-09-01,25.59146341463415
2012-10-01,19.773851590106005
2012-11-01,18.407894736842106
2012-12-01,13.648780487804878
2013-01-01,21.1969696969697
2013-02-01,19.123021582733813
2013-03-01,18.972287735849058
2013-04-01,22.358447488584478
2013-05-01,20.57352941176471
2013-06-01,16.39453125
2013-07-01,19.252293577981654
