date,free samples
2004-01-01,90.98196821515893
2004-02-01,87.34540750323416
2004-03-01,89.85810810810811
2004-04-01,88.87065637065636
2004-05-01,87.5190114068441
2004-06-01,94.57924528301888
2004-07-01,93.11286407766991
2004-08-01,84.61617100371748
2004-09-01,85.25000000000001
2004-10-01,79.16071428571428
2004-11-01,87.43589743589743
2004-12-01,89.82439024390244
2005-01-01,72.22279951100245
2005-02-01,82.38260025873223
2005-03-01,77.02123552123552
2005-04-01,72.08397683397683
2005-05-01,76.8222433460076
2005-06-01,77.20754716981132
2005-07-01,72.62803398058253
2005-08-01,69.40427509293681
2005-09-01,64.43313953488372
2005-10-01,64.95238095238095
2005-11-01,63.391025641025635
2005-12-01,67.36829268292684
2006-01-01,53.46363080684596
2006-02-01,58.56112548512291
2006-03-01,63.196911196911195
2006-04-01,61.22200772200772
2006-05-01,65.15304182509506
2006-06-01,59.83584905660378
2006-07-01,65.17900485436894
2006-08-01,66.55204460966543
2006-09-01,67.40697674418605
2006-10-01,64.95238095238095
2006-11-01,63.391025641025635
2006-12-01,59.88292682926829
2007-01-01,49.71179706601467
2007-02-01,59.55368693402329
2007-03-01,55.2972972972973
2007-04-01,62.20945945945946
2007-05-01,68.07034220532319
2007-06-01,59.83584905660378
2007-07-01,54.00546116504855
2007-08-01,71.3057620817844
2007-09-01,66.41569767441861
2007-10-01,64.95238095238095
2007-11-01,60.11217948717948
2007-12-01,62.3780487804878
2008-01-01,50.649755501222494
2008-02-01,45.657826649417856
2008-03-01,53.32239382239382
2008-04-01,58.25965250965251
2008-05-01,53.48384030418251
2008-06-01,55.01037735849057
2008-07-01,57.729975728155345
2008-08-01,56.093866171003725
2008-09-01,61.459302325581405
2008-10-01,67.99702380952381
2008-11-01,72.13461538461537
2008-12-01,58.635365853658534
2009-01-01,58.15342298288508
2009-02-01,55.58344113842174
2009-03-01,60.23455598455598
2009-04-01,56.284749034749034
2009-05-01,60.29087452471482
2009-06-01,61.76603773584906
2009-07-01,60.52336165048544
2009-08-01,59.89684014869889
2009-09-01,64.43313953488372
2009-10-01,60.89285714285714
2009-11-01,59.01923076923077
2009-12-01,56.140243902439025
2010-01-01,54.40158924205379
2010-02-01,54.59087968952135
2010-03-01,53.32239382239382
2010-04-01,51.34749034749034
2010-05-01,50.56653992395437
2010-06-01,49.21981132075472
2010-07-01,41.90078883495146
2010-08-01,39.93122676579926
2010-09-01,46.590116279069775
2010-10-01,43.63988095238095
2010-11-01,44.81089743589743
2010-12-01,41.16951219512195
2011-01-01,45.02200488997555
2011-02-01,43.67270375161708
2011-03-01,43.447876447876446
2011-04-01,48.38513513513514
2011-05-01,46.67680608365019
2011-06-01,47.28962264150944
2011-07-01,44.69417475728156
2011-08-01,50.38940520446097
2011-09-01,47.58139534883721
2011-10-01,47.69940476190476
2011-11-01,43.717948717948715
2011-12-01,43.66463414634146
2012-01-01,36.580378973105134
2012-02-01,35.73221216041398
2012-03-01,36.535714285714285
2012-04-01,38.51061776061776
2012-05-01,35.98003802281369
2012-06-01,37.63867924528302
2012-07-01,38.17627427184466
2012-08-01,37.07899628252788
2012-09-01,39.651162790697676
2012-10-01,45.669642857142854
2012-11-01,39.34615384615384
2012-12-01,39.921951219512195
2013-01-01,36.580378973105134
2013-02-01,34.73965071151359
2013-03-01,35.54826254826255
2013-04-01,33.57335907335907
2013-05-01,33.06273764258555
2013-06-01,32.81320754716981
2013-07-01,34.45175970873787
2013-08-01,32.325278810408925
2013-09-01,33.70348837209303
2013-10-01,34.50595238095238
2013-11-01,37.16025641025641
2013-12-01,37.426829268292686
2014-01-01,33.766503667481665
2014-02-01,32.75452781371281
2014-03-01,30.61100386100386
2014-04-01,29.623552123552123
2014-05-01,28.20057034220532
2014-06-01,30.88301886792453
2014-07-01,33.52063106796117
2014-08-01,31.374535315985135
2014-09-01,28.747093023255818
2014-10-01,28.416666666666664
2014-11-01,28.416666666666664
2014-12-01,29.941463414634146
2015-01-01,29.07671149144254
2015-02-01,27.79172056921087
2015-03-01,26.66119691119691
2015-04-01,26.66119691119691
2015-05-01,25.283269961977187
2015-06-01,26.057547169811322
2015-07-01,29.79611650485437
2015-08-01,31.374535315985135
2015-09-01,28.747093023255818
2015-10-01,28.416666666666664
2015-11-01,27.323717948717945
