date,meal planning
2004-01-01,64.88277363184079
2004-02-01,53.25802364864865
2004-03-01,47.98817106460419
2004-04-01,57.789378937893794
2004-05-01,74.65581395348838
2004-06-01,60.57396733909702
2004-07-01,50.47484276729559
2004-08-01,58.889245585874804
2004-09-01,64.60513036164845
2004-10-01,53.57476635514019
2004-11-01,64.19499017681729
2004-12-01,60.52241035856575
2005-01-01,51.33582089552239
2005-02-01,59.06798986486487
2005-03-01,51.117834394904456
2005-04-01,55.725472547254725
2005-05-01,59.72465116279071
2005-06-01,57.26993275696446
2005-07-01,53.56513926325247
2005-08-01,56.12881219903692
2005-09-01,50.14129520605551
2005-10-01,52.50327102803739
2005-11-01,69.82612966601178
2005-12-01,53.67081673306774
2006-01-01,53.47481343283582
2006-02-01,49.38471283783784
2006-03-01,45.901728844404005
2006-04-01,47.46984698469847
2006-05-01,45.86000000000001
2006-06-01,45.155139289145055
2006-07-01,50.47484276729559
2006-08-01,46.00722311396469
2006-09-01,47.24852817493692
2006-10-01,61.075233644859814
2006-11-01,54.05893909626719
2006-12-01,46.81922310756973
2007-01-01,46.34483830845771
2007-02-01,47.448057432432435
2007-03-01,51.117834394904456
2007-04-01,42.31008100810081
2007-05-01,45.86000000000001
2007-06-01,47.35782901056676
2007-07-01,49.44474393530997
2007-08-01,44.166934189406106
2007-09-01,49.177039529015985
2007-10-01,53.57476635514019
2007-11-01,51.80648330058939
2007-12-01,47.96115537848606
2008-01-01,37.78886815920398
2008-02-01,42.60641891891892
2008-03-01,53.20427661510464
2008-04-01,52.62961296129613
2008-05-01,50.12604651162791
2008-06-01,47.35782901056676
2008-07-01,48.41464510332435
2008-08-01,51.528089887640455
2008-09-01,51.10555088309504
2008-10-01,48.21728971962617
2008-11-01,51.80648330058939
2008-12-01,51.38695219123507
2009-01-01,47.05783582089552
2009-02-01,50.35304054054054
2009-03-01,55.29071883530482
2009-04-01,48.501800180018
2009-05-01,49.059534883720936
2009-06-01,50.661863592699326
2009-07-01,50.47484276729559
2009-08-01,51.528089887640455
2009-09-01,51.10555088309504
2009-10-01,52.50327102803739
2009-11-01,49.55402750491159
2009-12-01,46.81922310756973
2010-01-01,47.770833333333336
2010-02-01,46.47972972972973
2010-03-01,51.117834394904456
2010-04-01,47.46984698469847
2010-05-01,44.79348837209303
2010-06-01,45.155139289145055
2010-07-01,33.993261455525605
2010-08-01,39.56621187800963
2010-09-01,37.605971404541634
2010-10-01,42.859813084112155
2010-11-01,39.41797642436149
2010-12-01,38.825697211155386
2011-01-01,47.05783582089552
2011-02-01,52.28969594594595
2011-03-01,41.72884440400364
2011-04-01,45.40594059405941
2011-05-01,46.92651162790698
2011-06-01,49.56051873198847
2011-07-01,41.20395327942497
2011-08-01,42.326645264847514
2011-09-01,47.24852817493692
2011-10-01,49.288785046728975
2011-11-01,47.30157170923379
2011-12-01,39.96762948207172
2012-01-01,44.20584577114428
2012-02-01,44.54307432432432
2012-03-01,40.68562329390355
2012-04-01,43.34203420342035
2012-05-01,41.593953488372094
2012-06-01,44.053794428434195
2012-07-01,46.354447439353095
2012-08-01,46.00722311396469
2012-09-01,53.0340622371741
2012-10-01,49.288785046728975
2012-11-01,47.30157170923379
2012-12-01,42.25149402390439
2013-01-01,49.196828358208954
2013-02-01,53.25802364864865
2013-03-01,50.07461328480437
2013-04-01,51.5976597659766
2013-05-01,51.19255813953489
2013-06-01,55.067243035542745
2013-07-01,52.53504043126684
2013-08-01,52.448234349919744
2013-09-01,53.0340622371741
2013-10-01,53.57476635514019
2013-11-01,55.18516699410609
2013-12-01,52.5288844621514
2014-01-01,57.752798507462686
2014-02-01,56.16300675675676
2014-03-01,66.76615104640582
2014-04-01,59.853285328532856
2014-05-01,60.79116279069768
2014-06-01,67.18203650336216
2014-07-01,72.1069182389937
2014-08-01,66.25040128410916
2014-09-01,67.49789739276703
2014-10-01,58.93224299065421
2014-11-01,58.56385068762279
2014-12-01,60.52241035856575
2015-01-01,67.02176616915423
2015-02-01,65.84628378378379
2015-03-01,75.11191992720656
2015-04-01,71.2047704770477
2015-05-01,70.38976744186047
2015-06-01,69.38472622478386
2015-07-01,74.16711590296495
2015-08-01,74.5317014446228
2015-09-01,71.35492010092516
2015-10-01,65.36121495327103
2015-11-01,65.32121807465619
2015-12-01,65.09013944223109
2016-01-01,71.29975124378109
2016-02-01,73.5929054054054
2016-03-01,66.76615104640582
2016-04-01,70.17281728172817
2016-05-01,63.99069767441861
2016-06-01,63.87800192122958
2016-07-01,62.83602875112309
2016-08-01,63.48996789727127
2016-09-01,58.81959629941127
2016-10-01,60.00373831775701
2016-11-01,50.68025540275049
2016-12-01,58.23854581673308
2017-01-01,64.88277363184079
2017-02-01,65.84628378378379
2017-03-01,65.72292993630573
2017-04-01,67.07695769576958
2017-05-01,62.924186046511636
2017-06-01,60.57396733909702
2017-07-01,62.83602875112309
2017-08-01,61.649678972712685
2017-09-01,58.81959629941127
2017-10-01,61.075233644859814
2017-11-01,58.56385068762279
2017-12-01,65.09013944223109
2018-01-01,64.88277363184079
2018-02-01,61.004645270270274
2018-03-01,63.63648771610555
2018-04-01,66.04500450045005
2018-05-01,59.72465116279071
2018-06-01,58.37127761767531
2018-07-01,61.80592991913746
2018-08-01,58.889245585874804
2018-09-01,54.96257359125316
2018-10-01,56.789252336448605
2018-11-01,51.80648330058939
