date,pawn shop
2004-01-01,10.260220125786164
2004-02-01,9.521643968871595
2004-03-01,8.631613756613756
2004-04-01,8.471924699772801
2004-05-01,10.070216049382717
2004-06-01,7.461978273299028
2004-07-01,8.856541802388708
2004-08-01,8.482019064124783
2004-09-01,9.105348837209302
2004-10-01,8.65737976782753
2004-11-01,9.384707574304892
2004-12-01,8.31627017841971
2005-01-01,10.260220125786164
2005-02-01,10.579604409857328
2005-03-01,10.789517195767196
2005-04-01,10.589905874716
2005-05-01,10.070216049382717
2005-06-01,9.327472841623784
2005-07-01,9.742195982627578
2005-08-01,10.366912189485847
2005-09-01,11.128759689922482
2005-10-01,10.821724709784412
2005-11-01,10.427452860338768
2005-12-01,11.088360237892948
2006-01-01,11.28624213836478
2006-02-01,11.637564850843061
2006-03-01,10.789517195767196
2006-04-01,10.589905874716
2006-05-01,10.070216049382717
2006-06-01,11.192967409948542
2006-07-01,10.62785016286645
2006-08-01,11.309358752166379
2006-09-01,10.117054263565892
2006-10-01,10.821724709784412
2006-11-01,11.470198146372645
2006-12-01,12.01239025771736
2007-01-01,11.28624213836478
2007-02-01,11.637564850843061
2007-03-01,12.947420634920634
2007-04-01,11.6488964621876
2007-05-01,12.084259259259259
2007-06-01,12.12571469411092
2007-07-01,13.28481270358306
2007-08-01,13.19425187752744
2007-09-01,14.163875968992249
2007-10-01,14.068242122719736
2007-11-01,14.598434004474276
2007-12-01,15.70851033701501
2008-01-01,14.364308176100629
2008-02-01,14.81144617380026
2008-03-01,16.184275793650794
2008-04-01,15.884858812074002
2008-05-01,15.105324074074074
2008-06-01,15.856703830760434
2008-07-01,15.941775244299674
2008-08-01,16.964038128249566
2008-09-01,16.187286821705428
2008-10-01,18.396932006633502
2008-11-01,20.854905720677536
2008-12-01,21.252690455961485
2009-01-01,19.49441823899371
2009-02-01,22.217169260700388
2009-03-01,20.50008267195767
2009-04-01,19.061830574488802
2009-05-01,20.140432098765434
2009-06-01,20.520440251572328
2009-07-01,20.370046145494026
2009-08-01,22.618717504332757
2009-09-01,23.269224806201553
2009-10-01,23.80779436152571
2009-11-01,23.98314157877917
2009-12-01,30.492990654205606
2010-01-01,27.702594339622642
