date,budget planner
2004-01-01,33.37886178861788
2004-02-01,32.01247563352826
2004-03-01,23.418513689700127
2004-04-01,34.78915381019168
2004-05-01,30.09291835814163
2004-06-01,23.55110554860242
2004-07-01,34.442953020134226
2004-08-01,29.192263936291237
2004-09-01,28.242138364779873
2004-10-01,25.18773006134969
2004-11-01,25.253744116388532
2004-12-01,21.699788583509513
2005-01-01,29.90189701897019
2005-02-01,32.01247563352826
2005-03-01,36.80052151238591
2005-04-01,29.990649836372135
2005-05-01,33.565178168696434
2005-06-01,34.25615352523988
2005-07-01,30.615958240119312
2005-08-01,29.192263936291237
2005-09-01,41.35455974842767
2005-10-01,29.38568507157464
2005-11-01,19.76379974326059
2005-12-01,19.891472868217054
2006-01-01,20.16639566395664
2006-02-01,37.01442495126705
2006-03-01,33.45501955671447
2006-04-01,29.990649836372135
2006-05-01,34.72259810554804
2006-06-01,32.11514392991239
2006-07-01,28.702460850111855
2006-08-01,36.97686765263557
2006-09-01,30.259433962264147
2006-10-01,35.68261758691206
2006-11-01,29.645699614890887
2006-12-01,20.795630725863283
2007-01-01,27.12032520325203
2007-02-01,32.01247563352826
2007-03-01,34.57018687527162
2007-04-01,26.39177185600748
2007-05-01,35.880018042399634
2007-06-01,36.39716312056737
2007-07-01,34.442953020134226
2007-08-01,31.13841486537732
2007-09-01,31.268081761006286
2007-10-01,35.68261758691206
2007-11-01,29.645699614890887
2007-12-01,29.83720930232558
2008-01-01,31.988075880758807
2008-02-01,28.01091617933723
2008-03-01,35.685354193828765
2008-04-01,32.3899018232819
2008-05-01,27.778078484438428
2008-06-01,37.46766791823112
2008-07-01,34.442953020134226
2008-08-01,33.0845657944634
2008-09-01,59.510220125786155
2008-10-01,72.41472392638036
2008-11-01,75.7612323491656
2008-12-01,68.71599718111345
2009-01-01,69.53929539295393
2009-02-01,77.03001949317738
2009-03-01,74.71621034332898
2009-04-01,62.38055165965404
2009-05-01,71.76003608479927
2009-06-01,86.71088861076345
2009-07-01,78.45339299030573
2009-08-01,84.65756541524459
2009-09-01,73.6312893081761
2009-10-01,74.51370143149283
2009-11-01,68.07531022678648
2009-12-01,54.24947145877378
2010-01-01,69.53929539295393
