date,discount apps
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,3.128571428571429
2008-11-01,4.659574468085106
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,4.8344370860927155
2009-03-01,3.5784313725490193
2009-04-01,3.6499999999999995
2009-05-01,4.965986394557823
2009-06-01,6.257142857142858
2009-07-01,4.304245283018868
2009-08-01,5.615384615384615
2009-09-01,3.0586592178770946
2009-10-01,5.214285714285714
2009-11-01,5.4361702127659575
2009-12-01,6.317307692307692
2010-01-01,8.085443037974683
2010-02-01,6.043046357615895
2010-03-01,5.9640522875816995
2010-04-01,9.733333333333333
2010-05-01,8.69047619047619
2010-06-01,8.342857142857143
2010-07-01,7.7476415094339615
2010-08-01,7.487179487179487
2010-09-01,7.136871508379888
2010-10-01,7.300000000000001
2010-11-01,4.659574468085106
2010-12-01,7.019230769230768
2011-01-01,11.550632911392405
2011-02-01,12.08609271523179
2011-03-01,13.120915032679738
2011-04-01,12.166666666666666
2011-05-01,11.173469387755102
2011-06-01,9.385714285714286
2011-07-01,9.46933962264151
2011-08-01,8.423076923076923
2011-09-01,8.156424581005586
2011-10-01,7.300000000000001
2011-11-01,9.319148936170212
2011-12-01,8.423076923076923
2012-01-01,11.550632911392405
2012-02-01,10.87748344370861
2012-03-01,9.542483660130719
2012-04-01,8.516666666666666
2012-05-01,8.69047619047619
2012-06-01,9.385714285714286
2012-07-01,8.608490566037736
2012-08-01,8.423076923076923
2012-09-01,8.156424581005586
2012-10-01,10.428571428571429
2012-11-01,7.76595744680851
2012-12-01,7.721153846153846
2013-01-01,10.395569620253164
2013-02-01,8.460264900662253
2013-03-01,10.735294117647058
2013-04-01,9.733333333333333
2013-05-01,8.69047619047619
2013-06-01,8.342857142857143
2013-07-01,7.7476415094339615
2013-08-01,8.423076923076923
2013-09-01,8.156424581005586
2013-10-01,7.300000000000001
2013-11-01,7.76595744680851
2013-12-01,7.019230769230768
2014-01-01,10.395569620253164
2014-02-01,8.460264900662253
2014-03-01,9.542483660130719
2014-04-01,10.95
2014-05-01,11.173469387755102
2014-06-01,10.428571428571429
2014-07-01,8.608490566037736
2014-08-01,8.423076923076923
2014-09-01,9.175977653631284
2014-10-01,8.342857142857143
2014-11-01,7.76595744680851
2014-12-01,7.019230769230768
2015-01-01,9.240506329113924
2015-02-01,8.460264900662253
2015-03-01,11.928104575163399
2015-04-01,9.733333333333333
2015-05-01,8.69047619047619
2015-06-01,9.385714285714286
2015-07-01,8.608490566037736
2015-08-01,8.423076923076923
2015-09-01,10.195530726256983
2015-10-01,9.385714285714286
2015-11-01,6.989361702127659
2015-12-01,7.019230769230768
2016-01-01,10.395569620253164
2016-02-01,10.87748344370861
2016-03-01,10.735294117647058
2016-04-01,9.733333333333333
2016-05-01,9.931972789115646
2016-06-01,8.342857142857143
2016-07-01,8.608490566037736
2016-08-01,7.487179487179487
2016-09-01,9.175977653631284
2016-10-01,10.428571428571429
2016-11-01,8.542553191489361
2016-12-01,7.019230769230768
2017-01-01,11.550632911392405
2017-02-01,13.294701986754967
2017-03-01,10.735294117647058
2017-04-01,12.166666666666666
2017-05-01,11.173469387755102
2017-06-01,9.385714285714286
2017-07-01,9.46933962264151
2017-08-01,9.35897435897436
2017-09-01,9.175977653631284
2017-10-01,9.385714285714286
2017-11-01,8.542553191489361
2017-12-01,6.317307692307692
2018-01-01,10.395569620253164
2018-02-01,13.294701986754967
2018-03-01,10.735294117647058
2018-04-01,10.95
2018-05-01,11.173469387755102
2018-06-01,10.428571428571429
2018-07-01,9.46933962264151
2018-08-01,11.23076923076923
2018-09-01,11.21508379888268
2018-10-01,9.385714285714286
2018-11-01,9.319148936170212
2018-12-01,7.019230769230768
2019-01-01,10.395569620253164
2019-02-01,9.668874172185431
2019-03-01,9.542483660130719
2019-04-01,10.95
2019-05-01,9.931972789115646
2019-06-01,10.428571428571429
2019-07-01,10.330188679245282
2019-08-01,10.294871794871796
2019-09-01,10.195530726256983
2019-10-01,8.342857142857143
2019-11-01,8.542553191489361
2019-12-01,7.019230769230768
2020-01-01,12.705696202531644
2020-02-01,12.08609271523179
2020-03-01,10.735294117647058
2020-04-01,12.166666666666666
2020-05-01,12.414965986394558
2020-06-01,10.428571428571429
2020-07-01,8.608490566037736
2020-08-01,10.294871794871796
2020-09-01,9.175977653631284
2020-10-01,8.342857142857143
2020-11-01,7.76595744680851
2020-12-01,6.317307692307692
2021-01-01,11.550632911392405
2021-02-01,10.87748344370861
2021-03-01,10.735294117647058
2021-04-01,9.733333333333333
2021-05-01,9.931972789115646
2021-06-01,8.342857142857143
2021-07-01,7.7476415094339615
2021-08-01,8.423076923076923
2021-09-01,9.175977653631284
2021-10-01,8.342857142857143
2021-11-01,7.76595744680851
2021-12-01,5.615384615384615
2022-01-01,13.860759493670885
2022-02-01,13.294701986754967
2022-03-01,13.120915032679738
2022-04-01,13.383333333333333
2022-05-01,11.173469387755102
2022-06-01,12.514285714285716
2022-07-01,11.191037735849056
2022-08-01,11.23076923076923
2022-09-01,11.21508379888268
2022-10-01,11.471428571428572
2022-11-01,7.76595744680851
2022-12-01,7.721153846153846
2023-01-01,13.860759493670885
2023-02-01,13.294701986754967
2023-03-01,13.120915032679738
2023-04-01,12.166666666666666
2023-05-01,12.414965986394558
2023-06-01,13.557142857142859
2023-07-01,10.330188679245282
2023-08-01,11.23076923076923
2023-09-01,10.195530726256983
2023-10-01,9.385714285714286
2023-11-01,9.319148936170212
2023-12-01,7.019230769230768
2024-01-01,12.705696202531644
2024-02-01,12.08609271523179
2024-03-01,13.120915032679738
2024-04-01,10.95
2024-05-01,13.656462585034014
2024-06-01,11.471428571428572
2024-07-01,10.330188679245282
2024-08-01,11.23076923076923
2024-09-01,11.21508379888268
2024-10-01,10.428571428571429
2024-11-01,10.095744680851062
2024-12-01,7.721153846153846
2025-01-01,13.860759493670885
2025-02-01,14.503311258278146
2025-03-01,15.506535947712418
2025-04-01,15.816666666666665
2025-05-01,18.622448979591837
2025-06-01,26.071428571428573
2025-07-01,41.32075471698113
2025-08-01,36.5
2025-09-01,37.72346368715083
2025-10-01,38.58571428571429
2025-11-01,50.47872340425532
2025-12-01,70.1923076923077
