date,generic products
2004-01-01,0.0
2004-02-01,40.39414414414414
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,52.69895984518626
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,38.81006006006006
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,35.52188552188552
2005-12-01,0.0
2006-01-01,33.178985507246374
2006-02-01,28.513513513513512
2006-03-01,24.65611645299145
2006-04-01,24.061403508771928
2006-05-01,30.82397812320092
2006-06-01,32.88486005089059
2006-07-01,0.0
2006-08-01,39.38666666666667
2006-09-01,34.83490566037736
2006-10-01,23.908273381294965
2006-11-01,23.089225589225588
2006-12-01,25.595991561181435
2007-01-01,40.67101449275362
2007-02-01,16.632882882882882
2007-03-01,18.738648504273502
2007-04-01,33.31578947368421
2007-05-01,35.075561312607945
2007-06-01,32.88486005089059
2007-07-01,44.560502283105016
2007-08-01,52.92583333333334
2007-09-01,30.368892114175132
2007-10-01,29.221223021582734
2007-11-01,37.29797979797979
2007-12-01,28.934599156118143
2008-01-01,32.108695652173914
2008-02-01,21.385135135135133
2008-03-01,28.601095085470085
2008-04-01,24.986842105263158
2008-05-01,29.761082325849166
2008-06-01,30.535941475826974
2008-07-01,39.7431506849315
2008-08-01,30.770833333333336
2008-09-01,24.116473149492016
2008-10-01,23.022781774580338
2008-11-01,30.193602693602692
2008-12-01,31.160337552742618
2009-01-01,37.460144927536234
2009-02-01,24.553303303303302
2009-03-01,34.518563034188034
2009-04-01,32.39035087719298
2009-05-01,35.075561312607945
2009-06-01,37.582697201017815
2009-07-01,36.130136986301366
2009-08-01,27.078333333333337
2009-09-01,28.582486695694243
2009-10-01,26.56474820143885
2009-11-01,27.529461279461277
2009-12-01,24.4831223628692
2010-01-01,33.178985507246374
2010-02-01,21.385135135135133
2010-03-01,33.532318376068375
2010-04-01,30.539473684210527
2010-05-01,39.32714450201497
2010-06-01,35.2337786259542
2010-07-01,36.130136986301366
2010-08-01,30.770833333333336
2010-09-01,25.009675858732464
2010-10-01,24.793764988009592
2010-11-01,18.648989898989896
2010-12-01,21.14451476793249
2011-01-01,32.108695652173914
2011-02-01,29.305555555555554
2011-03-01,28.601095085470085
2011-04-01,25.912280701754387
2011-05-01,34.01266551525619
2011-06-01,32.88486005089059
2011-07-01,32.51712328767123
2011-08-01,27.078333333333337
2011-09-01,25.009675858732464
2011-10-01,28.335731414868107
2011-11-01,19.537037037037035
2011-12-01,30.04746835443038
2012-01-01,32.108695652173914
2012-02-01,25.345345345345343
2012-03-01,23.669871794871796
2012-04-01,24.986842105263158
2012-05-01,28.69818652849741
2012-06-01,23.489185750636135
2012-07-01,34.92579908675799
2012-08-01,29.540000000000003
2012-09-01,21.436865021770682
2012-10-01,26.56474820143885
2012-11-01,27.529461279461277
2012-12-01,30.04746835443038
2013-01-01,26.757246376811594
2013-02-01,20.593093093093092
2013-03-01,23.669871794871796
2013-04-01,30.539473684210527
2013-05-01,24.446603339090384
2013-06-01,28.18702290076336
2013-07-01,27.699771689497716
2013-08-01,30.770833333333336
2013-09-01,23.22327044025157
2013-10-01,25.679256594724222
2013-11-01,26.64141414141414
2013-12-01,27.821729957805907
2014-01-01,25.68695652173913
2014-02-01,23.76126126126126
2014-03-01,22.683627136752136
2014-04-01,23.135964912280702
2014-05-01,26.5723949337939
2014-06-01,22.31472646310433
2014-07-01,24.08675799086758
2014-08-01,22.155
2014-09-01,21.436865021770682
2014-10-01,24.793764988009592
2014-11-01,20.425084175084173
2014-12-01,23.370253164556964
2015-01-01,25.68695652173913
2015-02-01,21.385135135135133
2015-03-01,26.62860576923077
2015-04-01,24.061403508771928
2015-05-01,23.38370754173863
2015-06-01,27.012563613231556
2015-07-01,24.08675799086758
2015-08-01,24.616666666666667
2015-09-01,24.116473149492016
2015-10-01,25.679256594724222
2015-11-01,23.089225589225588
2015-12-01,27.821729957805907
2016-01-01,23.546376811594204
2016-02-01,27.72147147147147
2016-03-01,30.5735844017094
2016-04-01,31.464912280701753
2016-05-01,23.38370754173863
2016-06-01,27.012563613231556
2016-07-01,27.699771689497716
2016-08-01,25.847500000000004
2016-09-01,23.22327044025157
2016-10-01,18.595323741007196
2016-11-01,23.977272727272727
2016-12-01,25.595991561181435
2017-01-01,26.757246376811594
2017-02-01,25.345345345345343
2017-03-01,31.55982905982906
2017-04-01,30.539473684210527
2017-05-01,31.886873920552677
2017-06-01,23.489185750636135
2017-07-01,34.92579908675799
2017-08-01,30.770833333333336
2017-09-01,24.116473149492016
2017-10-01,22.137290167865707
2017-11-01,29.305555555555554
2017-12-01,30.04746835443038
2018-01-01,29.968115942028987
2018-02-01,28.513513513513512
2018-03-01,28.601095085470085
2018-04-01,29.614035087719298
2018-05-01,28.69818652849741
2018-06-01,28.18702290076336
2018-07-01,24.08675799086758
2018-08-01,23.385833333333334
2018-09-01,24.116473149492016
2018-10-01,25.679256594724222
2018-11-01,28.417508417508415
2018-12-01,28.934599156118143
2019-01-01,31.03840579710145
2019-02-01,26.137387387387385
2019-03-01,28.601095085470085
2019-04-01,24.986842105263158
2019-05-01,28.69818652849741
2019-06-01,28.18702290076336
2019-07-01,25.291095890410958
2019-08-01,22.155
2019-09-01,22.330067731011127
2019-10-01,28.335731414868107
2019-11-01,26.64141414141414
2019-12-01,27.821729957805907
2020-01-01,27.827536231884057
2020-02-01,26.137387387387385
2020-03-01,28.601095085470085
2020-04-01,28.68859649122807
2020-05-01,27.635290731145652
2020-06-01,27.012563613231556
2020-07-01,28.90410958904109
