date,home repair DIY
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,71.88605803255484
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,45.083106884057976
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,37.96237373737374
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,40.7554012345679
2006-05-01,0.0
2006-06-01,29.473283793347488
2006-07-01,38.62479773462783
2006-08-01,32.45487910189983
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,56.2311542991755
2006-12-01,36.978384527872585
2007-01-01,0.0
2007-02-01,43.53214285714286
2007-03-01,0.0
2007-04-01,29.26028806584362
2007-05-01,28.296589817483188
2007-06-01,23.00353857041755
2007-07-01,0.0
2007-08-01,20.174654576856646
2007-09-01,38.642663043478265
2007-10-01,28.39731182795699
2007-11-01,0.0
2007-12-01,35.82281001137657
2008-01-01,24.624242424242425
2008-02-01,32.64910714285715
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,36.10254562920269
2008-06-01,16.533793347487613
2008-07-01,20.545105177993527
2008-08-01,21.928972366148532
2008-09-01,0.0
2008-10-01,32.766129032258064
2008-11-01,0.0
2008-12-01,23.111490329920365
2009-01-01,32.83232323232323
2009-02-01,25.39375
2009-03-01,45.7545045045045
2009-04-01,20.900205761316872
2009-05-01,16.58765609990394
2009-06-01,15.096072186836517
2009-07-01,22.18871359223301
2009-08-01,23.683290155440414
2009-09-01,20.241394927536234
2009-10-01,20.75188172043011
2009-11-01,22.731743227326266
2009-12-01,0.0
2010-01-01,18.46818181818182
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,14.63014403292181
2010-05-01,14.636167146974064
2010-06-01,0.0
2010-07-01,10.683454692556634
2010-08-01,14.03454231433506
2010-09-01,10.120697463768117
2010-10-01,15.290860215053765
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,12.312121212121212
2011-02-01,21.76607142857143
2011-03-01,22.223616473616474
2011-04-01,11.49511316872428
2011-05-01,18.539145052833813
2011-06-01,11.501769285208775
2011-07-01,17.257888349514563
2011-08-01,18.420336787564764
2011-09-01,17.48120471014493
2011-10-01,15.290860215053765
2011-11-01,17.94611307420495
2011-12-01,18.489192263936292
2012-01-01,18.46818181818182
2012-02-01,14.510714285714286
2012-03-01,18.3018018018018
2012-04-01,10.450102880658436
2012-05-01,11.708933717579251
2012-06-01,13.65835102618542
2012-07-01,16.436084142394822
2012-08-01,11.403065630397236
2012-09-01,13.800951086956523
2012-10-01,15.290860215053765
2012-11-01,16.74970553592462
2012-12-01,11.555745164960182
2013-01-01,13.338131313131314
2013-02-01,13.301488095238096
2013-03-01,19.609073359073356
2013-04-01,12.540123456790123
2013-05-01,20.490634005763688
2013-06-01,11.501769285208775
2013-07-01,20.545105177993527
2013-08-01,17.543177892918823
2013-09-01,13.800951086956523
2013-10-01,15.290860215053765
2013-11-01,17.94611307420495
2013-12-01,16.178043230944255
2014-01-01,17.442171717171718
2014-02-01,12.092261904761905
2014-03-01,22.223616473616474
2014-04-01,19.85519547325103
2014-05-01,16.58765609990394
2014-06-01,17.252653927813164
2014-07-01,19.723300970873787
2014-08-01,25.437607944732296
2014-09-01,11.96082427536232
2014-10-01,16.383064516129032
2014-11-01,11.964075382803298
2014-12-01,15.022468714448237
2015-01-01,15.390151515151516
2015-02-01,15.719940476190477
2015-03-01,31.374517374517374
2015-04-01,17.76517489711934
2015-05-01,15.611911623439001
2015-06-01,10.782908704883226
2015-07-01,12.327063106796118
2015-08-01,14.911701208981
2015-09-01,15.641077898550726
2015-10-01,18.567473118279572
2015-11-01,22.731743227326266
2015-12-01,16.178043230944255
2016-01-01,17.442171717171718
2016-02-01,15.719940476190477
2016-03-01,15.687258687258687
2016-04-01,17.76517489711934
2016-05-01,17.563400576368878
2016-06-01,12.220629865534324
2016-07-01,13.148867313915858
2016-08-01,10.525906735751295
2016-09-01,19.321331521739133
2016-10-01,21.844086021505376
2016-11-01,14.356890459363958
2016-12-01,16.178043230944255
2017-01-01,18.46818181818182
2017-02-01,26.60297619047619
2017-03-01,19.609073359073356
2017-04-01,18.810185185185183
2017-05-01,15.611911623439001
2017-06-01,12.220629865534324
2017-07-01,18.901496763754047
2017-08-01,13.157383419689118
2017-09-01,18.40126811594203
2017-10-01,18.567473118279572
2017-11-01,14.356890459363958
2017-12-01,19.64476678043231
2018-01-01,16.416161616161617
2018-02-01,13.301488095238096
2018-03-01,22.223616473616474
2018-04-01,19.85519547325103
2018-05-01,20.490634005763688
2018-06-01,15.814932767162066
2018-07-01,20.545105177993527
2018-08-01,13.157383419689118
2018-09-01,13.800951086956523
2018-10-01,18.567473118279572
2018-11-01,23.928150765606595
2018-12-01,12.711319681456201
2019-01-01,11.286111111111111
2019-02-01,14.510714285714286
2019-03-01,15.687258687258687
2019-04-01,15.675154320987655
2019-05-01,19.514889529298753
2019-06-01,15.096072186836517
2019-07-01,14.79247572815534
2019-08-01,16.666018998272882
2019-09-01,14.721014492753625
2019-10-01,16.383064516129032
2019-11-01,15.553297997644288
2019-12-01,12.711319681456201
2020-01-01,12.312121212121212
2020-02-01,16.929166666666667
2020-03-01,18.3018018018018
2020-04-01,19.85519547325103
2020-05-01,21.466378482228627
2020-06-01,15.096072186836517
2020-07-01,16.436084142394822
2020-08-01,11.403065630397236
2020-09-01,13.800951086956523
2020-10-01,15.290860215053765
2020-11-01,17.94611307420495
2020-12-01,16.178043230944255
2021-01-01,17.442171717171718
2021-02-01,12.092261904761905
2021-03-01,18.3018018018018
2021-04-01,15.675154320987655
2021-05-01,13.660422670509126
2021-06-01,9.34518754423213
2021-07-01,13.148867313915858
2021-08-01,10.525906735751295
2021-09-01,8.280570652173914
2021-10-01,6.553225806451613
2021-11-01,15.553297997644288
2021-12-01,12.711319681456201
2022-01-01,18.46818181818182
2022-02-01,15.719940476190477
2022-03-01,20.916344916344915
2022-04-01,14.63014403292181
2022-05-01,13.660422670509126
2022-06-01,8.626326963906582
2022-07-01,14.79247572815534
2022-08-01,13.157383419689118
2022-09-01,13.800951086956523
2022-10-01,10.922043010752688
2022-11-01,11.964075382803298
2022-12-01,13.86689419795222
2023-01-01,12.312121212121212
2023-02-01,15.719940476190477
2023-03-01,16.994530244530242
2023-04-01,12.540123456790123
2023-05-01,9.757444764649376
2023-06-01,10.782908704883226
2023-07-01,15.614279935275082
2023-08-01,13.157383419689118
2023-09-01,11.96082427536232
2023-10-01,9.82983870967742
2023-11-01,14.356890459363958
2023-12-01,15.022468714448237
2024-01-01,10.26010101010101
2024-02-01,13.301488095238096
2024-03-01,14.379987129987128
2024-04-01,13.585133744855966
2024-05-01,15.611911623439001
2024-06-01,10.064048124557678
2024-07-01,12.327063106796118
2024-08-01,14.03454231433506
2024-09-01,15.641077898550726
2024-10-01,17.475268817204302
2024-11-01,15.553297997644288
2024-12-01,11.555745164960182
2025-01-01,13.338131313131314
2025-02-01,15.719940476190477
2025-03-01,16.994530244530242
2025-04-01,12.540123456790123
2025-05-01,12.684678194044189
2025-06-01,8.626326963906582
2025-07-01,20.545105177993527
2025-08-01,22.806131260794473
2025-09-01,22.081521739130437
2025-10-01,25.120698924731183
2025-11-01,28.713780918727917
2025-12-01,34.66723549488055
