date,bike to work
2004-01-01,0.0
2004-02-01,13.016152716593245
2004-03-01,17.46846846846847
2004-04-01,18.50224791265254
2004-05-01,24.351648351648358
2004-06-01,19.178112786152987
2004-07-01,12.043478260869566
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,9.762114537444933
2005-03-01,9.981981981981983
2005-04-01,15.65574823378292
2005-05-01,17.973835688121405
2005-06-01,16.7035175879397
2005-07-01,8.028985507246379
2005-08-01,9.389830508474578
2005-09-01,13.966386554621849
2005-10-01,7.034920634920636
2005-11-01,0.0
2005-12-01,6.05464480874317
2006-01-01,11.481865284974093
2006-02-01,9.762114537444933
2006-03-01,11.229729729729732
2006-04-01,17.07899807321773
2006-05-01,20.582940868655157
2006-06-01,16.7035175879397
2006-07-01,9.367149758454108
2006-08-01,10.954802259887007
2006-09-01,6.207282913165266
2006-10-01,7.034920634920636
2006-11-01,8.072859744990893
2006-12-01,0.0
2007-01-01,11.481865284974093
2007-02-01,11.38913362701909
2007-03-01,11.229729729729732
2007-04-01,17.07899807321773
2007-05-01,23.481946624803772
2007-06-01,18.559463986599667
2007-07-01,12.043478260869566
2007-08-01,7.824858757062147
2007-09-01,10.862745098039216
2007-10-01,8.793650793650794
2007-11-01,10.091074681238617
2007-12-01,8.072859744990893
2008-01-01,13.395509499136441
2008-02-01,11.38913362701909
2008-03-01,17.46846846846847
2008-04-01,24.195247270391782
2008-05-01,28.99005756148614
2008-06-01,25.36460078168621
2008-07-01,22.748792270531403
2008-08-01,15.649717514124294
2008-09-01,12.414565826330533
2008-10-01,15.828571428571431
2008-11-01,12.10928961748634
2008-12-01,12.10928961748634
2009-01-01,17.22279792746114
2009-02-01,13.016152716593245
2009-03-01,19.963963963963966
2009-04-01,24.195247270391782
2009-05-01,25.22135007849294
2009-06-01,24.127303182579567
2009-07-01,17.396135265700487
2009-08-01,15.649717514124294
2009-09-01,13.966386554621849
2009-10-01,12.311111111111112
2009-11-01,14.127504553734063
2009-12-01,10.091074681238617
2010-01-01,13.395509499136441
2010-02-01,16.270190895741557
2010-03-01,18.716216216216218
2010-04-01,22.060372511239567
2010-05-01,28.410256410256416
2010-06-01,21.652707984366277
2010-07-01,13.381642512077295
2010-08-01,14.084745762711865
2010-09-01,13.966386554621849
2010-10-01,15.828571428571431
2010-11-01,12.10928961748634
2010-12-01,12.10928961748634
2011-01-01,19.13644214162349
2011-02-01,16.270190895741557
2011-03-01,18.716216216216218
2011-04-01,17.790622992935134
2011-05-01,22.612244897959187
2011-06-01,21.652707984366277
2011-07-01,17.396135265700487
2011-08-01,17.214689265536723
2011-09-01,15.518207282913165
2011-10-01,15.828571428571431
2011-11-01,10.091074681238617
2011-12-01,14.127504553734063
2012-01-01,17.22279792746114
2012-02-01,16.270190895741557
2012-03-01,18.716216216216218
2012-04-01,17.790622992935134
2012-05-01,21.742543171114605
2012-06-01,18.559463986599667
2012-07-01,16.057971014492757
2012-08-01,18.779661016949156
2012-09-01,17.07002801120448
2012-10-01,14.069841269841271
2012-11-01,14.127504553734063
2012-12-01,12.10928961748634
2013-01-01,19.13644214162349
2013-02-01,16.270190895741557
2013-03-01,16.220720720720724
2013-04-01,17.790622992935134
2013-05-01,18.553636839351128
2013-06-01,18.559463986599667
2013-07-01,17.396135265700487
2013-08-01,18.779661016949156
2013-09-01,15.518207282913165
2013-10-01,17.58730158730159
2013-11-01,16.145719489981786
2013-12-01,14.127504553734063
2014-01-01,17.22279792746114
2014-02-01,14.6431718061674
2014-03-01,17.46846846846847
2014-04-01,19.213872832369944
2014-05-01,19.713239141810575
2014-06-01,19.178112786152987
2014-07-01,18.734299516908216
2014-08-01,17.214689265536723
2014-09-01,17.07002801120448
2014-10-01,17.58730158730159
2014-11-01,14.127504553734063
2014-12-01,16.145719489981786
2015-01-01,17.22279792746114
2015-02-01,16.270190895741557
2015-03-01,18.716216216216218
2015-04-01,19.213872832369944
2015-05-01,19.133437990580852
2015-06-01,17.32216638749302
2015-07-01,16.057971014492757
2015-08-01,18.779661016949156
2015-09-01,17.07002801120448
2015-10-01,15.828571428571431
2015-11-01,16.145719489981786
2015-12-01,16.145719489981786
2016-01-01,17.22279792746114
2016-02-01,17.897209985315712
2016-03-01,16.220720720720724
2016-04-01,14.232498394348108
2016-05-01,15.074829931972792
2016-06-01,14.22892238972641
2016-07-01,14.719806763285026
2016-08-01,15.649717514124294
2016-09-01,13.966386554621849
2016-10-01,15.828571428571431
2016-11-01,18.16393442622951
2016-12-01,16.145719489981786
2017-01-01,19.13644214162349
2017-02-01,16.270190895741557
2017-03-01,16.220720720720724
2017-04-01,14.232498394348108
2017-05-01,14.205128205128208
2017-06-01,14.22892238972641
2017-07-01,16.057971014492757
2017-08-01,17.214689265536723
2017-09-01,15.518207282913165
2017-10-01,15.828571428571431
2017-11-01,18.16393442622951
2017-12-01,14.127504553734063
2018-01-01,17.22279792746114
2018-02-01,17.897209985315712
2018-03-01,13.725225225225227
2018-04-01,14.232498394348108
2018-05-01,12.465724751439039
2018-06-01,14.847571189279734
2018-07-01,16.057971014492757
2018-08-01,17.214689265536723
2018-09-01,15.518207282913165
2018-10-01,15.828571428571431
2018-11-01,16.145719489981786
2018-12-01,16.145719489981786
2019-01-01,19.13644214162349
2019-02-01,17.897209985315712
2019-03-01,13.725225225225227
2019-04-01,14.232498394348108
2019-05-01,11.016221873364731
2019-06-01,14.847571189279734
2019-07-01,16.057971014492757
2019-08-01,15.649717514124294
2019-09-01,17.07002801120448
2019-10-01,15.828571428571431
2019-11-01,16.145719489981786
2019-12-01,16.145719489981786
2020-01-01,19.13644214162349
2020-02-01,14.6431718061674
2020-03-01,13.725225225225227
2020-04-01,11.385998715478486
2020-05-01,5.218210361067505
2020-06-01,9.279731993299833
2020-07-01,18.734299516908216
2020-08-01,18.779661016949156
2020-09-01,21.725490196078432
2020-10-01,19.34603174603175
2020-11-01,18.16393442622951
2020-12-01,20.182149362477233
2021-01-01,19.13644214162349
2021-02-01,16.270190895741557
2021-03-01,14.972972972972975
2021-04-01,11.385998715478486
2021-05-01,5.218210361067505
2021-06-01,8.042434394193188
2021-07-01,13.381642512077295
2021-08-01,15.649717514124294
2021-09-01,18.6218487394958
2021-10-01,17.58730158730159
2021-11-01,20.182149362477233
2021-12-01,16.145719489981786
2022-01-01,21.050086355785837
2022-02-01,19.524229074889867
2022-03-01,19.963963963963966
2022-04-01,13.520873474630703
2022-05-01,8.986917844060702
2022-06-01,12.991624790619767
2022-07-01,20.072463768115945
2022-08-01,21.909604519774014
2022-09-01,20.173669467787114
2022-10-01,24.622222222222224
2022-11-01,24.21857923497268
2022-12-01,22.200364298724956
2023-01-01,24.877374784110536
2023-02-01,24.405286343612335
2023-03-01,19.963963963963966
2023-04-01,13.520873474630703
2023-05-01,8.69701726844584
2023-06-01,12.991624790619767
2023-07-01,17.396135265700487
2023-08-01,20.344632768361585
2023-09-01,24.829131652661065
2023-10-01,24.622222222222224
2023-11-01,26.236794171220403
2023-12-01,24.21857923497268
2024-01-01,28.704663212435232
2024-02-01,29.2863436123348
2024-03-01,21.211711711711715
2024-04-01,14.232498394348108
2024-05-01,8.40711669283098
2024-06-01,12.372975991066443
2024-07-01,17.396135265700487
2024-08-01,20.344632768361585
2024-09-01,26.380952380952383
2024-10-01,28.139682539682543
2024-11-01,28.255009107468126
2024-12-01,26.236794171220403
2025-01-01,26.791018998272882
