date,expense tracker
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,25.95535714285714
2005-08-01,23.287049399198928
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,15.140625
2006-02-01,25.796511627906977
2006-03-01,14.907692307692306
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,20.25
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,17.221563981042653
2006-12-01,19.366409537166902
2007-01-01,13.6265625
2007-02-01,24.906976744186046
2007-03-01,19.56634615384615
2007-04-01,17.425599435825106
2007-05-01,14.180487804878048
2007-06-01,12.375
2007-07-01,17.303571428571423
2007-08-01,20.37616822429906
2007-09-01,22.3125
2007-10-01,17.644916540212442
2007-11-01,18.369668246445496
2007-12-01,26.50140252454418
2008-01-01,21.953906250000003
2008-02-01,15.122093023255815
2008-03-01,26.088461538461537
2008-04-01,19.475669957686883
2008-05-01,17.725609756097562
2008-06-01,16.875
2008-07-01,21.14880952380952
2008-08-01,15.524699599465952
2008-09-01,21.25
2008-10-01,29.775796661608496
2008-11-01,18.369668246445496
2008-12-01,26.50140252454418
2009-01-01,27.253125
2009-02-01,17.790697674418606
2009-03-01,25.156730769230766
2009-04-01,30.751057827926658
2009-05-01,22.452439024390245
2009-06-01,27.0
2009-07-01,36.5297619047619
2009-08-01,37.84145527369826
2009-09-01,32.9375
2009-10-01,28.67298937784522
2009-11-01,30.998815165876774
2009-12-01,20.38569424964937
2010-01-01,30.28125
2010-02-01,32.91279069767442
2010-03-01,34.474038461538456
2010-04-01,34.85119887165021
2010-05-01,28.360975609756096
2010-06-01,31.5
2010-07-01,34.60714285714285
2010-08-01,20.37616822429906
2010-09-01,27.625
2010-10-01,24.261760242792107
2010-11-01,21.813981042654028
2010-12-01,25.48211781206171
2011-01-01,32.55234375
2011-02-01,26.686046511627907
2011-03-01,35.40576923076923
2011-04-01,32.801128349788435
2011-05-01,36.63292682926829
2011-06-01,39.375
2011-07-01,30.761904761904756
2011-08-01,32.98998664886515
2011-09-01,31.875
2011-10-01,34.18702579666161
2011-11-01,42.479857819905206
2011-12-01,33.63639551192146
2012-01-01,41.63671875
2012-02-01,42.69767441860465
2012-03-01,39.1326923076923
2012-04-01,41.00141043723554
2012-05-01,37.81463414634146
2012-06-01,37.125
2012-07-01,33.64583333333333
2012-08-01,39.782042723631506
2012-09-01,39.3125
2012-10-01,37.49544764795144
2012-11-01,32.14691943127962
2012-12-01,31.597826086956523
2013-01-01,35.58046875
2013-02-01,33.80232558139535
2013-03-01,35.40576923076923
2013-04-01,31.776093088857547
2013-05-01,36.63292682926829
2013-06-01,33.75
2013-07-01,33.64583333333333
2013-08-01,39.782042723631506
2013-09-01,42.5
2013-10-01,36.39264036418816
2013-11-01,35.59123222748815
2013-12-01,37.71353436185133
2014-01-01,39.365625
2014-02-01,34.69186046511628
2014-03-01,37.26923076923077
2014-04-01,41.00141043723554
2014-05-01,33.08780487804878
2014-06-01,30.375
2014-07-01,28.839285714285708
2014-08-01,33.96028037383177
2014-09-01,31.875
2014-10-01,34.18702579666161
2014-11-01,32.14691943127962
2014-12-01,29.559256661991583
2015-01-01,31.03828125
2015-02-01,34.69186046511628
2015-03-01,34.474038461538456
2015-04-01,32.801128349788435
2015-05-01,43.72317073170731
2015-06-01,34.875
2015-07-01,31.723214285714278
2015-08-01,30.07910547396528
2015-09-01,30.8125
2015-10-01,30.878603945371772
2015-11-01,34.443127962085306
2015-12-01,27.52068723702665
2016-01-01,30.28125
2016-02-01,32.02325581395349
2016-03-01,31.678846153846152
2016-04-01,37.92630465444288
2016-05-01,29.542682926829265
2016-06-01,30.375
2016-07-01,20.187499999999996
2016-08-01,24.25734312416555
2016-09-01,31.875
2016-10-01,30.878603945371772
2016-11-01,33.29502369668246
2016-12-01,30.578541374474053
2017-01-01,36.337500000000006
2017-02-01,34.69186046511628
2017-03-01,33.54230769230769
2017-04-01,35.876234132581104
2017-05-01,36.63292682926829
2017-06-01,34.875
2017-07-01,32.6845238095238
2017-08-01,29.10881174899866
2017-09-01,40.375
2017-10-01,39.701062215478
2017-11-01,32.14691943127962
2017-12-01,31.597826086956523
2018-01-01,38.608593750000004
2018-02-01,36.47093023255814
2018-03-01,37.26923076923077
2018-04-01,35.876234132581104
2018-05-01,37.81463414634146
2018-06-01,32.625
2018-07-01,31.723214285714278
2018-08-01,36.871161548731635
2018-09-01,32.9375
2018-10-01,33.08421851289833
2018-11-01,33.29502369668246
2018-12-01,31.597826086956523
2019-01-01,39.365625
2019-02-01,40.02906976744186
2019-03-01,36.3375
2019-04-01,35.876234132581104
2019-05-01,34.26951219512195
2019-06-01,38.25
2019-07-01,32.6845238095238
2019-08-01,40.75233644859812
2019-09-01,38.25
2019-10-01,37.49544764795144
2019-11-01,34.443127962085306
2019-12-01,36.694249649368864
2020-01-01,42.393750000000004
2020-02-01,40.918604651162795
2020-03-01,27.951923076923073
2020-04-01,27.675952045133993
2020-05-01,34.26951219512195
2020-06-01,33.75
2020-07-01,32.6845238095238
2020-08-01,34.930574098798395
2020-09-01,39.3125
2020-10-01,35.289833080424884
2020-11-01,29.85071090047393
2020-12-01,30.578541374474053
2021-01-01,33.309375
2021-02-01,32.02325581395349
2021-03-01,33.54230769230769
2021-04-01,34.85119887165021
2021-05-01,47.26829268292683
2021-06-01,38.25
2021-07-01,36.5297619047619
2021-08-01,37.84145527369826
2021-09-01,37.1875
2021-10-01,46.31790591805766
2021-11-01,43.627962085308056
2021-12-01,37.71353436185133
2022-01-01,46.9359375
2022-02-01,48.03488372093023
2022-03-01,53.10865384615384
2022-04-01,50.22672778561354
2022-05-01,55.54024390243902
2022-06-01,55.125
2022-07-01,54.79464285714285
2022-08-01,53.36615487316421
2022-09-01,53.125
2022-10-01,49.62632776934749
2022-11-01,47.072274881516584
2022-12-01,50.96423562412342
2023-01-01,52.9921875
2023-02-01,50.70348837209303
2023-03-01,52.176923076923075
2023-04-01,56.37693935119887
2023-05-01,57.90365853658536
2023-06-01,49.5
2023-07-01,45.18154761904761
2023-08-01,49.484979973297726
2023-09-01,46.75
2023-10-01,54.0375569044006
2023-11-01,49.36848341232227
2023-12-01,56.060659186535766
2024-01-01,56.77734375
2024-02-01,64.04651162790698
2024-03-01,59.630769230769225
2024-04-01,63.55218617771509
2024-05-01,54.358536585365854
2024-06-01,55.125
2024-07-01,49.98809523809523
2024-08-01,51.425567423230966
2024-09-01,53.125
2024-10-01,56.24317147192716
2024-11-01,58.55331753554502
2024-12-01,62.17636746143057
2025-01-01,61.319531250000004
2025-02-01,58.7093023255814
2025-03-01,59.630769230769225
2025-04-01,66.62729196050776
2025-05-01,68.5390243902439
2025-06-01,75.375
2025-07-01,96.13095238095237
2025-08-01,74.7126168224299
2025-09-01,73.3125
2025-10-01,70.57966616084977
2025-11-01,81.51540284360189
2025-12-01,80.523492286115
