date,cashback
2004-01-01,4.249171636845594
2004-02-01,6.98474945533769
2004-03-01,4.868640850417616
2004-04-01,4.890922959572846
2004-05-01,4.596415770609319
2004-06-01,5.167633784655061
2004-07-01,7.4342028985507245
2004-08-01,14.49367088607595
2004-09-01,18.82191780821918
2004-10-01,18.460652591170827
2004-11-01,8.20903165735568
2004-12-01,7.462756052141527
2005-01-01,7.436050364479788
2005-02-01,6.98474945533769
2005-03-01,6.0858010630220205
2005-04-01,8.55911517925248
2005-05-01,8.043727598566308
2005-06-01,11.368794326241135
2005-07-01,8.363478260869565
2005-08-01,9.662447257383967
2005-09-01,7.319634703196348
2005-10-01,5.127959053103007
2005-11-01,3.7313780260707636
2005-12-01,2.985102420856611
2006-01-01,5.3114645460569925
2006-02-01,5.820624546114742
2006-03-01,9.737281700835233
2006-04-01,6.113653699466058
2006-05-01,6.894623655913978
2006-06-01,4.134107027724049
2006-07-01,4.646376811594203
2006-08-01,4.831223628691983
2006-09-01,5.228310502283105
2006-10-01,5.127959053103007
2006-11-01,3.7313780260707636
2006-12-01,3.7313780260707636
2007-01-01,5.3114645460569925
2007-02-01,5.820624546114742
2007-03-01,4.868640850417616
2007-04-01,4.890922959572846
2007-05-01,4.596415770609319
2007-06-01,5.167633784655061
2007-07-01,18.58550724637681
2007-08-01,21.257383966244728
2007-09-01,12.547945205479454
2007-10-01,11.281509916826616
2007-11-01,7.462756052141527
2007-12-01,8.20903165735568
2008-01-01,9.560636182902586
2008-02-01,12.805374001452433
2008-03-01,10.954441913439638
2008-04-01,9.781845919145692
2008-05-01,14.938351254480287
2008-06-01,17.569954867827207
2008-07-01,22.302608695652175
2008-08-01,32.85232067510549
2008-09-01,23.004566210045663
2008-10-01,37.94689699296225
2008-11-01,49.254189944134076
2008-12-01,58.20949720670391
2009-01-01,43.55400927766733
2009-02-01,34.92374727668845
2009-03-01,35.297646165527716
2009-04-01,35.459191456903135
2009-05-01,33.324014336917564
2009-06-01,39.27401676337847
2009-07-01,29.736811594202898
2009-08-01,53.14345991561182
2009-09-01,42.87214611872147
2009-10-01,38.972488803582856
2009-11-01,54.47811918063315
2009-12-01,74.62756052141528
2010-01-01,62.67528164347251
2010-02-01,64.02687000726216
2010-03-01,64.50949126803341
2010-04-01,53.8001525553013
2010-05-01,55.15698924731183
2010-06-01,51.67633784655061
2010-07-01,43.6759420289855
2010-08-01,24.156118143459917
2010-09-01,18.82191780821918
2010-10-01,15.383877159309021
2010-11-01,11.19413407821229
2010-12-01,11.19413407821229
2011-01-01,14.872100728959577
2011-02-01,15.133623819898329
2011-03-01,15.823082763857254
2011-04-01,15.89549961861175
2011-05-01,13.789247311827957
2011-06-01,14.469374597034172
2011-07-01,13.009855072463768
2011-08-01,12.561181434599158
2011-09-01,14.639269406392696
2011-10-01,12.307101727447218
2011-11-01,11.940409683426443
2011-12-01,12.686685288640597
2012-01-01,28.681908548707757
2012-02-01,26.774872912127815
2012-03-01,24.343204252088082
2012-04-01,23.23188405797102
2012-05-01,21.832974910394263
2012-06-01,19.637008381689235
2012-07-01,19.51478260869565
2012-08-01,18.35864978902954
2012-09-01,18.82191780821918
2012-10-01,17.435060780550224
2012-11-01,18.65689013035382
2012-12-01,17.164338919925513
2013-01-01,21.24585818422797
2013-02-01,20.954248366013072
2013-03-01,20.69172361427487
2013-04-01,20.786422578184595
2013-05-01,19.534767025089607
2013-06-01,19.637008381689235
2013-07-01,16.72695652173913
2013-08-01,17.39240506329114
2013-09-01,17.77625570776256
2013-10-01,18.460652591170827
2013-11-01,18.65689013035382
2013-12-01,19.40316573556797
2014-01-01,21.24585818422797
2014-02-01,19.790123456790123
2014-03-01,21.908883826879276
2014-04-01,23.23188405797102
2014-05-01,22.982078853046595
2014-06-01,21.704061895551256
2014-07-01,21.37333333333333
2014-08-01,20.291139240506332
2014-09-01,21.958904109589042
2014-10-01,21.537428023032632
2014-11-01,19.40316573556797
2014-12-01,21.64199255121043
2015-01-01,25.49502982107356
2015-02-01,22.11837327523602
2015-03-01,23.126044039483677
2015-04-01,25.67734553775744
2015-05-01,27.578494623655914
2015-06-01,27.905222437137333
2015-07-01,24.161159420289856
2015-08-01,24.156118143459917
2015-09-01,25.09589041095891
2015-10-01,26.665387076135637
2015-11-01,25.373370577281193
