date,grocery deals
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,17.608667941363926
2006-03-01,14.95021645021645
2006-04-01,16.895792563600782
2006-05-01,14.415324985092427
2006-06-01,16.15672514619883
2006-07-01,15.556306306306308
2006-08-01,17.790757575757578
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,9.003538175046556
2006-12-01,14.963171577123052
2007-01-01,16.764563106796118
2007-02-01,20.910293180369663
2007-03-01,14.95021645021645
2007-04-01,0.0
2007-05-01,15.444991055456171
2007-06-01,19.18611111111111
2007-07-01,19.216613672496027
2007-08-01,11.511666666666668
2007-09-01,18.963016795865634
2007-10-01,14.30704270235819
2007-11-01,11.575977653631286
2007-12-01,12.968082033506645
2008-01-01,21.235113268608416
2008-02-01,28.61408540471638
2008-03-01,23.493197278911566
2008-04-01,20.27495107632094
2008-05-01,32.949314251639834
2008-06-01,34.333040935672514
2008-07-01,35.68799682034977
2008-08-01,21.976818181818185
2008-09-01,25.655846253229978
2008-10-01,41.82058636073933
2008-11-01,32.79860335195531
2008-12-01,27.931253610629696
2009-01-01,36.88203883495146
2009-02-01,46.2227533460803
2009-03-01,81.15831787260359
2009-04-01,43.92906066536204
2009-05-01,44.27564102564103
2009-06-01,29.284064327485382
2009-07-01,34.772919978802335
2009-08-01,41.86060606060607
2009-09-01,52.42716408268735
2009-10-01,33.01625239005736
2009-11-01,31.512383612662944
2009-12-01,29.926343154246105
2010-01-01,43.587864077669906
2010-02-01,40.72004461440408
2010-03-01,29.9004329004329
2010-04-01,40.54990215264188
2010-05-01,31.919648181276088
2010-06-01,32.31345029239766
2010-07-01,26.537228404875467
2010-08-01,33.48848484848485
2010-09-01,26.771317829457367
2010-10-01,24.211918419375397
2010-11-01,23.795065176908754
2010-12-01,28.9287983824379
2011-01-01,53.646601941747576
2011-02-01,40.72004461440408
2011-03-01,42.71490414347557
2011-04-01,78.84703196347033
2011-05-01,79.28428741800835
2011-06-01,67.6562865497076
2011-07-01,51.24430312665607
2011-08-01,47.093181818181826
2011-09-01,46.84980620155039
2011-10-01,47.32329509241555
2011-11-01,36.657262569832405
2011-12-01,37.90670132871173
2012-01-01,34.64676375404531
2012-02-01,29.714627151051626
2012-03-01,29.9004329004329
2012-04-01,24.780495759947815
2012-05-01,22.652653548002384
2012-06-01,28.274269005847955
2012-07-01,24.707074721780607
2012-08-01,23.023333333333337
2012-09-01,27.88678940568476
2012-10-01,28.61408540471638
2012-11-01,25.724394785847302
2012-12-01,23.941074523396882
2013-01-01,29.058576051779937
2013-02-01,26.41300191204589
2013-03-01,26.69681508967223
2013-04-01,24.780495759947815
2013-05-01,23.68231961836613
2013-06-01,23.22529239766082
2013-07-01,26.537228404875467
2013-08-01,26.16287878787879
2013-09-01,26.771317829457367
2013-10-01,27.513543658381135
2013-11-01,27.65372439478585
2013-12-01,25.93616406701329
2014-01-01,32.41148867313916
2014-02-01,28.61408540471638
2014-03-01,26.69681508967223
2014-04-01,29.28604044357469
2014-05-01,24.711985688729875
2014-06-01,25.244883040935672
2014-07-01,30.197535771065183
2014-08-01,30.348939393939396
2014-09-01,30.11773255813954
2014-10-01,24.211918419375397
2014-11-01,23.795065176908754
2014-12-01,22.94352975158868
2015-01-01,29.058576051779937
2015-02-01,24.211918419375397
2015-03-01,25.628942486085343
2015-04-01,25.906881930854535
2015-05-01,25.74165175909362
2015-06-01,24.235087719298246
2015-07-01,24.707074721780607
2015-08-01,27.20939393939394
2015-09-01,23.424903100775197
2015-10-01,26.41300191204589
2015-11-01,25.08128491620112
2015-12-01,23.941074523396882
2016-01-01,23.470388349514565
2016-02-01,23.11137667304015
2016-03-01,21.357452071737786
2016-04-01,24.780495759947815
2016-05-01,21.62298747763864
2016-06-01,20.195906432748536
2016-07-01,21.961844197138316
2016-08-01,24.06984848484849
2016-09-01,24.54037467700259
2016-10-01,26.41300191204589
2016-11-01,25.724394785847302
2016-12-01,25.93616406701329
2017-01-01,24.58802588996764
2017-02-01,22.01083492670491
2017-03-01,22.425324675324674
2017-04-01,22.52772341813438
2017-05-01,22.652653548002384
2017-06-01,25.244883040935672
2017-07-01,28.367382087970327
2017-08-01,28.255909090909093
2017-09-01,26.771317829457367
2017-10-01,25.312460165710643
2017-11-01,26.367504655493484
2017-12-01,21.945984979780476
2018-01-01,26.823300970873788
2018-02-01,27.513543658381135
2018-03-01,20.289579468150897
2018-04-01,22.52772341813438
2018-05-01,24.711985688729875
2018-06-01,28.274269005847955
2018-07-01,31.112612612612615
2018-08-01,32.4419696969697
2018-09-01,32.34867571059432
2018-10-01,28.61408540471638
2018-11-01,32.155493482309126
2018-12-01,30.923887926054306
2019-01-01,31.293851132686086
2019-02-01,27.513543658381135
2019-03-01,28.83256029684601
2019-04-01,25.906881930854535
2019-05-01,26.771317829457367
2019-06-01,27.264473684210525
2019-07-01,27.452305246422895
2019-08-01,29.302424242424244
2019-09-01,24.54037467700259
2019-10-01,29.714627151051626
2019-11-01,34.72793296089386
2019-12-01,35.911611785095324
2020-01-01,32.41148867313916
2020-02-01,30.81516889738687
2020-03-01,29.9004329004329
2020-04-01,34.917971298108284
2020-05-01,25.74165175909362
2020-06-01,22.215497076023393
2020-07-01,15.556306306306308
2020-08-01,20.930303030303033
2020-09-01,21.193959948320416
2020-10-01,25.312460165710643
2020-11-01,25.08128491620112
2020-12-01,24.938619295205086
2021-01-01,21.235113268608416
2021-02-01,20.910293180369663
2021-03-01,20.289579468150897
2021-04-01,18.022178734507502
2021-05-01,19.56365533691115
2021-06-01,21.205701754385966
2021-07-01,18.301536830948596
2021-08-01,19.88378787878788
2021-09-01,18.963016795865634
2021-10-01,24.211918419375397
2021-11-01,29.5830540037244
2021-12-01,21.945984979780476
2022-01-01,30.17621359223301
2022-02-01,28.61408540471638
2022-03-01,33.104050711193565
2022-04-01,33.791585127201564
2022-05-01,31.919648181276088
2022-06-01,39.38201754385965
2022-07-01,35.68799682034977
2022-08-01,30.348939393939396
2022-09-01,30.11773255813954
2022-10-01,28.61408540471638
2022-11-01,28.296834264432032
2022-12-01,25.93616406701329
2023-01-01,30.17621359223301
2023-02-01,29.714627151051626
2023-03-01,25.628942486085343
2023-04-01,29.28604044357469
2023-05-01,23.68231961836613
2023-06-01,27.264473684210525
2023-07-01,26.537228404875467
2023-08-01,23.023333333333337
2023-09-01,29.002260981912148
2023-10-01,28.61408540471638
2023-11-01,30.22616387337058
2023-12-01,28.9287983824379
2024-01-01,26.823300970873788
2024-02-01,27.513543658381135
2024-03-01,25.628942486085343
2024-04-01,25.906881930854535
2024-05-01,28.830649970184854
2024-06-01,24.235087719298246
2024-07-01,25.622151563328035
2024-08-01,28.255909090909093
2024-09-01,30.11773255813954
2024-10-01,29.714627151051626
2024-11-01,31.512383612662944
2024-12-01,30.923887926054306
2025-01-01,31.293851132686086
2025-02-01,34.116794136392606
2025-03-01,32.03617810760668
2025-04-01,32.665198956294844
2025-05-01,35.008646392367325
2025-06-01,40.39181286549707
2025-07-01,55.81968733439322
2025-08-01,58.60484848484849
2025-09-01,59.11999354005169
2025-10-01,61.63033779477374
2025-11-01,64.31098696461825
2025-12-01,78.80603697284808
