date,real estate investing
2004-01-01,88.193588162762
2004-02-01,87.60127860026917
2004-03-01,92.56176470588234
2004-04-01,86.6386271870794
2004-05-01,90.97902571041948
2004-06-01,87.56155433287482
2004-07-01,88.00196335078533
2004-08-01,86.60850340136054
2004-09-01,88.72995461422087
2004-10-01,81.35545023696682
2004-11-01,95.36666666666666
2004-12-01,84.87935126582278
2005-01-01,80.25616522811342
2005-02-01,83.75067294751008
2005-03-01,85.08202614379084
2005-04-01,87.60127860026917
2005-05-01,90.01116373477672
2005-06-01,82.6423658872077
2005-07-01,73.95909685863874
2005-08-01,72.01156462585034
2005-09-01,63.842284417549166
2005-10-01,64.4063981042654
2005-11-01,61.30714285714286
2005-12-01,59.9814082278481
2006-01-01,65.26325524044388
2006-02-01,55.83378196500672
2006-03-01,63.57777777777777
2006-04-01,56.7964333781965
2006-05-01,57.10385656292286
2006-06-01,61.98177441540577
2006-07-01,59.916230366492144
2006-08-01,62.28027210884353
2006-09-01,53.021558245083206
2006-10-01,55.36690363349131
2006-11-01,56.76587301587301
2006-12-01,57.717958860759495
2007-01-01,50.27034525277434
2007-02-01,50.0578734858681
2007-03-01,47.68333333333333
2007-04-01,48.13257065948856
2007-05-01,50.328822733423536
2007-06-01,49.19188445667125
2007-07-01,49.618128272251305
2007-08-01,45.73707482993197
2007-09-01,44.364977307110436
2007-10-01,44.067535545023695
2007-11-01,37.46547619047619
2007-12-01,40.74208860759494
2008-01-01,34.39549938347718
2008-02-01,30.804845222072675
2008-03-01,32.72385620915032
2008-04-01,29.842193808882904
2008-05-01,29.03585926928281
2008-06-01,27.547455295735897
2008-07-01,27.149541884816752
2008-08-01,26.274489795918367
2008-09-01,28.133888048411496
2008-10-01,25.988546603475513
2008-11-01,23.841666666666665
2008-12-01,24.897943037974684
2009-01-01,20.28452527743526
2009-02-01,18.29037685060565
2009-03-01,19.634313725490195
2009-04-01,21.178331090174964
2009-05-01,17.421515561569684
2009-06-01,19.6767537826685
2009-07-01,21.532395287958114
2009-08-01,18.489455782312923
2009-09-01,21.64145234493192
2009-10-01,22.598736176935226
2009-11-01,20.435714285714283
2009-12-01,19.239319620253163
2010-01-01,18.520653514180022
2010-02-01,18.29037685060565
2010-03-01,20.56928104575163
2010-04-01,19.25302826379542
2010-05-01,17.421515561569684
2010-06-01,17.709078404401648
2010-07-01,15.915248691099476
2010-08-01,16.543197278911563
2010-09-01,18.39523449319213
2010-10-01,15.81911532385466
2010-11-01,15.894444444444444
2010-12-01,16.975870253164558
2011-01-01,15.874845869297161
2011-02-01,18.29037685060565
2011-03-01,16.82941176470588
2011-04-01,17.32772543741588
2011-05-01,15.485791610284165
2011-06-01,15.7414030261348
2011-07-01,14.979057591623036
2011-08-01,15.570068027210883
2011-09-01,15.149016641452343
2011-10-01,15.81911532385466
2011-11-01,15.894444444444444
2011-12-01,16.975870253164558
2012-01-01,14.11097410604192
2012-02-01,15.402422611036338
2012-03-01,14.959477124183005
2012-04-01,15.402422611036338
2012-05-01,13.550067658998644
2012-06-01,15.7414030261348
2012-07-01,14.979057591623036
2012-08-01,15.570068027210883
2012-09-01,17.313161875945536
2012-10-01,18.078988941548182
2012-11-01,17.029761904761905
2012-12-01,16.975870253164558
2013-01-01,14.11097410604192
2013-02-01,16.365074024226107
2013-03-01,16.82941176470588
2013-04-01,14.439771197846566
2013-05-01,15.485791610284165
2013-06-01,15.7414030261348
2013-07-01,14.979057591623036
2013-08-01,16.543197278911563
2013-09-01,16.23108925869894
2013-10-01,18.078988941548182
2013-11-01,20.435714285714283
2013-12-01,18.10759493670886
2014-01-01,17.6387176325524
2014-02-01,18.29037685060565
2014-03-01,17.764379084967317
2014-04-01,19.25302826379542
2014-05-01,18.389377537212447
2014-06-01,20.660591471801926
2014-07-01,18.723821989528794
2014-08-01,18.489455782312923
2014-09-01,20.559379727685325
2014-10-01,20.338862559241704
2014-11-01,19.300396825396824
2014-12-01,20.37104430379747
2015-01-01,18.520653514180022
2015-02-01,18.29037685060565
2015-03-01,18.699346405228756
2015-04-01,20.215679676985193
2015-05-01,20.325101488497967
2015-06-01,17.709078404401648
2015-07-01,21.532395287958114
2015-08-01,21.408843537414963
2015-09-01,20.559379727685325
2015-10-01,21.468799368088465
2015-11-01,21.571031746031746
2015-12-01,22.634493670886076
2016-01-01,20.28452527743526
2016-02-01,23.103633916554507
2016-03-01,22.43921568627451
2016-04-01,24.06628532974428
2016-05-01,23.228687415426247
2016-06-01,22.628266850068773
2016-07-01,24.340968586387433
2016-08-01,22.381972789115643
2016-09-01,23.80559757942511
2016-10-01,24.85860979462875
2016-11-01,27.247619047619047
2016-12-01,24.897943037974684
2017-01-01,23.81226880394574
2017-02-01,25.991588156123818
2017-03-01,26.179084967320257
2017-04-01,25.991588156123818
2017-05-01,27.10013531799729
2017-06-01,25.57977991746905
2017-07-01,25.27715968586387
2017-08-01,27.247619047619047
2017-09-01,27.0518154311649
2017-10-01,30.508293838862556
2017-11-01,27.247619047619047
2017-12-01,27.16139240506329
2018-01-01,24.69420468557336
2018-02-01,24.06628532974428
2018-03-01,24.309150326797383
2018-04-01,26.95423956931359
2018-05-01,28.06799729364005
2018-06-01,30.498968363136175
2018-07-01,30.89430628272251
2018-08-01,32.11326530612245
2018-09-01,31.380105900151282
2018-10-01,30.508293838862556
