date,Roth IRA
2004-01-01,40.905326768128916
2004-02-01,34.70890099909173
2004-03-01,36.21596975088968
2004-04-01,34.23420329670329
2004-05-01,26.626602564102562
2004-06-01,28.781889763779528
2004-07-01,27.893795620437952
2004-08-01,27.818112633181123
2004-09-01,28.506127450980394
2004-10-01,29.669642857142854
2004-11-01,34.90546218487395
2004-12-01,38.164797008547005
2005-01-01,38.67412712623097
2005-02-01,42.254314259763845
2005-03-01,51.73709964412811
2005-04-01,44.12408424908425
2005-05-01,35.94591346153846
2005-06-01,39.24803149606299
2005-07-01,36.38321167883211
2005-08-01,41.72716894977169
2005-09-01,33.935866013071895
2005-10-01,33.37834821428571
2005-11-01,39.5595238095238
2005-12-01,40.82745726495726
2006-01-01,42.39279319606087
2006-02-01,41.49977293369664
2006-03-01,39.17237544483985
2006-04-01,39.55952380952381
2006-05-01,41.27123397435897
2006-06-01,32.70669291338583
2006-07-01,35.170437956204374
2006-08-01,35.404870624048705
2006-09-01,36.65073529411765
2006-10-01,38.32328869047618
2006-11-01,37.232492997198875
2006-12-01,38.164797008547005
2007-01-01,44.623992837958816
2007-02-01,39.236148955495004
2007-03-01,36.95507117437722
2007-04-01,41.081043956043956
2007-05-01,34.614583333333336
2007-06-01,34.01496062992126
2007-07-01,35.170437956204374
2007-08-01,30.347031963470315
2007-09-01,32.57843137254902
2007-10-01,34.61458333333333
2007-11-01,36.06897759103641
2007-12-01,33.72702991452991
2008-01-01,39.41786034019695
2008-02-01,34.70890099909173
2008-03-01,36.95507117437722
2008-04-01,38.038003663003664
2008-05-01,30.62059294871795
2008-06-01,27.473622047244096
2008-07-01,26.681021897810215
2008-08-01,25.28919330289193
2008-09-01,28.506127450980394
2008-10-01,29.669642857142854
2008-11-01,26.760854341736692
2008-12-01,22.188835470085465
2009-01-01,23.055729632945386
2009-02-01,25.654405086285195
2009-03-01,25.868549822064054
2009-04-01,26.626602564102562
2009-05-01,21.30128205128205
2009-06-01,23.548818897637794
2009-07-01,21.82992700729927
2009-08-01,25.28919330289193
2009-09-01,28.506127450980394
2009-10-01,29.669642857142854
2009-11-01,25.59733893557423
2009-12-01,31.951923076923073
2010-01-01,34.21172784243509
2010-02-01,30.936194368755675
2010-03-01,35.47686832740213
2010-04-01,33.47344322344322
2010-05-01,25.295272435897434
2010-06-01,26.16535433070866
2010-07-01,21.82992700729927
2010-08-01,21.49581430745814
2010-09-01,23.07638888888889
2010-10-01,27.197172619047613
2010-11-01,25.59733893557423
2010-12-01,31.951923076923073
2011-01-01,25.286929274843327
2011-02-01,27.918029064486827
2011-03-01,29.564056939501775
2011-04-01,31.951923076923077
2011-05-01,25.295272435897434
2011-06-01,23.548818897637794
2011-07-01,23.042700729927006
2011-08-01,24.024733637747335
2011-09-01,20.36151960784314
2011-10-01,21.015997023809522
2011-11-01,18.616246498599438
2011-12-01,18.638621794871792
2012-01-01,20.82452999104745
2012-02-01,25.654405086285195
2012-03-01,22.912144128113876
2012-04-01,25.105082417582416
2012-05-01,22.63261217948718
2012-06-01,20.93228346456693
2012-07-01,20.61715328467153
2012-08-01,20.231354642313544
2012-09-01,24.433823529411764
2012-10-01,23.48846726190476
2012-11-01,22.106792717086833
2012-12-01,22.188835470085465
2013-01-01,25.286929274843327
2013-02-01,25.654405086285195
2013-03-01,25.868549822064054
2013-04-01,26.626602564102562
2013-05-01,26.626602564102562
2013-06-01,22.24055118110236
2013-07-01,21.82992700729927
2013-08-01,22.760273972602736
2013-09-01,24.433823529411764
2013-10-01,25.960937499999996
2013-11-01,26.760854341736692
2013-12-01,23.076388888888886
2014-01-01,25.286929274843327
2014-02-01,27.16348773841962
2014-03-01,30.30315836298932
2014-04-01,28.90888278388278
2014-05-01,26.626602564102562
2014-06-01,30.09015748031496
2014-07-01,27.893795620437952
2014-08-01,26.553652968036527
2014-09-01,28.506127450980394
2014-10-01,25.960937499999996
2014-11-01,30.251400560224084
2014-12-01,27.51415598290598
2015-01-01,26.774395702775287
2015-02-01,27.16348773841962
2015-03-01,30.30315836298932
