date,asset allocation
2004-01-01,88.74862788144895
2004-02-01,70.74374999999999
2004-03-01,70.42682926829269
2004-04-01,73.06302021403091
2004-05-01,77.33478260869565
2004-06-01,86.23999999999998
2004-07-01,78.54598445595855
2004-08-01,69.82995951417004
2004-09-01,73.10323886639677
2004-10-01,64.3125
2004-11-01,85.31411042944785
2004-12-01,79.52459016393442
2005-01-01,73.66136114160264
2005-02-01,67.9875
2005-03-01,70.42682926829269
2005-04-01,59.60404280618312
2005-05-01,65.28260869565217
2005-06-01,70.07
2005-07-01,78.54598445595855
2005-08-01,79.64979757085021
2005-09-01,66.55668016194332
2005-10-01,61.24999999999999
2005-11-01,71.42576687116564
2005-12-01,79.52459016393442
2006-01-01,70.99890230515916
2006-02-01,67.9875
2006-03-01,61.97560975609756
2006-04-01,55.758620689655174
2006-05-01,56.243478260869566
2006-06-01,67.91399999999999
2006-07-01,61.78950777202072
2006-08-01,56.73684210526316
2006-09-01,60.01012145748988
2006-10-01,59.20833333333333
2006-11-01,57.53742331288343
2006-12-01,59.13366960907945
2007-01-01,55.02414928649836
2007-02-01,61.55625
2007-03-01,55.40243902439025
2007-04-01,49.029131985731276
2007-05-01,63.27391304347826
2007-06-01,56.05599999999999
2007-07-01,58.64766839378238
2007-08-01,58.91902834008097
2007-09-01,52.37246963562753
2007-10-01,63.291666666666664
2007-11-01,53.56932515337423
2007-12-01,50.97730138713745
2008-01-01,55.91163556531284
2008-02-01,50.53125
2008-03-01,48.82926829268293
2008-04-01,52.87455410225922
2008-05-01,56.243478260869566
2008-06-01,48.50999999999999
2008-07-01,50.26943005181347
2008-08-01,46.917004048582996
2008-09-01,54.554655870445345
2008-10-01,59.20833333333333
2008-11-01,42.657055214723925
2008-12-01,42.82093316519546
2009-01-01,36.386937431394074
2009-02-01,38.5875
2009-03-01,43.19512195121951
2009-04-01,42.29964328180737
2009-05-01,44.19130434782608
2009-06-01,39.885999999999996
2009-07-01,41.891191709844556
2009-08-01,45.82591093117409
2009-09-01,46.917004048582996
2009-10-01,38.791666666666664
2009-11-01,42.657055214723925
2009-12-01,40.78184110970996
2010-01-01,40.82436882546652
2010-02-01,40.425
2010-03-01,45.07317073170732
2010-04-01,44.22235434007134
2010-05-01,44.19130434782608
2010-06-01,39.885999999999996
2010-07-01,36.65479274611399
2010-08-01,34.91497975708502
2010-09-01,34.91497975708502
2010-10-01,36.75
2010-11-01,32.73680981595092
2010-12-01,33.64501891551072
2011-01-01,34.611964873765096
2011-02-01,35.83125
2011-03-01,35.6829268292683
2011-04-01,37.49286563614744
2011-05-01,33.143478260869564
2011-06-01,33.41799999999999
2011-07-01,31.41839378238342
2011-08-01,33.82388663967611
2011-09-01,26.186234817813766
2011-10-01,29.604166666666664
2011-11-01,28.768711656441717
2011-12-01,28.547288776796975
2012-01-01,27.51207464324918
2012-02-01,29.4
2012-03-01,29.10975609756098
2012-04-01,27.879310344827587
2012-05-01,26.11304347826087
2012-06-01,28.027999999999995
2012-07-01,26.18199481865285
2012-08-01,28.36842105263158
2012-09-01,29.459514170040485
2012-10-01,27.562499999999996
2012-11-01,26.784662576687115
2012-12-01,25.488650693568726
2013-01-01,29.287047200878156
2013-02-01,30.318749999999998
2013-03-01,30.04878048780488
2013-04-01,29.80202140309156
2013-05-01,31.13478260869565
2013-06-01,29.105999999999995
2013-07-01,29.32383419689119
2013-08-01,27.277327935222672
2013-09-01,28.36842105263158
2013-10-01,28.583333333333332
2013-11-01,27.776687116564414
2013-12-01,24.469104665825977
2014-01-01,27.51207464324918
2014-02-01,26.643749999999997
2014-03-01,28.170731707317074
2014-04-01,28.840665873959573
