date,market crash
2004-01-01,22.194612794612794
2004-02-01,22.199252136752136
2004-03-01,23.661506707946337
2004-04-01,23.558390022675738
2004-05-01,24.83866666666667
2004-06-01,18.47329650092081
2004-07-01,13.823151125401928
2004-08-01,8.825250192455734
2004-09-01,16.760233918128655
2004-10-01,18.52176870748299
2004-11-01,23.935366739288305
2004-12-01,20.23058823529412
2005-01-01,17.369696969696967
2005-02-01,21.43376068376068
2005-03-01,19.2249742002064
2005-04-01,22.746031746031747
2005-05-01,22.928
2005-06-01,15.834254143646408
2005-07-01,9.215434083601286
2005-08-01,8.825250192455734
2005-09-01,13.1687552213868
2005-10-01,16.572108843537414
2005-11-01,17.691358024691358
2005-12-01,19.10666666666667
2006-01-01,15.439730639730639
2006-02-01,14.544337606837606
2006-03-01,17.00670794633643
2006-04-01,17.8718820861678
2006-05-01,21.017333333333333
2006-06-01,14.514732965009209
2006-07-01,9.215434083601286
2006-08-01,7.722093918398767
2006-09-01,11.971595655806182
2006-10-01,13.647619047619045
2006-11-01,14.569353667392882
2006-12-01,14.610980392156865
2007-01-01,13.509764309764309
2007-02-01,16.07532051282051
2007-03-01,17.746130030959755
2007-04-01,13.810090702947846
2007-05-01,16.240666666666666
2007-06-01,13.195211786372008
2007-07-01,15.359056806002142
2007-08-01,16.5473441108545
2007-09-01,16.760233918128655
2007-10-01,16.572108843537414
2007-11-01,16.650689905591864
2007-12-01,13.487058823529413
2008-01-01,22.194612794612794
2008-02-01,11.482371794871794
2008-03-01,14.049019607843137
2008-04-01,14.622448979591837
2008-05-01,15.285333333333334
2008-06-01,13.195211786372008
2008-07-01,12.287245444801714
2008-08-01,6.6189376443418
2008-09-01,61.05513784461153
2008-10-01,53.615646258503396
2008-11-01,24.9760348583878
2008-12-01,17.982745098039217
2009-01-01,13.509764309764309
2009-02-01,15.30982905982906
2009-03-01,17.00670794633643
2009-04-01,12.997732426303855
2009-05-01,14.33
2009-06-01,10.556169429097606
2009-07-01,9.215434083601286
2009-08-01,7.722093918398767
2009-09-01,11.971595655806182
2009-10-01,14.622448979591836
2009-11-01,13.52868554829339
2009-12-01,12.363137254901961
2010-01-01,11.579797979797979
2010-02-01,11.482371794871794
2010-03-01,12.570175438596491
2010-04-01,13.810090702947846
2010-05-01,22.928
2010-06-01,11.875690607734807
2010-07-01,10.7513397642015
2010-08-01,7.722093918398767
2010-09-01,9.577276524644946
2010-10-01,11.697959183673468
2010-11-01,12.4880174291939
2010-12-01,11.23921568627451
2011-01-01,12.544781144781144
2011-02-01,12.247863247863247
2011-03-01,14.049019607843137
2011-04-01,13.810090702947846
2011-05-01,14.33
2011-06-01,13.195211786372008
2011-07-01,13.823151125401928
2011-08-01,27.57890685142417
2011-09-01,13.1687552213868
2011-10-01,12.672789115646257
2011-11-01,13.52868554829339
2011-12-01,12.363137254901961
2012-01-01,11.579797979797979
2012-02-01,11.482371794871794
2012-03-01,11.091331269349846
2012-04-01,12.185374149659864
2012-05-01,13.374666666666666
2012-06-01,10.556169429097606
2012-07-01,9.215434083601286
2012-08-01,7.722093918398767
2012-09-01,11.971595655806182
2012-10-01,12.672789115646257
2012-11-01,15.610021786492373
2012-12-01,12.363137254901961
2013-01-01,12.544781144781144
2013-02-01,12.247863247863247
2013-03-01,11.091331269349846
2013-04-01,13.810090702947846
2013-05-01,15.285333333333334
2013-06-01,13.195211786372008
2013-07-01,12.287245444801714
2013-08-01,9.928406466512701
2013-09-01,11.971595655806182
2013-10-01,13.647619047619045
2013-11-01,13.52868554829339
2013-12-01,14.610980392156865
2014-01-01,14.474747474747474
2014-02-01,13.778846153846153
2014-03-01,14.049019607843137
2014-04-01,16.24716553287982
2014-05-01,14.33
2014-06-01,13.195211786372008
2014-07-01,15.359056806002142
2014-08-01,9.928406466512701
2014-09-01,15.563074352548037
2014-10-01,16.572108843537414
2014-11-01,14.569353667392882
2014-12-01,16.858823529411765
2015-01-01,16.404713804713804
2015-02-01,13.0133547008547
2015-03-01,14.049019607843137
2015-04-01,14.622448979591837
2015-05-01,17.196
2015-06-01,17.15377532228361
2015-07-01,33.78992497320471
2015-08-01,57.36412625096227
2015-09-01,28.73182957393484
2015-10-01,14.622448979591836
2015-11-01,15.610021786492373
2015-12-01,17.982745098039217
2016-01-01,36.66936026936027
2016-02-01,18.37179487179487
2016-03-01,17.00670794633643
2016-04-01,17.8718820861678
2016-05-01,17.196
2016-06-01,26.390423572744016
2016-07-01,18.430868167202572
2016-08-01,13.2378752886836
2016-09-01,16.760233918128655
2016-10-01,14.622448979591836
2016-11-01,44.74872912127814
2016-12-01,17.982745098039217
2017-01-01,18.334680134680134
2017-02-01,16.840811965811966
2017-03-01,17.746130030959755
2017-04-01,16.24716553287982
2017-05-01,18.151333333333334
2017-06-01,18.47329650092081
2017-07-01,18.430868167202572
2017-08-01,15.444187836797534
2017-09-01,16.760233918128655
2017-10-01,19.49659863945578
2017-11-01,21.854030501089323
2017-12-01,24.726274509803922
2018-01-01,26.054545454545455
2018-02-01,73.48717948717947
2018-03-01,19.2249742002064
2018-04-01,19.496598639455783
2018-05-01,17.196
2018-06-01,17.15377532228361
2018-07-01,21.502679528403
2018-08-01,18.753656658968435
2018-09-01,17.95739348370927
2018-10-01,35.093877551020405
2018-11-01,24.9760348583878
2018-12-01,51.70039215686275
2019-01-01,22.194612794612794
2019-02-01,16.07532051282051
2019-03-01,17.00670794633643
2019-04-01,17.8718820861678
2019-05-01,21.017333333333333
2019-06-01,17.15377532228361
2019-07-01,19.966773847802784
2019-08-01,20.959969207082366
2019-09-01,15.563074352548037
2019-10-01,16.572108843537414
2019-11-01,17.691358024691358
2019-12-01,19.10666666666667
2020-01-01,22.194612794612794
2020-02-01,31.38514957264957
2020-03-01,73.9422084623323
2020-04-01,38.180839002267575
2020-05-01,29.615333333333336
2020-06-01,35.62707182320442
2020-07-01,38.39764201500536
2020-08-01,27.57890685142417
2020-09-01,31.126148705096075
2020-10-01,26.320408163265302
2020-11-01,24.9760348583878
2020-12-01,31.46980392156863
2021-01-01,41.494276094276096
2021-02-01,32.15064102564102
2021-03-01,27.358617131062953
2021-04-01,28.432539682539684
2021-05-01,37.258
2021-06-01,42.224677716390424
2021-07-01,47.61307609860664
2021-08-01,27.57890685142417
2021-09-01,34.71762740183793
2021-10-01,30.21972789115646
2021-11-01,32.260711692084236
2021-12-01,30.345882352941178
2022-01-01,45.354208754208756
2022-02-01,33.68162393162393
2022-03-01,32.53457172342621
2022-04-01,38.993197278911566
2022-05-01,55.409333333333336
2022-06-01,72.57366482504604
2022-07-01,56.82851018220793
2022-08-01,29.7852193995381
2022-09-01,46.68922305764411
2022-10-01,37.04353741496598
2022-11-01,29.138707334785764
2022-12-01,30.345882352941178
2023-01-01,33.774410774410775
2023-02-01,25.261217948717945
2023-03-01,29.57688338493292
2023-04-01,21.933673469387756
2023-05-01,29.615333333333336
2023-06-01,39.585635359116026
2023-07-01,30.718113612004284
2023-08-01,45.22940723633563
2023-09-01,31.126148705096075
2023-10-01,24.370748299319725
2023-11-01,22.894698620188812
2023-12-01,25.850196078431374
2024-01-01,23.159595959595958
2024-02-01,21.43376068376068
2024-03-01,20.703818369453046
2024-04-01,21.933673469387756
2024-05-01,20.062
2024-06-01,21.112338858195212
2024-07-01,23.038585209003212
2024-08-01,80.53040800615857
2024-09-01,21.548872180451127
2024-10-01,18.52176870748299
2024-11-01,22.894698620188812
2024-12-01,29.22196078431373
2025-01-01,25.089562289562288
2025-02-01,33.68162393162393
2025-03-01,36.97110423116615
2025-04-01,66.61337868480726
2025-05-01,20.062
2025-06-01,22.43186003683241
2025-07-01,38.39764201500536
2025-08-01,22.063125481139334
2025-09-01,22.746031746031747
2025-10-01,39.96802721088435
2025-11-01,39.54538852578068
2025-12-01,33.71764705882353
