date,growth stocks
2004-01-01,13.77730294396961
2004-02-01,6.642628205128204
2004-03-01,7.174826904055392
2004-04-01,8.90759312320917
2004-05-01,6.728896103896103
2004-06-01,12.100583864118896
2004-07-01,0.0
2004-08-01,7.327020202020202
2004-09-01,8.450560652395515
2004-10-01,7.828139754485363
2004-11-01,10.078470380194519
2004-12-01,14.392361111111112
2005-01-01,12.79320987654321
2005-02-01,9.489468864468865
2005-03-01,9.224777448071217
2005-04-01,7.917860553963706
2005-05-01,6.728896103896103
2005-06-01,7.700371549893843
2005-07-01,10.825023741690408
2005-08-01,9.420454545454545
2005-09-01,7.394240570846075
2005-10-01,6.849622285174693
2005-11-01,10.994694960212202
2005-12-01,10.794270833333334
2006-01-01,11.809116809116809
2006-02-01,9.489468864468865
2006-03-01,9.224777448071217
2006-04-01,14.845988538681949
2006-05-01,11.21482683982684
2006-06-01,8.800424628450106
2006-07-01,7.872744539411206
2006-08-01,6.28030303030303
2006-09-01,11.619520897043833
2006-10-01,9.785174693106704
2006-11-01,8.246021220159152
2006-12-01,8.995225694444445
2007-01-01,13.77730294396961
2007-02-01,11.387362637362637
2007-03-01,8.199802176063304
2007-04-01,10.887058261700096
2007-05-01,11.21482683982684
2007-06-01,11.000530785562631
2007-07-01,10.825023741690408
2007-08-01,10.467171717171716
2007-09-01,12.675840978593271
2007-10-01,14.677762039660056
2007-11-01,10.994694960212202
2007-12-01,8.095703125
2008-01-01,9.840930674264008
2008-02-01,8.540521978021978
2008-03-01,9.224777448071217
2008-04-01,10.887058261700096
2008-05-01,10.093344155844155
2008-06-01,8.800424628450106
2008-07-01,7.872744539411206
2008-08-01,7.327020202020202
2008-09-01,7.394240570846075
2008-10-01,11.742209631728045
2008-11-01,6.4135720601237844
2008-12-01,6.296657986111112
2009-01-01,5.904558404558404
2009-02-01,5.693681318681318
2009-03-01,8.199802176063304
2009-04-01,8.90759312320917
2009-05-01,8.971861471861471
2009-06-01,7.700371549893843
2009-07-01,5.904558404558404
2009-08-01,6.28030303030303
2009-09-01,8.450560652395515
2009-10-01,7.828139754485363
2009-11-01,7.329796640141468
2009-12-01,6.296657986111112
2010-01-01,6.888651471984805
2010-02-01,5.693681318681318
2010-03-01,9.224777448071217
2010-04-01,9.897325692454633
2010-05-01,7.850378787878787
2010-06-01,6.600318471337579
2010-07-01,5.904558404558404
2010-08-01,5.233585858585858
2010-09-01,7.394240570846075
2010-10-01,8.806657223796034
2010-11-01,7.329796640141468
2010-12-01,7.196180555555556
2011-01-01,9.840930674264008
2011-02-01,10.43841575091575
2011-03-01,10.24975272007913
2011-04-01,10.887058261700096
2011-05-01,8.971861471861471
2011-06-01,7.700371549893843
2011-07-01,6.888651471984805
2011-08-01,9.420454545454545
2011-09-01,9.506880733944953
2011-10-01,8.806657223796034
2011-11-01,7.329796640141468
2011-12-01,7.196180555555556
2012-01-01,9.840930674264008
2012-02-01,10.43841575091575
2012-03-01,10.24975272007913
2012-04-01,9.897325692454633
2012-05-01,10.093344155844155
2012-06-01,6.600318471337579
2012-07-01,6.888651471984805
2012-08-01,7.327020202020202
2012-09-01,9.506880733944953
2012-10-01,7.828139754485363
2012-11-01,6.4135720601237844
2012-12-01,6.296657986111112
2013-01-01,8.856837606837606
2013-02-01,9.489468864468865
2013-03-01,10.24975272007913
2013-04-01,8.90759312320917
2013-05-01,11.21482683982684
2013-06-01,7.700371549893843
2013-07-01,7.872744539411206
2013-08-01,7.327020202020202
2013-09-01,8.450560652395515
2013-10-01,10.763692162417374
2013-11-01,10.078470380194519
2013-12-01,8.095703125
2014-01-01,11.809116809116809
2014-02-01,11.387362637362637
2014-03-01,11.274727992087044
2014-04-01,11.87679083094556
2014-05-01,12.336309523809524
2014-06-01,9.900477707006369
2014-07-01,7.872744539411206
2014-08-01,8.373737373737374
2014-09-01,9.506880733944953
2014-10-01,9.785174693106704
2014-11-01,10.078470380194519
2014-12-01,8.995225694444445
2015-01-01,8.856837606837606
2015-02-01,10.43841575091575
2015-03-01,11.274727992087044
2015-04-01,12.866523400191022
2015-05-01,11.21482683982684
2015-06-01,8.800424628450106
2015-07-01,8.856837606837606
2015-08-01,9.420454545454545
2015-09-01,8.450560652395515
2015-10-01,9.785174693106704
2015-11-01,10.994694960212202
2015-12-01,8.995225694444445
2016-01-01,8.856837606837606
2016-02-01,10.43841575091575
2016-03-01,12.299703264094957
2016-04-01,11.87679083094556
2016-05-01,11.21482683982684
2016-06-01,8.800424628450106
2016-07-01,7.872744539411206
2016-08-01,8.373737373737374
2016-09-01,9.506880733944953
2016-10-01,8.806657223796034
2016-11-01,10.994694960212202
2016-12-01,9.89474826388889
2017-01-01,12.79320987654321
2017-02-01,15.183150183150182
2017-03-01,15.374629080118696
2017-04-01,14.845988538681949
2017-05-01,14.57927489177489
2017-06-01,12.100583864118896
2017-07-01,11.809116809116809
2017-08-01,11.51388888888889
2017-09-01,10.563200815494394
2017-10-01,14.677762039660056
2017-11-01,16.492042440318304
2017-12-01,17.090928819444446
2018-01-01,22.634140550807217
2018-02-01,18.029990842490843
2018-03-01,16.39960435212661
2018-04-01,15.835721107927412
2018-05-01,17.943722943722943
2018-06-01,17.60084925690021
2018-07-01,16.729582146248813
2018-08-01,20.934343434343432
2018-09-01,22.182721712538225
2018-10-01,22.50590179414542
2018-11-01,14.659593280282936
2018-12-01,13.492838541666668
2019-01-01,18.697768281101617
2019-02-01,19.927884615384613
2019-03-01,19.47453016815035
2019-04-01,19.794651384909265
2019-05-01,16.82224025974026
2019-06-01,17.60084925690021
2019-07-01,14.761396011396013
2019-08-01,15.700757575757576
2019-09-01,14.78848114169215
2019-10-01,14.677762039660056
2019-11-01,17.408267020335987
2019-12-01,15.291883680555557
2020-01-01,21.650047483380817
2020-02-01,22.774725274725274
2020-03-01,27.674332344213653
2020-04-01,28.702244508118433
2020-05-01,34.7659632034632
2020-06-01,33.001592356687894
2020-07-01,31.490978157644825
2020-08-01,32.448232323232325
2020-09-01,28.520642201834864
2020-10-01,27.39848914069877
2020-11-01,32.067860300618925
2020-12-01,33.28233506944445
2021-01-01,41.331908831908834
2021-02-01,50.29418498168498
2021-03-01,40.99901088031652
2021-04-01,34.640639923591216
2021-05-01,38.13041125541125
2021-06-01,34.10164543524416
2021-07-01,24.60232668566002
2021-08-01,24.074494949494948
2021-09-01,23.239041794087665
2021-10-01,25.44145420207743
2021-11-01,26.57051282051282
2021-12-01,23.387586805555557
2022-01-01,33.459164292497626
2022-02-01,25.621565934065934
2022-03-01,28.699307616221567
2022-04-01,25.733046800382045
2022-05-01,25.79410173160173
2022-06-01,19.800955414012737
2022-07-01,16.729582146248813
2022-08-01,17.79419191919192
2022-09-01,15.844801223241591
2022-10-01,16.634796978281397
2022-11-01,16.492042440318304
2022-12-01,13.492838541666668
2023-01-01,16.729582146248813
2023-02-01,18.97893772893773
2023-03-01,18.449554896142434
2023-04-01,18.804918815663804
2023-05-01,19.065205627705627
2023-06-01,18.700902335456476
2023-07-01,17.713675213675213
2023-08-01,15.700757575757576
2023-09-01,16.90112130479103
2023-10-01,17.613314447592067
2023-11-01,18.32449160035367
2023-12-01,20.689019097222225
2024-01-01,20.665954415954417
2024-02-01,24.672619047619047
2024-03-01,25.624381800197828
2024-04-01,22.763849092645657
2024-05-01,22.42965367965368
2024-06-01,20.901008492569
2024-07-01,17.713675213675213
2024-08-01,16.747474747474747
2024-09-01,20.070081549439347
2024-10-01,20.54886685552408
2024-11-01,25.654288240495138
2024-12-01,22.488064236111114
2025-01-01,24.60232668566002
2025-02-01,30.366300366300365
2025-03-01,26.64935707220574
2025-04-01,25.733046800382045
2025-05-01,28.037067099567096
2025-06-01,59.402866242038215
2025-07-01,98.40930674264008
2025-08-01,87.92424242424242
2025-09-01,74.9987257900102
2025-10-01,62.625118035882906
2025-11-01,60.47082228116711
2025-12-01,74.6603732638889
