date,ETF
2004-01-01,7.959965928449744
2004-02-01,6.583635265700483
2004-03-01,5.484154929577465
2004-04-01,6.083984375
2004-05-01,5.341220850480109
2004-06-01,7.618798043326344
2004-07-01,5.050259403372244
2004-08-01,6.34419551934827
2004-09-01,5.705128205128204
2004-10-01,6.180555555555555
2004-11-01,9.907760814249365
2004-12-01,9.270833333333334
2005-01-01,7.959965928449744
2005-02-01,8.464673913043478
2005-03-01,8.226232394366198
2005-04-01,7.097981770833333
2005-05-01,7.477709190672154
2005-06-01,8.707197763801537
2005-07-01,9.09046692607004
2005-08-01,9.516293279022404
2005-09-01,10.269230769230768
2005-10-01,8.24074074074074
2005-11-01,8.916984732824428
2005-12-01,10.197916666666668
2006-01-01,13.266609880749574
2006-02-01,11.28623188405797
2006-03-01,12.796361502347418
2006-04-01,20.279947916666664
2006-05-01,17.09190672153635
2006-06-01,11.972396925227113
2006-07-01,12.120622568093385
2006-08-01,10.573659198913782
2006-09-01,11.410256410256409
2006-10-01,11.331018518518519
2006-11-01,11.889312977099237
2006-12-01,12.979166666666668
2007-01-01,15.03549119818285
2007-02-01,15.048309178743962
2007-03-01,12.796361502347418
2007-04-01,14.195963541666666
2007-05-01,16.023662551440328
2007-06-01,16.32599580712788
2007-07-01,17.17088197146563
2007-08-01,17.97522063815343
2007-09-01,17.115384615384613
2007-10-01,20.60185185185185
2007-11-01,22.78784987277354
2007-12-01,16.6875
2008-01-01,23.879897785349232
2008-02-01,22.57246376811594
2008-03-01,23.764671361502348
2008-04-01,21.2939453125
2008-05-01,24.569615912208505
2008-06-01,23.944793850454225
2008-07-01,24.24124513618677
2008-08-01,17.97522063815343
2008-09-01,27.384615384615383
2008-10-01,33.99305555555556
2008-11-01,26.750954198473284
2008-12-01,27.8125
2009-01-01,24.76433844406587
2009-02-01,24.45350241545894
2009-03-01,27.420774647887324
2009-04-01,24.3359375
2009-05-01,27.77434842249657
2009-06-01,29.386792452830186
2009-07-01,22.22114137483787
2009-08-01,24.3194161575017
2009-09-01,25.102564102564102
2009-10-01,24.72222222222222
2009-11-01,23.778625954198475
2009-12-01,19.46875
2010-01-01,21.226575809199318
2010-02-01,19.75090579710145
2010-03-01,19.194542253521128
2010-04-01,21.2939453125
2010-05-01,28.84259259259259
2010-06-01,20.67959468902865
2010-07-01,15.15077821011673
2010-08-01,17.97522063815343
2010-09-01,19.397435897435898
2010-10-01,21.631944444444443
2010-11-01,20.806297709923665
2010-12-01,20.395833333333336
2011-01-01,22.111016467915956
2011-02-01,24.45350241545894
2011-03-01,23.764671361502348
2011-04-01,23.321940104166664
2011-05-01,21.364883401920437
2011-06-01,19.591194968553456
2011-07-01,17.17088197146563
2011-08-01,28.548879837067215
2011-09-01,20.538461538461537
2011-10-01,16.48148148148148
2011-11-01,13.87086513994911
2011-12-01,12.979166666666668
2012-01-01,14.151050539466212
2012-02-01,15.048309178743962
2012-03-01,13.710387323943662
2012-04-01,13.181966145833332
2012-05-01,13.887174211248285
2012-06-01,14.149196366177497
2012-07-01,12.120622568093385
2012-08-01,12.68839103869654
2012-09-01,15.974358974358974
2012-10-01,12.36111111111111
2012-11-01,10.898536895674301
2012-12-01,11.125
2013-01-01,15.03549119818285
2013-02-01,15.048309178743962
2013-03-01,14.624413145539906
2013-04-01,16.223958333333332
2013-05-01,17.09190672153635
2013-06-01,16.32599580712788
2013-07-01,14.140726329442282
2013-08-01,14.803122878479297
2013-09-01,13.692307692307692
2013-10-01,14.421296296296296
2013-11-01,12.880089058524174
2013-12-01,12.979166666666668
2014-01-01,16.804372515616127
2014-02-01,15.988828502415458
2014-03-01,15.53843896713615
2014-04-01,15.209960937499998
2014-05-01,14.955418381344307
2014-06-01,16.32599580712788
2014-07-01,15.15077821011673
2014-08-01,14.803122878479297
2014-09-01,17.115384615384613
2014-10-01,17.511574074074073
2014-11-01,15.852417302798983
2014-12-01,19.46875
2015-01-01,21.226575809199318
2015-02-01,19.75090579710145
2015-03-01,19.194542253521128
2015-04-01,19.265950520833332
