date,market volatility
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,20.23352713178295
2004-06-01,24.11927480916031
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,11.447916666666666
2005-04-01,0.0
2005-05-01,9.584302325581396
2005-06-01,0.0
2005-07-01,13.187999999999999
2005-08-01,0.0
2005-09-01,9.26123595505618
2005-10-01,8.080882352941178
2005-11-01,6.66060606060606
2005-12-01,8.16089108910891
2006-01-01,8.987149532710282
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,10.38573883161512
2006-05-01,8.519379844961241
2006-06-01,10.486641221374047
2006-07-01,8.792
2006-08-01,7.149628252788105
2006-09-01,8.232209737827715
2006-10-01,5.387254901960785
2006-11-01,7.493181818181817
2006-12-01,0.0
2007-01-01,7.703271028037384
2007-02-01,5.3040540540540535
2007-03-01,9.539930555555555
2007-04-01,7.553264604810996
2007-05-01,10.649224806201552
2007-06-01,11.535305343511451
2007-07-01,10.99
2007-08-01,22.470260223048328
2007-09-01,12.348314606741571
2007-10-01,10.77450980392157
2007-11-01,11.656060606060606
2007-12-01,8.16089108910891
2008-01-01,16.690420560747665
2008-02-01,9.547297297297296
2008-03-01,15.263888888888888
2008-04-01,11.329896907216494
2008-05-01,12.779069767441861
2008-06-01,10.486641221374047
2008-07-01,4.396
2008-08-01,9.192379182156134
2008-09-01,12.348314606741571
2008-10-01,22.4468954248366
2008-11-01,13.32121212121212
2008-12-01,11.787953795379538
2009-01-01,11.554906542056075
2009-02-01,10.608108108108107
2009-03-01,7.631944444444444
2009-04-01,11.329896907216494
2009-05-01,8.519379844961241
2009-06-01,10.486641221374047
2009-07-01,9.891
2009-08-01,7.149628252788105
2009-09-01,8.232209737827715
2009-10-01,6.285130718954249
2009-11-01,9.99090909090909
2009-12-01,5.4405940594059405
2010-01-01,10.271028037383179
2010-02-01,11.668918918918918
2010-03-01,7.631944444444444
2010-04-01,7.553264604810996
2010-05-01,14.908914728682172
2010-06-01,10.486641221374047
2010-07-01,7.693
2010-08-01,8.17100371747212
2010-09-01,6.1741573033707855
2010-10-01,6.285130718954249
2010-11-01,5.828030303030303
2010-12-01,6.347359735973597
2011-01-01,7.703271028037384
2011-02-01,7.425675675675675
2011-03-01,6.677951388888888
2011-04-01,7.553264604810996
2011-05-01,6.3895348837209305
2011-06-01,6.291984732824428
2011-07-01,6.593999999999999
2011-08-01,19.406133828996285
2011-09-01,12.348314606741571
2011-10-01,12.570261437908497
2011-11-01,9.99090909090909
2011-12-01,8.16089108910891
2012-01-01,10.271028037383179
2012-02-01,8.486486486486486
2012-03-01,6.677951388888888
2012-04-01,7.553264604810996
2012-05-01,6.3895348837209305
2012-06-01,7.340648854961833
2012-07-01,5.495
2012-08-01,6.12825278810409
2012-09-01,8.232209737827715
2012-10-01,6.285130718954249
2012-11-01,6.66060606060606
2012-12-01,4.5338283828382835
2013-01-01,6.419392523364486
2013-02-01,7.425675675675675
2013-03-01,7.631944444444444
2013-04-01,7.553264604810996
2013-05-01,6.3895348837209305
2013-06-01,9.437977099236642
2013-07-01,7.693
2013-08-01,6.12825278810409
2013-09-01,6.1741573033707855
2013-10-01,7.183006535947713
2013-11-01,4.995454545454545
2013-12-01,5.4405940594059405
2014-01-01,7.703271028037384
2014-02-01,10.608108108108107
2014-03-01,6.677951388888888
2014-04-01,9.441580756013746
2014-05-01,7.454457364341086
2014-06-01,10.486641221374047
2014-07-01,7.693
2014-08-01,6.12825278810409
2014-09-01,8.232209737827715
2014-10-01,14.366013071895425
2014-11-01,8.325757575757574
2014-12-01,7.254125412541254
2015-01-01,12.838785046728972
2015-02-01,10.608108108108107
2015-03-01,10.49392361111111
2015-04-01,8.49742268041237
2015-05-01,8.519379844961241
2015-06-01,9.437977099236642
2015-07-01,8.792
2015-08-01,16.34200743494424
2015-09-01,16.46441947565543
2015-10-01,9.876633986928105
2015-11-01,6.66060606060606
2015-12-01,9.067656765676567
2016-01-01,16.690420560747665
2016-02-01,11.668918918918918
2016-03-01,10.49392361111111
2016-04-01,11.329896907216494
2016-05-01,9.584302325581396
2016-06-01,11.535305343511451
2016-07-01,8.792
2016-08-01,8.17100371747212
2016-09-01,10.290262172284644
2016-10-01,9.876633986928105
2016-11-01,11.656060606060606
2016-12-01,8.16089108910891
2017-01-01,10.271028037383179
2017-02-01,10.608108108108107
2017-03-01,8.5859375
2017-04-01,10.38573883161512
2017-05-01,11.714147286821706
2017-06-01,9.437977099236642
2017-07-01,8.792
2017-08-01,9.192379182156134
2017-09-01,9.26123595505618
2017-10-01,10.77450980392157
2017-11-01,9.99090909090909
2017-12-01,10.881188118811881
2018-01-01,14.122663551401871
2018-02-01,35.00675675675676
2018-03-01,15.263888888888888
2018-04-01,16.99484536082474
2018-05-01,11.714147286821706
2018-06-01,9.437977099236642
2018-07-01,8.792
2018-08-01,8.17100371747212
2018-09-01,10.290262172284644
2018-10-01,17.059640522875817
2018-11-01,11.656060606060606
2018-12-01,17.22854785478548
2019-01-01,17.974299065420563
2019-02-01,11.668918918918918
2019-03-01,9.539930555555555
2019-04-01,10.38573883161512
2019-05-01,11.714147286821706
2019-06-01,8.389312977099237
2019-07-01,8.792
2019-08-01,13.277881040892195
2019-09-01,10.290262172284644
2019-10-01,8.978758169934641
2019-11-01,9.158333333333333
2019-12-01,7.254125412541254
2020-01-01,11.554906542056075
2020-02-01,14.85135135135135
2020-03-01,41.97569444444444
2020-04-01,22.659793814432987
2020-05-01,17.038759689922482
2020-06-01,16.778625954198475
2020-07-01,15.386
2020-08-01,13.277881040892195
2020-09-01,16.46441947565543
2020-10-01,15.26388888888889
2020-11-01,13.32121212121212
2020-12-01,11.787953795379538
2021-01-01,33.38084112149533
2021-02-01,22.277027027027025
2021-03-01,16.217881944444443
2021-04-01,14.162371134020619
2021-05-01,18.103682170542637
2021-06-01,13.63263358778626
2021-07-01,13.187999999999999
2021-08-01,12.25650557620818
2021-09-01,14.4063670411985
2021-10-01,13.468137254901961
2021-11-01,13.32121212121212
2021-12-01,13.60148514851485
2022-01-01,21.825934579439256
2022-02-01,22.277027027027025
2022-03-01,19.07986111111111
2022-04-01,18.883161512027492
2022-05-01,21.298449612403104
2022-06-01,14.681297709923665
2022-07-01,12.089
2022-08-01,11.235130111524164
2022-09-01,14.4063670411985
2022-10-01,15.26388888888889
2022-11-01,11.656060606060606
2022-12-01,11.787953795379538
2023-01-01,14.122663551401871
2023-02-01,14.85135135135135
2023-03-01,16.217881944444443
2023-04-01,14.162371134020619
2023-05-01,12.779069767441861
2023-06-01,10.486641221374047
2023-07-01,9.891
2023-08-01,9.192379182156134
2023-09-01,11.319288389513108
2023-10-01,13.468137254901961
2023-11-01,13.32121212121212
2023-12-01,12.694719471947193
2024-01-01,14.122663551401871
2024-02-01,14.85135135135135
2024-03-01,14.309895833333332
2024-04-01,16.99484536082474
2024-05-01,13.843992248062017
2024-06-01,11.535305343511451
2024-07-01,13.187999999999999
2024-08-01,20.4275092936803
2024-09-01,15.435393258426965
2024-10-01,14.366013071895425
2024-11-01,16.65151515151515
2024-12-01,16.32178217821782
2025-01-01,20.542056074766357
2025-02-01,35.00675675675676
2025-03-01,33.38975694444444
2025-04-01,50.04037800687285
2025-05-01,26.62306201550388
2025-06-01,48.23854961832062
2025-07-01,84.623
2025-08-01,61.2825278810409
2025-09-01,54.53838951310861
2025-10-01,46.689542483660134
2025-11-01,72.4340909090909
2025-12-01,90.67656765676567
