date,portfolio tracker
2004-01-01,38.13232514177694
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,46.57409793814433
2004-06-01,39.166876574307295
2004-07-01,0.0
2004-08-01,53.28528708133971
2004-09-01,0.0
2004-10-01,36.3179012345679
2004-11-01,36.1505376344086
2004-12-01,30.982514177693762
2005-01-01,28.599243856332702
2005-02-01,32.17691415313225
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,25.40554156171284
2005-07-01,30.917574931880107
2005-08-01,25.134569377990427
2005-09-01,30.80366492146597
2005-10-01,18.677777777777777
2005-11-01,24.401612903225804
2005-12-01,15.888468809073723
2006-01-01,28.599243856332702
2006-02-01,22.42633410672854
2006-03-01,21.606683804627245
2006-04-01,30.6304664723032
2006-05-01,24.91172680412371
2006-06-01,21.171284634760703
2006-07-01,24.04700272479564
2006-08-01,23.123803827751196
2006-09-01,25.30301047120419
2006-10-01,32.16728395061728
2006-11-01,19.88279569892473
2006-12-01,18.27173913043478
2007-01-01,23.038279773156898
2007-02-01,20.4762180974478
2007-03-01,29.169023136246782
2007-04-01,18.37827988338192
2007-05-01,21.662371134020617
2007-06-01,21.171284634760703
2007-07-01,20.611716621253404
2007-08-01,17.091507177033492
2007-09-01,19.80235602094241
2007-10-01,18.677777777777777
2007-11-01,17.171505376344086
2007-12-01,18.27173913043478
2008-01-01,20.65500945179584
2008-02-01,17.551044083526683
2008-03-01,22.68701799485861
2008-04-01,19.60349854227405
2008-05-01,22.745489690721648
2008-06-01,25.40554156171284
2008-07-01,20.611716621253404
2008-08-01,20.107655502392344
2008-09-01,19.80235602094241
2008-10-01,16.60246913580247
2008-11-01,17.171505376344086
2008-12-01,9.533081285444235
2009-01-01,11.916351606805293
2009-02-01,14.62587006960557
2009-03-01,21.606683804627245
2009-04-01,14.702623906705536
2009-05-01,15.163659793814432
2009-06-01,19.05415617128463
2009-07-01,16.03133514986376
2009-08-01,16.086124401913874
2009-09-01,33.003926701570684
2009-10-01,17.640123456790125
2009-11-01,16.26774193548387
2009-12-01,11.121928166351607
2010-01-01,19.06616257088847
2010-02-01,11.700696055684455
2010-03-01,27.008354755784058
2010-04-01,24.504373177842563
2010-05-01,16.246778350515463
2010-06-01,11.644206549118385
2010-07-01,12.596049046321525
2010-08-01,10.053827751196172
2010-09-01,14.30170157068063
2010-10-01,12.451851851851853
2010-11-01,11.748924731182795
2010-12-01,9.533081285444235
2011-01-01,16.68289224952741
2011-02-01,19.501160092807424
2011-03-01,15.124678663239074
2011-04-01,13.47740524781341
2011-05-01,11.91430412371134
2011-06-01,10.585642317380351
2011-07-01,10.305858310626702
2011-08-01,11.05921052631579
2011-09-01,13.201570680628272
2011-10-01,10.376543209876543
2011-11-01,10.84516129032258
