date,dividend stocks
2004-01-01,25.19361525704809
2004-02-01,17.95078577336642
2004-03-01,19.91885690446391
2004-04-01,17.850541125541124
2004-05-01,15.546203438395416
2004-06-01,15.795123726346434
2004-07-01,15.703690303907381
2004-08-01,13.492706838833094
2004-09-01,20.506299212598424
2004-10-01,19.31973293768546
2004-11-01,24.183987403100776
2004-12-01,19.76548269581056
2005-01-01,21.594527363184078
2005-02-01,20.643403639371382
2005-03-01,16.297246558197745
2005-04-01,19.729545454545455
2005-05-01,19.691857688634194
2005-06-01,18.95414847161572
2005-07-01,18.84442836468886
2005-08-01,20.758010521281683
2005-09-01,17.088582677165356
2005-10-01,15.026458951533135
2005-11-01,16.823643410852714
2005-12-01,15.81238615664845
2006-01-01,17.095667495854062
2006-02-01,14.360628618693136
2006-03-01,13.581038798498122
2006-04-01,13.153030303030302
2006-05-01,12.436962750716333
2006-06-01,13.689107229500243
2006-07-01,14.656777616980223
2006-08-01,17.64430894308943
2006-09-01,15.949343832020997
2006-10-01,17.173095944609297
2006-11-01,14.720687984496125
2006-12-01,14.824112021857923
2007-01-01,16.195895522388057
2007-02-01,12.565550041356493
2007-03-01,15.391843971631205
2007-04-01,15.032034632034632
2007-05-01,15.546203438395416
2007-06-01,14.742115477923338
2007-07-01,13.609864930053064
2007-08-01,15.568507890961262
2007-09-01,19.367060367454066
2007-10-01,17.173095944609297
2007-11-01,14.720687984496125
2007-12-01,14.824112021857923
2008-01-01,17.995439469320065
2008-02-01,17.95078577336642
2008-03-01,17.202649144764287
2008-04-01,19.729545454545455
2008-05-01,20.72827125119389
2008-06-01,14.742115477923338
2008-07-01,15.703690303907381
2008-08-01,14.530607364897177
2008-09-01,19.367060367454066
2008-10-01,44.006058358061324
2008-11-01,35.750242248062015
2008-12-01,24.706853369763206
2009-01-01,21.594527363184078
2009-02-01,17.0532464846981
2009-03-01,20.824259491030453
2009-04-01,21.608549783549783
2009-05-01,21.764684813753583
2009-06-01,22.11317321688501
2009-07-01,19.891341051616017
2009-08-01,23.871712099473935
2009-09-01,26.20249343832021
2009-10-01,24.686325420375866
2009-11-01,24.183987403100776
2009-12-01,27.67167577413479
2010-01-01,26.093387230514093
2010-02-01,26.02863937138131
2010-03-01,29.87828535669587
2010-04-01,29.1245670995671
2010-05-01,31.092406876790832
2010-06-01,26.32520621057739
2010-07-01,24.07899179932465
2010-08-01,26.985413677666187
2010-09-01,30.75944881889764
2010-10-01,28.97959940652819
2010-11-01,28.389898255813954
2010-12-01,28.659949908925316
2011-01-01,31.492019071310114
2011-02-01,31.413875103391234
2011-03-01,32.59449311639549
2011-04-01,29.1245670995671
2011-05-01,27.98316618911175
2011-06-01,28.43122270742358
2011-07-01,27.219729860106128
2011-08-01,49.819225251076034
2011-09-01,35.316404199475066
2011-10-01,34.346191889218595
2011-11-01,29.44137596899225
2011-12-01,30.636498178506372
2012-01-01,34.191334991708125
2012-02-01,35.90157154673284
2012-03-01,30.78368794326241
2012-04-01,28.185064935064936
2012-05-01,29.019579751671444
2012-06-01,28.43122270742358
2012-07-01,28.266642547033285
2012-08-01,31.137015781922525
2012-09-01,31.898687664041994
2012-10-01,24.686325420375866
2012-11-01,25.235465116279073
2012-12-01,23.718579234972676
2013-01-01,28.792703150912104
2013-02-01,26.02863937138131
2013-03-01,29.87828535669587
2013-04-01,27.24556277056277
2013-05-01,29.019579751671444
2013-06-01,23.166181465308103
2013-07-01,25.125904486251812
2013-08-01,24.909612625538017
2013-09-01,27.341732283464566
2013-10-01,27.90628090999011
2013-11-01,28.389898255813954
2013-12-01,25.69512750455373
2014-01-01,28.792703150912104
2014-02-01,28.721257237386272
2014-03-01,26.256675010429703
2014-04-01,28.185064935064936
2014-05-01,29.019579751671444
2014-06-01,30.537239204269774
2014-07-01,28.266642547033285
2014-08-01,26.985413677666187
2014-09-01,27.341732283464566
2014-10-01,28.97959940652819
2014-11-01,28.389898255813954
2014-12-01,26.68340163934426
2015-01-01,26.093387230514093
2015-02-01,27.823717948717952
2015-03-01,26.256675010429703
2015-04-01,28.185064935064936
2015-05-01,25.91033906399236
2015-06-01,26.32520621057739
2015-07-01,26.17281717317897
2015-08-01,32.17491630798661
2015-09-01,27.341732283464566
2015-10-01,27.90628090999011
2015-11-01,26.286942829457367
2015-12-01,23.718579234972676
2016-01-01,24.29384328358209
2016-02-01,25.131100082712987
2016-03-01,25.35127242386316
2016-04-01,26.306060606060605
2016-05-01,24.873925501432666
2016-06-01,27.378214459000485
2016-07-01,28.266642547033285
2016-08-01,24.909612625538017
2016-09-01,23.924015748031493
2016-10-01,22.5396884272997
2016-11-01,25.235465116279073
2016-12-01,25.69512750455373
2017-01-01,26.093387230514093
2017-02-01,27.823717948717952
2017-03-01,28.067480183562786
2017-04-01,30.064069264069264
2017-05-01,29.019579751671444
2017-06-01,29.484230955846677
2017-07-01,30.360467920887604
2017-08-01,26.985413677666187
2017-09-01,27.341732283464566
2017-10-01,30.05291790306627
2017-11-01,29.44137596899225
2017-12-01,30.636498178506372
2018-01-01,29.692475124378106
2018-02-01,27.823717948717952
2018-03-01,26.256675010429703
2018-04-01,29.1245670995671
2018-05-01,30.055993314231138
2018-06-01,30.537239204269774
2018-07-01,31.407380607814762
2018-08-01,33.21281683405069
2018-09-01,35.316404199475066
2018-10-01,33.272873392680516
2018-11-01,28.389898255813954
2018-12-01,30.636498178506372
2019-01-01,31.492019071310114
2019-02-01,34.1064929693962
