date,S&P 500
2004-01-01,6.286496350364963
2004-02-01,5.072143698468787
2004-03-01,4.31056056056056
2004-04-01,4.246794871794871
2004-05-01,4.190997566909975
2004-06-01,4.190997566909975
2004-07-01,4.1606280193236715
2004-08-01,3.9734717416378316
2004-09-01,4.38295165394402
2004-10-01,5.054284037558686
2004-11-01,6.286496350364963
2004-12-01,6.065140845070424
2005-01-01,5.238746958637469
2005-02-01,5.072143698468787
2005-03-01,4.31056056056056
2005-04-01,4.246794871794871
2005-05-01,4.190997566909975
2005-06-01,5.238746958637469
2005-07-01,5.200785024154589
2005-08-01,4.96683967704729
2005-09-01,4.38295165394402
2005-10-01,4.043427230046949
2005-11-01,4.190997566909975
2005-12-01,4.043427230046949
2006-01-01,6.286496350364963
2006-02-01,4.05771495877503
2006-03-01,4.31056056056056
2006-04-01,4.246794871794871
2006-05-01,4.190997566909975
2006-06-01,4.190997566909975
2006-07-01,4.1606280193236715
2006-08-01,3.9734717416378316
2006-09-01,4.38295165394402
2006-10-01,4.043427230046949
2006-11-01,4.190997566909975
2006-12-01,4.043427230046949
2007-01-01,5.238746958637469
2007-02-01,4.05771495877503
2007-03-01,3.448448448448448
2007-04-01,3.3974358974358974
2007-05-01,4.190997566909975
2007-06-01,4.190997566909975
2007-07-01,5.200785024154589
2007-08-01,4.96683967704729
2007-09-01,4.38295165394402
2007-10-01,4.043427230046949
2007-11-01,4.190997566909975
2007-12-01,4.043427230046949
2008-01-01,6.286496350364963
2008-02-01,4.05771495877503
2008-03-01,4.31056056056056
2008-04-01,3.3974358974358974
2008-05-01,3.1432481751824817
2008-06-01,4.190997566909975
2008-07-01,4.1606280193236715
2008-08-01,2.9801038062283736
2008-09-01,5.478689567430025
2008-10-01,9.097711267605636
2008-11-01,7.334245742092457
2008-12-01,5.054284037558686
2009-01-01,5.238746958637469
2009-02-01,6.086572438162545
2009-03-01,6.034784784784784
2009-04-01,4.246794871794871
2009-05-01,5.238746958637469
2009-06-01,4.190997566909975
2009-07-01,4.1606280193236715
2009-08-01,3.9734717416378316
2009-09-01,4.38295165394402
2009-10-01,5.054284037558686
2009-11-01,4.190997566909975
2009-12-01,4.043427230046949
2010-01-01,5.238746958637469
2010-02-01,4.05771495877503
2010-03-01,3.448448448448448
2010-04-01,3.3974358974358974
2010-05-01,5.238746958637469
2010-06-01,4.190997566909975
2010-07-01,4.1606280193236715
2010-08-01,2.9801038062283736
2010-09-01,3.2872137404580153
2010-10-01,4.043427230046949
2010-11-01,3.1432481751824817
2010-12-01,3.032570422535212
2011-01-01,4.190997566909975
2011-02-01,4.05771495877503
2011-03-01,3.448448448448448
2011-04-01,3.3974358974358974
2011-05-01,3.1432481751824817
2011-06-01,3.1432481751824817
2011-07-01,3.120471014492754
2011-08-01,6.953575547866206
2011-09-01,4.38295165394402
2011-10-01,4.043427230046949
2011-11-01,4.190997566909975
