date,brokerage account
2004-01-01,9.834957764782327
2004-02-01,8.125984251968504
2004-03-01,4.559310801855533
2004-04-01,6.919540229885057
2004-05-01,8.026666666666666
2004-06-01,8.757358790771677
2004-07-01,7.134814814814815
2004-08-01,6.198198198198197
2004-09-01,9.46788990825688
2004-10-01,5.235920852359208
2004-11-01,7.3302891933028915
2004-12-01,8.407331975560082
2005-01-01,7.152696556205329
2005-02-01,4.514435695538058
2005-03-01,6.383035122597747
2005-04-01,6.919540229885057
2005-05-01,9.173333333333332
2005-06-01,6.5680190930787585
2005-07-01,5.0962962962962965
2005-08-01,8.264264264264263
2005-09-01,6.311926605504587
2005-10-01,5.235920852359208
2005-11-01,6.28310502283105
2005-12-01,6.539035980991175
2006-01-01,7.152696556205329
2006-02-01,7.223097112860892
2006-03-01,7.294897282968853
2006-04-01,8.89655172413793
2006-05-01,9.173333333333332
2006-06-01,4.378679395385839
2006-07-01,5.0962962962962965
2006-08-01,6.198198198198197
2006-09-01,6.311926605504587
2006-10-01,6.28310502283105
2006-11-01,6.28310502283105
2006-12-01,6.539035980991175
2007-01-01,6.258609486679663
2007-02-01,5.417322834645669
2007-03-01,8.20675944333996
2007-04-01,8.89655172413793
2007-05-01,8.026666666666666
2007-06-01,6.5680190930787585
2007-07-01,10.192592592592593
2007-08-01,7.23123123123123
2007-09-01,8.415902140672783
2007-10-01,8.377473363774733
2007-11-01,10.471841704718416
2007-12-01,6.539035980991175
2008-01-01,8.046783625730995
2008-02-01,7.223097112860892
2008-03-01,8.20675944333996
2008-04-01,8.89655172413793
2008-05-01,6.879999999999999
2008-06-01,8.757358790771677
2008-07-01,10.192592592592593
2008-08-01,8.264264264264263
2008-09-01,13.675840978593271
2008-10-01,12.5662100456621
2008-11-01,7.3302891933028915
2008-12-01,6.539035980991175
2009-01-01,7.152696556205329
2009-02-01,7.223097112860892
2009-03-01,8.20675944333996
2009-04-01,8.89655172413793
2009-05-01,9.173333333333332
2009-06-01,8.757358790771677
2009-07-01,7.134814814814815
2009-08-01,9.297297297297295
2009-09-01,8.415902140672783
2009-10-01,8.377473363774733
2009-11-01,8.377473363774733
2009-12-01,7.473183978275628
2010-01-01,7.152696556205329
2010-02-01,6.320209973753281
2010-03-01,8.20675944333996
2010-04-01,8.89655172413793
2010-05-01,9.173333333333332
2010-06-01,9.852028639618137
2010-07-01,7.134814814814815
2010-08-01,7.23123123123123
2010-09-01,7.363914373088685
2010-10-01,6.28310502283105
2010-11-01,8.377473363774733
2010-12-01,7.473183978275628
2011-01-01,8.940870695256661
2011-02-01,9.028871391076116
2011-03-01,8.20675944333996
2011-04-01,9.885057471264368
2011-05-01,8.026666666666666
2011-06-01,7.662688941925218
2011-07-01,9.173333333333334
2011-08-01,10.330330330330328
2011-09-01,7.363914373088685
2011-10-01,8.377473363774733
2011-11-01,8.377473363774733
2011-12-01,7.473183978275628
2012-01-01,8.046783625730995
2012-02-01,9.931758530183727
2012-03-01,9.118621603711066
2012-04-01,8.89655172413793
2012-05-01,11.466666666666665
2012-06-01,9.852028639618137
2012-07-01,9.173333333333334
2012-08-01,9.297297297297295
2012-09-01,9.46788990825688
2012-10-01,8.377473363774733
2012-11-01,8.377473363774733
2012-12-01,7.473183978275628
2013-01-01,8.940870695256661
2013-02-01,9.931758530183727
2013-03-01,9.118621603711066
2013-04-01,9.885057471264368
2013-05-01,11.466666666666665
2013-06-01,10.946698488464596
2013-07-01,10.192592592592593
2013-08-01,11.363363363363362
2013-09-01,10.519877675840979
2013-10-01,10.471841704718416
2013-11-01,10.471841704718416
