date,REIT
2004-01-01,77.99342481417953
2004-02-01,78.65386755703952
2004-03-01,67.31058020477816
2004-04-01,93.01075268817203
2004-05-01,69.9149194773625
2004-06-01,76.9927927927928
2004-07-01,75.83849423193686
2004-08-01,66.3730972351662
2004-09-01,73.26314038589487
2004-10-01,71.27152103559871
2004-11-01,92.90740740740742
2004-12-01,85.63326653306613
2005-01-01,78.93310463121784
2005-02-01,79.56844741235393
2005-03-01,73.85466439135382
2005-04-01,72.54838709677419
2005-05-01,75.90762686113642
2005-06-01,85.87657657657658
2005-07-01,75.83849423193686
2005-08-01,74.54209381795589
2005-09-01,75.4500998003992
2005-10-01,67.01650485436893
2005-11-01,66.20987654320989
2005-12-01,64.77388109552437
2006-01-01,63.898227558604916
2006-02-01,63.1060100166945
2006-03-01,70.11518771331059
2006-04-01,58.596774193548384
2006-05-01,60.9258584017016
2006-06-01,59.22522522522523
2006-07-01,59.872495446265944
2006-08-01,60.246349798073936
2006-09-01,62.328343313373246
2006-10-01,77.65404530744337
2006-11-01,72.61728395061729
2006-12-01,71.36105544422178
2007-01-01,75.1743853630646
2007-02-01,79.56844741235393
2007-03-01,71.0500568828214
2007-04-01,66.96774193548387
2007-05-01,70.91370404132482
2007-06-01,73.04444444444445
2007-07-01,72.84486945962357
2007-08-01,70.45759552656105
2007-09-01,60.14138389886892
2007-10-01,61.69773462783172
2007-11-01,59.802469135802475
2007-12-01,54.89311957247829
2008-01-01,53.56174957118353
2008-02-01,48.47273233166389
2008-03-01,56.092150170648466
2008-04-01,53.016129032258064
2008-05-01,56.93072014585232
2008-06-01,51.32852852852853
2008-07-01,49.89374620522162
2008-08-01,46.9717303510407
2008-09-01,52.48702594810379
2008-10-01,61.69773462783172
2008-11-01,54.46296296296297
2008-12-01,53.795257181028724
2009-01-01,46.98399085191538
2009-02-01,48.47273233166389
2009-03-01,47.6783276450512
2009-04-01,49.29569892473118
2009-05-01,46.9428745062291
2009-06-01,48.36726726726727
2009-07-01,47.89799635701275
2009-08-01,55.140726933830386
2009-09-01,51.39354624085163
2009-10-01,49.996440129449844
2009-11-01,44.851851851851855
2009-12-01,43.91449565798263
2010-01-01,43.22527158376215
2010-02-01,43.899833055091825
2010-03-01,43.938850967007966
2010-04-01,43.71505376344086
2010-05-01,44.94530537830446
2010-06-01,44.41891891891892
2010-07-01,40.91287188828173
2010-08-01,45.950605778191985
2010-09-01,48.11310711909514
2010-10-01,46.80517799352751
2010-11-01,46.98765432098766
2010-12-01,48.305945223780896
2011-01-01,45.104631217838765
2011-02-01,46.64357262103506
2011-03-01,48.613196814562
2011-04-01,44.64516129032258
2011-05-01,45.944089942266785
2011-06-01,49.354354354354356
2011-07-01,48.89587128111719
2011-08-01,50.03510406958683
2011-09-01,44.83266799733865
2011-10-01,43.61391585760518
2011-11-01,41.64814814814815
2011-12-01,40.62090848363393
2012-01-01,42.28559176672384
2012-02-01,42.070673344462996
2012-03-01,41.134243458475545
2012-04-01,39.994623655913976
2012-05-01,42.94773625037982
2012-06-01,41.45765765765766
2012-07-01,40.91287188828173
2012-08-01,46.9717303510407
2012-09-01,45.92614770459082
2012-10-01,42.55016181229774
2012-11-01,42.71604938271605
2012-12-01,39.523046092184366
2013-01-01,43.22527158376215
2013-02-01,46.64357262103506
2013-03-01,44.87372013651877
2013-04-01,45.5752688172043
2013-05-01,50.938012762078394
2013-06-01,47.38018018018018
2013-07-01,43.906496660595025
2013-08-01,44.92948120534328
2013-09-01,40.45874916833
2013-10-01,43.61391585760518
2013-11-01,43.783950617283956
2013-12-01,40.62090848363393
2014-01-01,39.46655231560892
2014-02-01,40.241513633834174
2014-03-01,38.32963594994312
2014-04-01,40.924731182795696
2014-05-01,42.94773625037982
2014-06-01,44.41891891891892
2014-07-01,46.90012143290832
2014-08-01,44.92948120534328
2014-09-01,50.30006653359946
2014-10-01,43.61391585760518
2014-11-01,44.851851851851855
2014-12-01,42.81663326653307
2015-01-01,43.22527158376215
2015-02-01,42.98525319977741
2015-03-01,44.87372013651877
2015-04-01,43.71505376344086
