date,index fund
2004-01-01,61.12350936967631
2004-02-01,51.68993653671804
2004-03-01,42.18097014925373
2004-04-01,52.59241245136187
2004-05-01,50.327886710239646
2004-06-01,48.82450331125828
2004-07-01,40.01774530271399
2004-08-01,39.10860215053763
2004-09-01,48.006976744186034
2004-10-01,40.7350054525627
2004-11-01,48.34426229508196
2004-12-01,48.423645320197046
2005-01-01,54.425042589437815
2005-02-01,50.79873073436083
2005-03-01,50.43376865671642
2005-04-01,41.11770428015564
2005-05-01,40.690631808278866
2005-06-01,45.569536423841065
2005-07-01,49.25260960334029
2005-08-01,46.50752688172042
2005-09-01,44.577906976744174
2005-10-01,47.166848418756814
2005-11-01,44.04699453551912
2005-12-01,45.51822660098522
2006-01-01,46.05195911413969
2006-02-01,37.430643699002715
2006-03-01,38.51305970149254
2006-04-01,44.94260700389105
2006-05-01,39.619825708061
2006-06-01,36.88962472406181
2006-07-01,36.93945720250522
2006-08-01,40.16559139784946
2006-09-01,35.43372093023255
2006-10-01,40.7350054525627
2006-11-01,38.67540983606557
2006-12-01,38.73891625615764
2007-01-01,46.889267461669505
2007-02-01,44.560290117860376
2007-03-01,35.76212686567164
2007-04-01,42.07392996108949
2007-05-01,44.97385620915032
2007-06-01,46.65452538631347
2007-07-01,46.17432150313152
2007-08-01,45.4505376344086
2007-09-01,43.43488372093022
2007-10-01,47.166848418756814
2007-11-01,41.8983606557377
2007-12-01,36.80197044334975
2008-01-01,41.865417376490626
2008-02-01,35.6482320942883
2008-03-01,36.679104477611936
2008-04-01,42.07392996108949
2008-05-01,39.619825708061
2008-06-01,39.05960264900663
2008-07-01,38.99164926931107
2008-08-01,28.53870967741935
2008-09-01,45.72093023255813
2008-10-01,70.75027262813522
2008-11-01,41.8983606557377
2008-12-01,32.92807881773399
2009-01-01,27.631175468483814
2009-02-01,29.40979147778785
2009-03-01,35.76212686567164
2009-04-01,33.467898832684824
2009-05-01,33.19498910675381
2009-06-01,34.719646799117
2009-07-01,29.75678496868476
2009-08-01,33.82365591397849
2009-09-01,35.43372093023255
2009-10-01,34.30316248636859
2009-11-01,32.229508196721305
2009-12-01,27.117241379310347
2010-01-01,29.30579216354344
2010-02-01,27.627379873073437
2010-03-01,31.17723880597015
2010-04-01,35.38035019455253
2010-05-01,36.407407407407405
2010-06-01,33.63465783664459
2010-07-01,25.65240083507307
2010-08-01,23.25376344086021
2010-09-01,22.860465116279066
2010-10-01,28.9432933478735
2010-11-01,23.634972677595623
2010-12-01,27.117241379310347
2011-01-01,27.631175468483814
2011-02-01,28.518585675430643
2011-03-01,28.426305970149254
2011-04-01,27.73054474708171
2011-05-01,24.62854030501089
2011-06-01,24.954746136865346
2011-07-01,23.600208768267223
2011-08-01,32.766666666666666
2011-09-01,24.003488372093017
2011-10-01,21.43947655398037
2011-11-01,21.486338797814206
2011-12-01,19.36945812807882
2012-01-01,20.932708688245313
2012-02-01,22.280145058930188
2012-03-01,22.007462686567163
2012-04-01,22.949416342412448
2012-05-01,23.557734204793025
2012-06-01,21.699779249448127
2012-07-01,22.5741127348643
2012-08-01,23.25376344086021
2012-09-01,25.14651162790697
2012-10-01,22.51145038167939
2012-11-01,21.486338797814206
2012-12-01,20.337931034482757
2013-01-01,25.119250425894375
2013-02-01,24.062556663644607
2013-03-01,25.675373134328357
2013-04-01,31.555447470817118
2013-05-01,34.265795206971674
2013-06-01,33.63465783664459
2013-07-01,29.75678496868476
2013-08-01,29.59569892473118
2013-09-01,27.432558139534876
2013-10-01,32.159214830970555
2013-11-01,31.155191256830594
2013-12-01,27.117241379310347
2014-01-01,28.468483816013627
2014-02-01,32.08340888485947
2014-03-01,30.260261194029848
2014-04-01,31.555447470817118
2014-05-01,32.124183006535944
2014-06-01,34.719646799117
2014-07-01,35.913361169102295
2014-08-01,31.709677419354836
2014-09-01,34.290697674418595
2014-10-01,36.44711014176663
2014-11-01,35.45245901639343
2014-12-01,36.80197044334975
2015-01-01,33.4923339011925
2015-02-01,34.7570262919311
2015-03-01,38.51305970149254
2015-04-01,34.42412451361867
2015-05-01,34.265795206971674
2015-06-01,33.63465783664459
2015-07-01,33.86116910229645
2015-08-01,40.16559139784946
2015-09-01,35.43372093023255
2015-10-01,32.159214830970555
2015-11-01,32.229508196721305
2015-12-01,29.054187192118228
2016-01-01,27.631175468483814
2016-02-01,26.736174070716228
2016-03-01,26.592350746268657
2016-04-01,28.686770428015564
2016-05-01,28.91176470588235
2016-06-01,33.63465783664459
2016-07-01,33.86116910229645
