date,recession
2004-01-01,4.362214199759325
2004-02-01,5.281177156177156
2004-03-01,3.1142611683848798
2004-04-01,3.9852682497801233
2004-05-01,4.082207207207207
2004-06-01,4.1810841983852365
2004-07-01,3.5262645914396886
2004-08-01,3.271660649819494
2004-09-01,5.208333333333334
2004-10-01,4.749737945492662
2004-11-01,5.085578002244668
2004-12-01,3.3440959409594093
2005-01-01,2.1811070998796627
2005-02-01,4.224941724941725
2005-03-01,2.3356958762886597
2005-04-01,3.1882145998240987
2005-05-01,4.082207207207207
2005-06-01,3.1358131487889276
2005-07-01,2.3508430609597926
2005-08-01,3.271660649819494
2005-09-01,4.166666666666667
2005-10-01,3.7997903563941295
2005-11-01,4.068462401795735
2005-12-01,4.458794587945879
2006-01-01,3.271660649819494
2006-02-01,3.1687062937062933
2006-03-01,3.1142611683848798
2006-04-01,3.1882145998240987
2006-05-01,4.082207207207207
2006-06-01,3.1358131487889276
2006-07-01,3.5262645914396886
2006-08-01,4.362214199759325
2006-09-01,4.166666666666667
2006-10-01,3.7997903563941295
2006-11-01,4.068462401795735
2006-12-01,4.458794587945879
2007-01-01,3.271660649819494
2007-02-01,6.337412587412587
2007-03-01,4.671391752577319
2007-04-01,3.1882145998240987
2007-05-01,4.082207207207207
2007-06-01,3.1358131487889276
2007-07-01,3.5262645914396886
2007-08-01,6.543321299638988
2007-09-01,11.458333333333334
2007-10-01,7.599580712788259
2007-11-01,14.239618406285071
2007-12-01,14.491082410824106
2008-01-01,63.252105896510216
2008-02-01,26.40588578088578
2008-03-01,24.135524054982817
2008-04-01,23.114555848724716
2008-05-01,17.34938063063063
2008-06-01,14.633794694348328
2008-07-01,18.80674448767834
2008-08-01,18.539410348977132
2008-09-01,37.5
2008-10-01,52.247117400419285
2008-11-01,40.68462401795735
2008-12-01,55.734932349323486
2009-01-01,40.35048134777376
2009-02-01,51.75553613053613
2009-03-01,35.035438144329895
2009-04-01,27.896877748460863
2009-05-01,27.55489864864865
2009-06-01,20.90542099192618
2009-07-01,24.68385214007782
2009-08-01,19.629963898916962
2009-09-01,22.916666666666668
2009-10-01,19.94889937106918
