date,penny stocks
2004-01-01,18.01005747126437
2004-02-01,15.347701149425287
2004-03-01,15.012731481481481
2004-04-01,15.665458937198068
2004-05-01,12.915364583333334
2004-06-01,14.786821705426359
2004-07-01,14.400406504065042
2004-08-01,15.364002478314749
2004-09-01,12.467320261437909
2004-10-01,15.307098765432098
2004-11-01,16.79559748427673
2004-12-01,22.106788079470203
2005-01-01,12.52873563218391
2005-02-01,12.424329501915707
2005-03-01,13.246527777777779
2005-04-01,11.979468599033817
2005-05-01,9.934895833333334
2005-06-01,13.73062015503876
2005-07-01,16.615853658536587
2005-08-01,15.364002478314749
2005-09-01,16.20751633986928
2005-10-01,14.12962962962963
2005-11-01,17.995283018867923
2005-12-01,14.737858719646802
2006-01-01,13.311781609195403
2006-02-01,13.155172413793103
2006-03-01,15.012731481481481
2006-04-01,14.743961352657005
2006-05-01,15.895833333333334
2006-06-01,12.674418604651164
2006-07-01,13.29268292682927
2006-08-01,14.182156133828999
2006-09-01,12.467320261437909
2006-10-01,14.12962962962963
2006-11-01,13.196540880503145
2006-12-01,11.579746136865344
2007-01-01,10.962643678160921
2007-02-01,10.231800766283524
2007-03-01,10.597222222222221
2007-04-01,11.057971014492754
2007-05-01,11.921875
2007-06-01,11.618217054263567
2007-07-01,15.508130081300816
2007-08-01,13.000309789343248
2007-09-01,13.7140522875817
2007-10-01,14.12962962962963
2007-11-01,11.99685534591195
2007-12-01,10.527041942604857
2008-01-01,9.396551724137932
2008-02-01,8.770114942528735
2008-03-01,10.597222222222221
2008-04-01,11.057971014492754
2008-05-01,10.928385416666668
2008-06-01,9.505813953488373
2008-07-01,12.184959349593498
2008-08-01,10.63661710037175
2008-09-01,13.7140522875817
2008-10-01,20.016975308641975
2008-11-01,13.196540880503145
2008-12-01,11.579746136865344
2009-01-01,7.830459770114944
2009-02-01,7.308429118773946
2009-03-01,15.012731481481481
2009-04-01,16.58695652173913
2009-05-01,17.8828125
2009-06-01,20.067829457364343
2009-07-01,16.615853658536587
2009-08-01,22.455080545229247
2009-09-01,23.687908496732028
2009-10-01,22.371913580246915
2009-11-01,17.995283018867923
2009-12-01,14.737858719646802
2010-01-01,14.877873563218394
2010-02-01,13.886015325670497
2010-03-01,17.662037037037038
2010-04-01,20.27294685990338
2010-05-01,16.889322916666668
2010-06-01,13.73062015503876
2010-07-01,12.184959349593498
2010-08-01,13.000309789343248
2010-09-01,16.20751633986928
2010-10-01,17.662037037037038
2010-11-01,16.79559748427673
2010-12-01,15.790562913907287
2011-01-01,18.793103448275865
2011-02-01,16.07854406130268
2011-03-01,19.42824074074074
2011-04-01,16.58695652173913
2011-05-01,17.8828125
2011-06-01,15.843023255813955
2011-07-01,19.939024390243905
2011-08-01,22.455080545229247
2011-09-01,18.700980392156865
2011-10-01,16.48456790123457
2011-11-01,14.39622641509434
2011-12-01,13.685154525386315
2012-01-01,12.52873563218391
2012-02-01,14.616858237547891
