date,stock screener
2004-01-01,84.22746781115879
2004-02-01,40.57368035190616
2004-03-01,59.60864485981308
2004-04-01,38.57327586206897
2004-05-01,35.80948121645796
2004-06-01,65.64459930313589
2004-07-01,47.93362831858407
2004-08-01,37.646536412078156
2004-09-01,41.97467166979362
2004-10-01,43.96857923497268
2004-11-01,48.88145756457565
2004-12-01,59.18110918544194
2005-01-01,45.48283261802575
2005-02-01,49.20637829912023
2005-03-01,44.018691588785046
2005-04-01,40.60344827586207
2005-05-01,44.235241502683365
2005-06-01,50.25914634146341
2005-07-01,52.10176991150443
2005-08-01,54.37833037300178
2005-09-01,53.02063789868668
2005-10-01,34.31693989071039
2005-11-01,51.053966789667896
2005-12-01,45.91637781629116
2006-01-01,42.113733905579394
2006-02-01,45.7532991202346
2006-03-01,38.51635514018692
2006-04-01,48.72413793103449
2006-05-01,40.02236135957067
2006-06-01,32.822299651567945
2006-07-01,33.34513274336283
2006-08-01,37.646536412078156
2006-09-01,40.87007504690432
2006-10-01,37.53415300546449
2006-11-01,40.19142066420664
2006-12-01,35.71273830155979
2007-01-01,34.533261802575105
2007-02-01,35.39406158357771
2007-03-01,41.26752336448598
2007-04-01,41.618534482758626
2007-05-01,34.756261180679786
2007-06-01,36.92508710801394
2007-07-01,38.55530973451327
2007-08-01,32.417850799289525
2007-09-01,41.97467166979362
2007-10-01,48.25819672131148
2007-11-01,36.93265682656826
2007-12-01,37.75346620450606
2008-01-01,28.63733905579399
2008-02-01,29.35117302052786
2008-03-01,31.179906542056074
2008-04-01,34.51293103448276
2008-05-01,42.128801431127016
2008-06-01,32.822299651567945
2008-07-01,31.261061946902654
2008-08-01,31.372113676731797
2008-09-01,30.928705440900565
2008-10-01,57.90983606557378
2008-11-01,36.93265682656826
2008-12-01,31.631282495667243
2009-01-01,23.583690987124463
2009-02-01,19.855205278592376
2009-03-01,27.511682242990652
2009-04-01,30.452586206896555
2009-05-01,38.969141323792485
2009-06-01,31.796602787456447
2009-07-01,30.219026548672566
2009-08-01,35.5550621669627
2009-09-01,33.13789868667917
2009-10-01,39.67896174863388
2009-11-01,38.01891143911439
2009-12-01,37.75346620450606
2010-01-01,31.164163090128753
2010-02-01,27.624633431085044
2010-03-01,39.43341121495327
2010-04-01,39.58836206896552
2010-05-01,31.596601073345262
2010-06-01,25.642421602787458
2010-07-01,26.050884955752213
2010-08-01,23.006216696269984
2010-09-01,28.71951219512195
2010-10-01,27.88251366120219
2010-11-01,28.24261992619926
2010-12-01,29.59055459272097
2011-01-01,32.006437768240346
2011-02-01,34.530791788856305
2011-03-01,29.345794392523363
2011-04-01,30.452586206896555
2011-05-01,28.436940966010734
2011-06-01,26.668118466898957
2011-07-01,29.17699115044248
2011-08-01,32.417850799289525
2011-09-01,27.614915572232647
2011-10-01,23.59289617486339
2011-11-01,21.725092250922508
2011-12-01,22.44800693240901
2012-01-01,20.21459227467811
2012-02-01,25.89809384164223
2012-03-01,21.092289719626166
2012-04-01,21.316810344827587
2012-05-01,21.064400715563508
2012-06-01,17.43684668989547
2012-07-01,18.756637168141594
2012-08-01,18.823268206039078
2012-09-01,22.091932457786115
2012-10-01,20.375683060109292
2012-11-01,16.293819188191883
2012-12-01,17.346187175043326
2013-01-01,18.530042918454935
2013-02-01,18.991935483870968
2013-03-01,19.25817757009346
2013-04-01,19.286637931034484
2013-05-01,23.170840787119857
2013-06-01,18.46254355400697
2013-07-01,20.84070796460177
2013-08-01,19.869005328596806
2013-09-01,22.091932457786115
2013-10-01,21.448087431693992
2013-11-01,24.983856088560884
2013-12-01,22.44800693240901
2014-01-01,24.42596566523605
2014-02-01,23.308284457478006
2014-03-01,22.926401869158877
2014-04-01,23.34698275862069
2014-05-01,23.170840787119857
2014-06-01,21.539634146341463
2014-07-01,22.924778761061948
2014-08-01,20.91474245115453
2014-09-01,20.98733583489681
2014-10-01,22.52049180327869
2014-11-01,23.89760147601476
2014-12-01,21.427642980935875
2015-01-01,17.687768240343345
2015-02-01,21.58174486803519
2015-03-01,21.092289719626166
2015-04-01,22.33189655172414
2015-05-01,18.957960644007155
2015-06-01,16.411149825783973
2015-07-01,18.756637168141594
2015-08-01,18.823268206039078
2015-09-01,19.882739212007504
2015-10-01,18.230874316939893
2015-11-01,16.293819188191883
2015-12-01,15.305459272097053
2016-01-01,11.791845493562231
2016-02-01,14.67558651026393
2016-03-01,14.672897196261681
2016-04-01,15.226293103448278
2016-05-01,15.798300536672631
2016-06-01,14.359756097560975
2016-07-01,14.58849557522124
2016-08-01,16.731793960923625
2016-09-01,15.464352720450282
2016-10-01,13.941256830601095
2016-11-01,17.380073800738007
2016-12-01,18.366551126516462
2017-01-01,16.84549356223176
2017-02-01,18.991935483870968
2017-03-01,18.3411214953271
2017-04-01,18.271551724137932
2017-05-01,20.011180679785333
2017-06-01,19.48824041811847
2017-07-01,18.756637168141594
2017-08-01,17.77753108348135
2017-09-01,18.7781425891182
2017-10-01,20.375683060109292
2017-11-01,20.638837638376383
2017-12-01,20.407279029462735
2018-01-01,20.21459227467811
