date,mutual fund
2004-01-01,81.44319131161237
2004-02-01,67.82485689123735
2004-03-01,68.12919540229886
2004-04-01,62.98349719101123
2004-05-01,58.98583608360836
2004-06-01,66.88679245283019
2004-07-01,62.15645973154362
2004-08-01,61.78785211267606
2004-09-01,58.56139575971732
2004-10-01,56.42363344051447
2004-11-01,67.56559405940594
2004-12-01,68.93055555555556
2005-01-01,63.52568922305764
2005-02-01,63.53214442976663
2005-03-01,65.43988505747127
2005-04-01,56.5938670411985
2005-05-01,53.623487348734876
2005-06-01,63.54245283018869
2005-07-01,66.51831655480984
2005-08-01,64.07629107981221
2005-09-01,59.709658421672565
2005-10-01,58.51339764201501
2005-11-01,57.913366336633665
2005-12-01,61.052777777777784
2006-01-01,58.6390977443609
2006-02-01,55.80526199911934
2006-03-01,53.78620689655173
2006-04-01,60.24508426966292
2006-05-01,57.913366336633665
2006-06-01,51.279874213836486
2006-07-01,50.16135346756152
2006-08-01,53.778315727699535
2006-09-01,51.671819787985875
2006-10-01,54.333869239013936
2006-11-01,57.913366336633665
2006-12-01,52.19027777777778
2007-01-01,48.865914786967416
2007-02-01,48.93692206076619
2007-03-01,41.236091954022996
2007-04-01,48.37862827715355
2007-05-01,51.47854785478548
2007-06-01,50.16509433962265
2007-07-01,51.25181767337808
2007-08-01,49.20143779342723
2007-09-01,48.22703180212015
2007-10-01,51.199222936763135
2007-11-01,50.406078107810785
2007-12-01,50.22083333333334
2008-01-01,51.30921052631579
2008-02-01,41.2100396301189
2008-03-01,41.236091954022996
2008-04-01,41.98899812734082
2008-05-01,42.8987898789879
2008-06-01,41.24685534591195
2008-07-01,41.43763982102908
2008-08-01,36.61502347417841
2008-09-01,48.22703180212015
2008-10-01,56.42363344051447
2008-11-01,37.53644114411441
2008-12-01,32.49583333333334
2009-01-01,26.061821219715956
2009-02-01,26.614817261118453
2009-03-01,29.582413793103452
2009-04-01,29.209737827715355
2009-05-01,28.956683168316832
2009-06-01,31.213836477987424
2009-07-01,28.352069351230426
2009-08-01,33.18236502347418
2009-09-01,34.447879858657245
2009-10-01,32.391345123258304
2009-11-01,30.029152915291533
2009-12-01,28.556944444444447
2010-01-01,26.87625313283208
2010-02-01,24.897732276530167
2010-03-01,29.582413793103452
2010-04-01,27.384129213483146
2010-05-01,30.029152915291533
2010-06-01,28.984276729559753
2010-07-01,28.352069351230426
2010-08-01,26.31704812206573
2010-09-01,27.5583038869258
2010-10-01,26.1220525187567
2010-11-01,23.594334433443347
2010-12-01,24.618055555555557
2011-01-01,25.247389306599832
2011-02-01,27.4733597534126
2011-03-01,27.78954022988506
2011-04-01,25.558520599250937
2011-05-01,22.52186468646865
2011-06-01,23.410377358490567
2011-07-01,21.809284116331096
2011-08-01,25.172828638497656
2011-09-01,19.52046525323911
2011-10-01,18.807877813504824
2011-11-01,17.15951595159516
2011-12-01,17.725
2012-01-01,17.91750208855472
2012-02-01,21.46356230735359
2012-03-01,19.7216091954023
2012-04-01,20.081694756554306
2012-05-01,18.231985698569858
2012-06-01,17.836477987421386
2012-07-01,17.447427293064877
2012-08-01,17.163292253521128
2012-09-01,20.66872791519435
2012-10-01,18.807877813504824
2012-11-01,16.087046204620464
2012-12-01,17.725
2013-01-01,19.546365914786968
2013-02-01,20.60501981505945
2013-03-01,20.618045977011498
2013-04-01,20.99449906367041
2013-05-01,22.52186468646865
2013-06-01,18.951257861635224
2013-07-01,20.71881991051454
2013-08-01,20.595950704225356
2013-09-01,20.66872791519435
2013-10-01,21.942524115755628
2013-11-01,22.52186468646865
2013-12-01,20.679166666666667
2014-01-01,20.36079782790309
2014-02-01,21.46356230735359
2014-03-01,21.51448275862069
2014-04-01,21.907303370786515
2014-05-01,22.52186468646865
2014-06-01,24.525157232704405
2014-07-01,21.809284116331096
2014-08-01,20.595950704225356
2014-09-01,22.965253239104833
2014-10-01,21.942524115755628
2014-11-01,23.594334433443347
2014-12-01,23.633333333333333
2015-01-01,21.175229741019216
2015-02-01,23.18064729194188
2015-03-01,23.307356321839084
2015-04-01,22.82010767790262
2015-05-01,23.594334433443347
2015-06-01,21.180817610062896
2015-07-01,21.809284116331096
2015-08-01,24.02860915492958
2015-09-01,21.81699057714959
2015-10-01,20.89764201500536
2015-11-01,21.44939493949395
2015-12-01,21.66388888888889
2016-01-01,17.103070175438596
2016-02-01,18.02939233817702
2016-03-01,17.92873563218391
2016-04-01,19.1688904494382
2016-05-01,20.376925192519252
2016-06-01,18.951257861635224
2016-07-01,17.447427293064877
2016-08-01,19.45173122065728
2016-09-01,18.372202591283866
2016-10-01,18.807877813504824
2016-11-01,19.304455445544555
2016-12-01,18.709722222222222
2017-01-01,16.288638262322472
2017-02-01,19.746477322765305
2017-03-01,19.7216091954023
2017-04-01,19.1688904494382
2017-05-01,21.44939493949395
2017-06-01,21.180817610062896
2017-07-01,19.628355704697988
2017-08-01,19.45173122065728
2017-09-01,21.81699057714959
2017-10-01,25.077170418006432
2017-11-01,23.594334433443347
2017-12-01,24.618055555555557
2018-01-01,21.989661654135336
2018-02-01,21.46356230735359
2018-03-01,18.825172413793105
2018-04-01,20.99449906367041
2018-05-01,21.44939493949395
2018-06-01,20.066037735849058
2018-07-01,19.628355704697988
2018-08-01,22.884389671361504
2018-09-01,20.66872791519435
2018-10-01,19.852759914255092
2018-11-01,20.376925192519252
2018-12-01,17.725
2019-01-01,16.288638262322472
2019-02-01,18.02939233817702
2019-03-01,19.7216091954023
2019-04-01,20.081694756554306
2019-05-01,20.376925192519252
2019-06-01,18.951257861635224
2019-07-01,19.628355704697988
2019-08-01,19.45173122065728
2019-09-01,18.372202591283866
2019-10-01,18.807877813504824
2019-11-01,20.376925192519252
2019-12-01,19.694444444444446
2020-01-01,18.731934001670844
2020-02-01,21.46356230735359
2020-03-01,25.99666666666667
2020-04-01,21.907303370786515
2020-05-01,21.44939493949395
2020-06-01,23.410377358490567
2020-07-01,22.89974832214765
2020-08-01,25.172828638497656
2020-09-01,22.965253239104833
2020-10-01,19.852759914255092
2020-11-01,21.44939493949395
2020-12-01,24.618055555555557
2021-01-01,22.80409356725146
2021-02-01,24.039189784236022
2021-03-01,22.410919540229887
2021-04-01,23.732911985018724
2021-05-01,23.594334433443347
2021-06-01,21.180817610062896
2021-07-01,19.628355704697988
2021-08-01,20.595950704225356
2021-09-01,21.81699057714959
2021-10-01,20.89764201500536
2021-11-01,22.52186468646865
2021-12-01,21.66388888888889
2022-01-01,20.36079782790309
2022-02-01,20.60501981505945
2022-03-01,20.618045977011498
2022-04-01,21.907303370786515
2022-05-01,22.52186468646865
2022-06-01,17.836477987421386
2022-07-01,17.447427293064877
2022-08-01,18.307511737089204
2022-09-01,18.372202591283866
2022-10-01,17.762995712754556
2022-11-01,18.231985698569858
2022-12-01,18.709722222222222
2023-01-01,15.474206349206348
2023-02-01,18.02939233817702
2023-03-01,17.92873563218391
2023-04-01,17.343281835205993
2023-05-01,19.304455445544555
2023-06-01,18.951257861635224
2023-07-01,18.537891498881432
2023-08-01,19.45173122065728
2023-09-01,18.372202591283866
2023-10-01,18.807877813504824
2023-11-01,20.376925192519252
2023-12-01,22.648611111111112
2024-01-01,18.731934001670844
2024-02-01,23.18064729194188
2024-03-01,22.410919540229887
2024-04-01,22.82010767790262
2024-05-01,23.594334433443347
2024-06-01,25.639937106918243
2024-07-01,29.44253355704698
2024-08-01,24.02860915492958
2024-09-01,25.261778563015316
2024-10-01,22.987406216505896
2024-11-01,26.811743674367438
2024-12-01,24.618055555555557
2025-01-01,21.175229741019216
2025-02-01,22.322104799647736
2025-03-01,22.410919540229887
2025-04-01,24.645716292134832
2025-05-01,22.52186468646865
2025-06-01,24.525157232704405
2025-07-01,33.8043903803132
2025-08-01,28.60548708920188
2025-09-01,29.854829210836282
2025-10-01,29.256698821007504
2025-11-01,31.10162266226623
2025-12-01,37.419444444444444
