date,earnings report
2004-01-01,9.810751398880896
2004-02-01,7.1218085106382985
2004-03-01,5.112256586483391
2004-04-01,6.303672316384182
2004-05-01,5.194366852886406
2004-06-01,4.392716535433071
2004-07-01,4.7769113149847096
2004-08-01,3.593397745571659
2004-09-01,6.0969945355191255
2004-10-01,6.808543096872617
2004-11-01,6.014824797843666
2004-12-01,7.829824561403509
2005-01-01,7.135091926458834
2005-02-01,4.747872340425532
2005-03-01,7.668384879725087
2005-04-01,8.66754943502825
2005-05-01,4.155493482309125
2005-06-01,7.3211942257217855
2005-07-01,8.871406727828747
2005-08-01,4.491747181964573
2005-09-01,6.0969945355191255
2005-10-01,6.808543096872617
2005-11-01,7.017295597484277
2005-12-01,5.872368421052632
2006-01-01,12.48641087130296
2006-02-01,5.539184397163122
2006-03-01,7.668384879725087
2006-04-01,7.091631355932204
2006-05-01,6.233240223463687
2006-06-01,5.856955380577428
2006-07-01,7.506574923547401
2006-08-01,4.491747181964573
2006-09-01,4.572745901639344
2006-10-01,10.212814645308924
2006-11-01,6.014824797843666
2006-12-01,7.829824561403509
2007-01-01,9.810751398880896
2007-02-01,5.539184397163122
2007-03-01,7.668384879725087
2007-04-01,8.66754943502825
2007-05-01,7.2721135940409685
2007-06-01,5.856955380577428
2007-07-01,8.871406727828747
2007-08-01,5.3900966183574885
2007-09-01,7.621243169398907
2007-10-01,11.914950419527079
2007-11-01,6.014824797843666
2007-12-01,9.787280701754387
2008-01-01,11.594524380495606
2008-02-01,6.33049645390071
2008-03-01,7.668384879725087
2008-04-01,12.607344632768363
2008-05-01,7.2721135940409685
2008-06-01,7.3211942257217855
2008-07-01,8.871406727828747
2008-08-01,5.3900966183574885
2008-09-01,6.0969945355191255
2008-10-01,9.361746758199848
2008-11-01,7.017295597484277
2008-12-01,7.829824561403509
2009-01-01,9.810751398880896
2009-02-01,7.1218085106382985
2009-03-01,7.668384879725087
2009-04-01,14.97122175141243
2009-05-01,6.233240223463687
2009-06-01,5.856955380577428
2009-07-01,8.871406727828747
2009-08-01,5.3900966183574885
2009-09-01,6.0969945355191255
2009-10-01,12.766018306636157
2009-11-01,7.017295597484277
2009-12-01,7.829824561403509
2010-01-01,9.810751398880896
2010-02-01,7.1218085106382985
2010-03-01,7.668384879725087
2010-04-01,10.243467514124296
2010-05-01,5.194366852886406
2010-06-01,5.856955380577428
2010-07-01,7.506574923547401
2010-08-01,3.593397745571659
2010-09-01,6.0969945355191255
2010-10-01,8.510678871090771
2010-11-01,6.014824797843666
2010-12-01,7.829824561403509
2011-01-01,11.594524380495606
2011-02-01,8.704432624113476
2011-03-01,7.668384879725087
2011-04-01,10.243467514124296
2011-05-01,6.233240223463687
2011-06-01,5.856955380577428
2011-07-01,8.871406727828747
2011-08-01,5.3900966183574885
2011-09-01,7.621243169398907
2011-10-01,11.063882532418003
2011-11-01,6.014824797843666
2011-12-01,5.872368421052632
2012-01-01,11.594524380495606
2012-02-01,8.704432624113476
2012-03-01,7.668384879725087
2012-04-01,11.81938559322034
2012-05-01,7.2721135940409685
2012-06-01,5.856955380577428
2012-07-01,10.236238532110093
2012-08-01,5.3900966183574885
2012-09-01,7.621243169398907
2012-10-01,11.063882532418003
2012-11-01,6.014824797843666
2012-12-01,7.829824561403509
2013-01-01,16.05395683453238
2013-02-01,7.913120567375888
2013-03-01,7.668384879725087
2013-04-01,11.031426553672318
2013-05-01,8.31098696461825
2013-06-01,5.856955380577428
2013-07-01,10.236238532110093
2013-08-01,8.085144927536232
2013-09-01,7.621243169398907
2013-10-01,12.766018306636157
2013-11-01,8.019766397124888
2013-12-01,9.787280701754387
2014-01-01,15.162070343725023
2014-02-01,12.66099290780142
2014-03-01,10.224513172966782
2014-04-01,11.031426553672318
2014-05-01,8.31098696461825
2014-06-01,7.3211942257217855
2014-07-01,11.601070336391437
2014-08-01,6.288446054750404
2014-09-01,7.621243169398907
2014-10-01,11.914950419527079
2014-11-01,9.022237196765499
2014-12-01,9.787280701754387
2015-01-01,14.270183852917668
2015-02-01,11.869680851063832
2015-03-01,10.224513172966782
2015-04-01,14.183262711864408
2015-05-01,9.349860335195531
2015-06-01,8.785433070866143
2015-07-01,14.33073394495413
2015-08-01,8.085144927536232
2015-09-01,9.145491803278688
2015-10-01,15.319221967963388
2015-11-01,10.02470799640611
2015-12-01,11.744736842105263
2016-01-01,13.378297362110313
2016-02-01,12.66099290780142
2016-03-01,11.50257731958763
2016-04-01,13.395303672316386
2016-05-01,11.427607076350094
2016-06-01,8.785433070866143
2016-07-01,11.601070336391437
2016-08-01,9.881843800322063
2016-09-01,9.145491803278688
2016-10-01,13.617086193745234
2016-11-01,10.02470799640611
2016-12-01,9.787280701754387
2017-01-01,15.162070343725023
2017-02-01,14.243617021276597
2017-03-01,11.50257731958763
2017-04-01,12.607344632768363
2017-05-01,14.544227188081937
2017-06-01,10.249671916010499
2017-07-01,12.283486238532111
2017-08-01,12.576892109500807
2017-09-01,9.145491803278688
2017-10-01,14.46815408085431
2017-11-01,16.039532794249777
2017-12-01,13.70219298245614
2018-01-01,19.621502797761792
2018-02-01,15.826241134751776
2018-03-01,14.058705612829325
2018-04-01,14.97122175141243
2018-05-01,15.583100558659218
2018-06-01,13.178149606299215
2018-07-01,15.013149847094802
2018-08-01,15.27194041867955
2018-09-01,13.718237704918032
2018-10-01,17.872425629290618
2018-11-01,14.034591194968554
2018-12-01,11.744736842105263
2019-01-01,17.837729816147085
2019-02-01,16.617553191489364
2019-03-01,15.336769759450174
2019-04-01,17.3350988700565
2019-05-01,14.544227188081937
2019-06-01,21.963582677165356
2019-07-01,15.695565749235476
2019-08-01,14.373590982286636
2019-09-01,18.290983606557376
2019-10-01,18.723493516399696
2019-11-01,16.039532794249777
2019-12-01,17.617105263157896
2020-01-01,20.513389288569147
2020-02-01,20.574113475177306
2020-03-01,17.89289805269187
2020-04-01,34.670197740113
2020-05-01,38.4383147113594
2020-06-01,29.284776902887142
2020-07-01,32.75596330275229
2020-08-01,32.34057971014493
2020-09-01,28.960724043715846
2020-10-01,22.127765064836005
2020-11-01,21.05188679245283
2020-12-01,25.446929824561405
2021-01-01,24.97282174260592
2021-02-01,30.861170212765963
2021-03-01,26.839347079037804
2021-04-01,18.911016949152547
2021-05-01,20.777467411545626
2021-06-01,17.570866141732285
2021-07-01,14.33073394495413
2021-08-01,19.763687600644126
2021-09-01,18.290983606557376
2021-10-01,18.723493516399696
2021-11-01,23.056828391734054
2021-12-01,19.574561403508774
2022-01-01,50.83752997601919
2022-02-01,61.722340425531925
2022-03-01,108.63545246277207
2022-04-01,66.97651836158192
2022-05-01,78.95437616387338
2022-06-01,120.06758530183728
2022-07-01,55.2756880733945
2022-08-01,59.29106280193238
2022-09-01,27.436475409836063
2022-10-01,21.276697177726927
2022-11-01,18.044474393530997
2022-12-01,19.574561403508774
2023-01-01,17.837729816147085
2023-02-01,21.365425531914898
2023-03-01,19.170962199312715
2023-04-01,18.123057909604523
2023-05-01,24.932960893854748
2023-06-01,20.499343832020998
2023-07-01,17.06039755351682
2023-08-01,23.357085346215783
2023-09-01,24.387978142076502
2023-10-01,22.127765064836005
2023-11-01,27.0667115902965
2023-12-01,29.361842105263158
2024-01-01,23.189048760991213
2024-02-01,38.77429078014185
2024-03-01,28.11741122565865
2024-04-01,25.214689265536727
2024-05-01,35.32169459962756
2024-06-01,23.427821522309713
2024-07-01,19.79006116207951
2024-08-01,35.93397745571659
2024-09-01,28.960724043715846
2024-10-01,26.38310450038139
2024-11-01,42.10377358490566
2024-12-01,31.319298245614036
2025-01-01,29.432254196642692
2025-02-01,45.89609929078015
2025-03-01,24.28321878579611
2025-04-01,22.850812146892657
2025-05-01,36.36056797020484
2025-06-01,30.7490157480315
2025-07-01,67.55917431192661
2025-08-01,83.54649758454107
2025-09-01,111.27015027322405
2025-10-01,68.08543096872617
2025-11-01,100.2470799640611
2025-12-01,93.9578947368421
