date,day trading
2004-01-01,34.67688679245283
2004-02-01,29.158593749999998
2004-03-01,31.09278350515464
2004-04-01,34.505084745762716
2004-05-01,30.133214920071044
2004-06-01,24.631578947368418
2004-07-01,28.5812274368231
2004-08-01,25.463414634146343
2004-09-01,28.162350597609564
2004-10-01,26.559686888454014
2004-11-01,29.817272727272723
2004-12-01,32.51132404181185
2005-01-01,26.67452830188679
2005-02-01,23.85703125
2005-03-01,25.262886597938145
2005-04-01,23.003389830508475
2005-05-01,24.106571936056838
2005-06-01,22.578947368421048
2005-07-01,23.47743682310469
2005-08-01,25.463414634146343
2005-09-01,25.9093625498008
2005-10-01,23.23972602739726
2005-11-01,23.648181818181815
2005-12-01,20.6890243902439
2006-01-01,23.117924528301884
2006-02-01,22.08984375
2006-03-01,24.29123711340206
2006-04-01,23.003389830508475
2006-05-01,21.093250444049733
2006-06-01,20.52631578947368
2006-07-01,20.415162454873645
2006-08-01,21.21951219512195
2006-09-01,20.276892430278885
2006-10-01,21.026418786692762
2006-11-01,20.563636363636363
2006-12-01,18.718641114982578
2007-01-01,18.672169811320753
2007-02-01,21.206249999999997
2007-03-01,21.376288659793815
2007-04-01,20.127966101694916
2007-05-01,21.093250444049733
2007-06-01,21.552631578947366
2007-07-01,21.435920577617324
2007-08-01,23.34146341463415
2007-09-01,22.52988047808765
2007-10-01,25.453033268101763
2007-11-01,21.59181818181818
2007-12-01,19.703832752613238
2008-01-01,21.339622641509433
2008-02-01,20.322656249999998
2008-03-01,21.376288659793815
2008-04-01,21.086440677966102
2008-05-01,20.08880994671403
2008-06-01,20.52631578947368
2008-07-01,20.415162454873645
2008-08-01,21.21951219512195
2008-09-01,24.78286852589642
2008-10-01,35.41291585127202
2008-11-01,25.704545454545453
2008-12-01,25.61498257839721
2009-01-01,23.117924528301884
2009-02-01,21.206249999999997
2009-03-01,26.234536082474225
2009-04-01,24.920338983050847
2009-05-01,26.11545293072824
2009-06-01,23.605263157894733
2009-07-01,21.435920577617324
2009-08-01,23.34146341463415
2009-09-01,24.78286852589642
2009-10-01,24.34637964774951
2009-11-01,21.59181818181818
2009-12-01,19.703832752613238
2010-01-01,19.56132075471698
2010-02-01,19.4390625
2010-03-01,20.40463917525773
2010-04-01,21.086440677966102
