date,IPO
2004-01-01,40.41371855345912
2004-02-01,32.302405498281786
2004-03-01,29.758986928104573
2004-04-01,72.32481060606061
2004-05-01,57.7457264957265
2004-06-01,39.01062416998672
2004-07-01,55.04191321499013
2004-08-01,82.4349760438056
2004-09-01,20.603707414829657
2004-10-01,28.86432350718065
2004-11-01,24.42827442827443
2004-12-01,28.73141627543036
2005-01-01,23.093553459119498
2005-02-01,24.22680412371134
2005-03-01,19.199346405228756
2005-04-01,17.617582070707073
2005-05-01,16.73789173789174
2005-06-01,23.406374501992033
2005-07-01,22.209894806048652
2005-08-01,33.17505133470226
2005-09-01,27.471609886439545
2005-10-01,28.86432350718065
2005-11-01,35.62456687456688
2005-12-01,27.582159624413144
2006-01-01,35.79500786163522
2006-02-01,28.264604810996563
2006-03-01,24.959150326797385
2006-04-01,24.108270202020204
2006-05-01,42.68162393162393
2006-06-01,27.307436918990703
2006-07-01,17.381656804733726
2006-08-01,17.090177960301162
2006-09-01,17.660320641282564
2006-10-01,31.084656084656082
2006-11-01,30.53534303534304
2006-12-01,25.28364632237872
2007-01-01,23.093553459119498
2007-02-01,25.236254295532646
2007-03-01,21.11928104575163
2007-04-01,23.18102904040404
2007-05-01,18.411680911680914
2007-06-01,32.183764940239044
2007-07-01,26.07248520710059
2007-08-01,23.122005475701574
2007-09-01,18.64144956579826
2007-10-01,36.63548752834467
2007-11-01,33.588877338877346
2007-12-01,26.432902973395933
2008-01-01,28.866941823899374
2008-02-01,27.255154639175256
2008-03-01,43.1985294117647
2008-04-01,14.835858585858587
2008-05-01,12.553418803418804
2008-06-01,11.703187250996017
2008-07-01,11.587771203155818
2008-08-01,10.053045859000685
2008-09-01,9.81128924515698
2008-10-01,11.101662887377174
2008-11-01,8.142758142758144
2008-12-01,8.0447965571205
2009-01-01,8.082743710691824
2009-02-01,8.075601374570446
2009-03-01,6.719771241830065
2009-04-01,9.272411616161616
2009-05-01,9.205840455840457
2009-06-01,8.777390438247012
2009-07-01,9.656476002629848
2009-08-01,13.068959616700889
2009-09-01,15.698062792251168
2009-10-01,16.65249433106576
2009-11-01,16.285516285516287
2009-12-01,12.64182316118936
2010-01-01,13.856132075471699
2010-02-01,14.132302405498281
2010-03-01,15.359477124183005
2010-04-01,13.908617424242426
2010-05-01,10.87962962962963
2010-06-01,18.530046480743692
2010-07-01,15.450361604207757
2010-08-01,19.1007871321013
2010-09-01,16.679191716766866
2010-10-01,23.313492063492063
2010-11-01,37.660256410256416
2010-12-01,20.68661971830986
2011-01-01,23.093553459119498
2011-02-01,20.189003436426116
2011-03-01,16.319444444444443
2011-04-01,19.472064393939394
2011-05-01,28.454415954415957
2011-06-01,33.159030544488715
2011-07-01,27.038132807363574
2011-08-01,16.084873374401095
2011-09-01,12.754676018704075
2011-10-01,15.542328042328041
2011-11-01,23.410429660429664
2011-12-01,39.07472613458529
2012-01-01,31.17629716981132
2012-02-01,56.529209621993125
2012-03-01,23.03921568627451
2012-04-01,23.18102904040404
2012-05-01,83.68945868945869
2012-06-01,20.480577689243027
2012-07-01,18.347304404996713
2012-08-01,15.079568788501026
2012-09-01,11.773547094188377
2012-10-01,15.542328042328041
2012-11-01,10.178447678447679
2012-12-01,10.34330985915493
2013-01-01,11.546776729559749
2013-02-01,11.103951890034363
2013-03-01,10.559640522875815
2013-04-01,10.199652777777779
2013-05-01,10.87962962962963
2013-06-01,11.703187250996017
2013-07-01,11.587771203155818
2013-08-01,13.068959616700889
2013-09-01,23.547094188376754
2013-10-01,32.1948223733938
2013-11-01,35.62456687456688
2013-12-01,18.38810641627543
2014-01-01,18.4748427672956
2014-02-01,18.170103092783506
2014-03-01,25.919117647058822
2014-04-01,24.108270202020204
2014-05-01,20.085470085470085
2014-06-01,24.3816401062417
2014-07-01,20.27859960552268
2014-08-01,19.1007871321013
2014-09-01,49.0564462257849
2014-10-01,18.872826908541192
2014-11-01,17.303361053361055
2014-12-01,19.537363067292645
2015-01-01,25.402908805031448
2015-02-01,15.141752577319586
2015-03-01,17.27941176470588
2015-04-01,17.617582070707073
2015-05-01,13.390313390313391
2015-06-01,20.480577689243027
2015-07-01,19.312952005259696
2015-08-01,15.079568788501026
2015-09-01,13.735804943219772
2015-10-01,24.42365835222978
2015-11-01,20.356895356895357
2015-12-01,12.64182316118936
2016-01-01,11.546776729559749
2016-02-01,11.103951890034363
2016-03-01,9.599673202614378
2016-04-01,11.12689393939394
2016-05-01,9.205840455840457
2016-06-01,11.703187250996017
2016-07-01,12.553418803418802
2016-08-01,10.053045859000685
2016-09-01,12.754676018704075
2016-10-01,16.65249433106576
2016-11-01,12.214137214137216
2016-12-01,11.492566510172145
2017-01-01,15.010809748427674
2017-02-01,26.245704467353953
2017-03-01,34.55882352941176
2017-04-01,15.763099747474747
2017-05-01,11.716524216524217
2017-06-01,15.604249667994688
2017-07-01,14.484714003944772
2017-08-01,12.06365503080082
2017-09-01,14.71693386773547
2017-10-01,19.982993197278912
2017-11-01,15.26767151767152
2017-12-01,13.791079812206572
2018-01-01,19.629520440251575
2018-02-01,14.132302405498281
2018-03-01,21.11928104575163
2018-04-01,17.617582070707073
2018-05-01,12.553418803418804
2018-06-01,15.604249667994688
2018-07-01,16.41600920447074
2018-08-01,15.079568788501026
2018-09-01,18.64144956579826
2018-10-01,19.982993197278912
2018-11-01,12.214137214137216
2018-12-01,16.089593114241
2019-01-01,15.010809748427674
2019-02-01,17.1606529209622
2019-03-01,32.638888888888886
2019-04-01,37.089646464646464
2019-05-01,36.82336182336183
2019-06-01,28.282702523240374
2019-07-01,17.381656804733726
2019-08-01,16.084873374401095
2019-09-01,24.52822311289245
2019-10-01,17.762660619803476
2019-11-01,14.249826749826752
2019-12-01,16.089593114241
2020-01-01,16.16548742138365
2020-02-01,17.1606529209622
2020-03-01,12.479575163398692
2020-04-01,12.054135101010102
2020-05-01,12.553418803418804
2020-06-01,27.307436918990703
2020-07-01,28.003780407626557
2020-08-01,40.21218343600274
2020-09-01,61.81112224448897
2020-10-01,27.75415721844293
2020-11-01,27.481808731808734
2020-12-01,72.40316901408451
2021-01-01,49.65113993710692
2021-02-01,50.47250859106529
2021-03-01,39.35866013071895
2021-04-01,55.6344696969697
2021-05-01,21.75925925925926
2021-06-01,31.208499335989377
2021-07-01,36.694608809993426
2021-08-01,21.111396303901437
2021-09-01,25.50935203740815
2021-10-01,31.084656084656082
2021-11-01,43.76732501732502
2021-12-01,22.98513302034429
2022-01-01,32.3309748427673
2022-02-01,28.264604810996563
2022-03-01,33.59885620915033
2022-04-01,30.598958333333336
2022-05-01,25.10683760683761
2022-06-01,30.23323373173971
2022-07-01,26.07248520710059
2022-08-01,28.148528405201915
2022-09-01,16.679191716766866
2022-10-01,14.432161753590325
2022-11-01,11.196292446292448
2022-12-01,10.34330985915493
2023-01-01,11.546776729559749
2023-02-01,11.103951890034363
2023-03-01,9.599673202614378
2023-04-01,9.272411616161616
2023-05-01,10.042735042735043
2023-06-01,14.62898406374502
2023-07-01,12.553418803418802
2023-08-01,15.079568788501026
2023-09-01,25.50935203740815
2023-10-01,15.542328042328041
2023-11-01,14.249826749826752
2023-12-01,14.940336463223787
2024-01-01,17.32016509433962
2024-02-01,18.170103092783506
2024-03-01,24.959150326797385
2024-04-01,14.835858585858587
2024-05-01,10.87962962962963
2024-06-01,13.653718459495352
2024-07-01,13.519066403681787
2024-08-01,12.06365503080082
2024-09-01,14.71693386773547
2024-10-01,16.65249433106576
2024-11-01,15.26767151767152
2024-12-01,17.238849765258216
2025-01-01,18.4748427672956
2025-02-01,15.141752577319586
2025-03-01,18.239379084967318
2025-04-01,15.763099747474747
2025-05-01,14.227207977207978
2025-06-01,30.23323373173971
2025-07-01,57.93885601577909
2025-08-01,43.22809719370294
2025-09-01,37.28289913159652
2025-10-01,26.643990929705215
2025-11-01,30.53534303534304
2025-12-01,44.82100938967136
